action,negative_kind,probe_domain,mismatch_count,witness_unit,witness_time,correct_value,wrong_value,negative_detected,scope
trivial,wrong_time_sign_t_plus_u,licensed_global_profiles,8,0,1,1+0i,0+0i,true,intentional sign error must fail
transitive,wrong_time_sign_t_plus_u,licensed_global_profiles,8,0,1,1+0i,0+0i,true,intentional sign error must fail
nontransitive,wrong_time_sign_t_plus_u,licensed_global_profiles,8,0,1,1+0i,0+0i,true,intentional sign error must fail
transitive,wrong_source_range_no_unit_shift,raw_x_dependent_probe_outside_global_algebra,4,0,1,2+0i,1+0i,true,raw probe detects convention only; no licensed-domain claim
nontransitive,wrong_source_range_no_unit_shift,raw_x_dependent_probe_outside_global_algebra,4,0,1,2+0i,1+0i,true,raw probe detects convention only; no licensed-domain claim
