unit_size,period,target,target_t0,map_values,continuous,factors_through_time,factor_values,reconstruction_match,t0_implication_match,negative_nonfactor_continuous,scope
2,2,discrete_2,true,"0,0,0,0",true,true,"0,0",true,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,0,1,1",true,true,"0,1",true,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,1,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"0,1,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,0,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,0,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,1,0,0",true,true,"1,0",true,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,discrete_2,true,"1,1,1,1",true,true,"1,1",true,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,0,0,0",true,true,"0,0",true,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,0,1,1",true,true,"0,1",true,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,1,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"0,1,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,0,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,0,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,1,0,0",true,true,"1,0",true,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,2,sierpinski_2,true,"1,1,1,1",true,true,"1,1",true,true,false,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,0,0,0",true,true,"0,0",true,true,false,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,0,0,1",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,0,1,0",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,0,1,1",true,true,"0,1",true,true,false,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,1,0,0",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,1,0,1",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,1,1,0",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"0,1,1,1",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,0,0,0",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,0,0,1",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,0,1,0",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,0,1,1",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,1,0,0",true,true,"1,0",true,true,false,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,1,0,1",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,1,1,0",true,false,,false,true,true,exhaustive finite T0 factorization control
2,2,indiscrete_2_negative,false,"1,1,1,1",true,true,"1,1",true,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,0,0,0",true,true,"0,0,0",true,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,0,1,1",true,true,"0,0,1",true,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,1,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,0,1,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,0,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,0,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,1,0,0",true,true,"0,1,0",true,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,0,1,1,1,1",true,true,"0,1,1",true,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,0,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,0,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,1,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,0,1,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,0,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,0,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,1,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,1,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,1,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"0,1,1,1,1,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"1,0,0,0,0,0",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"1,0,0,0,0,1",false,false,,false,true,false,exhaustive finite T0 factorization control
2,3,discrete_2,true,"1,0,0,0,1,0",false,false,,false,true,false,exhaustive finite T0 factorization control
