label_family,label,numeric_label,period,label_period_pair,period_varied_independently,label_determines_period,global_dimension,period_signature,structure_depends_on_label,arithmetic_credit,scope
prime,2,2,3,2@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
prime,2,2,4,2@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
prime,2,2,6,2@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
prime,3,3,3,3@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
prime,3,3,4,3@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
prime,3,3,6,3@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
prime,5,5,3,5@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
prime,5,5,4,5@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
prime,5,5,6,5@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
composite,4,4,3,4@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
composite,4,4,4,4@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
composite,4,4,6,4@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
composite,6,6,3,6@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
composite,6,6,4,6@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
composite,6,6,6,6@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
composite,8,8,3,8@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
composite,8,8,4,8@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
composite,8,8,6,8@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,alpha,,3,alpha@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,alpha,,4,alpha@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,alpha,,6,alpha@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,clock-q,,3,clock-q@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,clock-q,,4,clock-q@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,clock-q,,6,clock-q@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,label_17,,3,label_17@3,true,false,3,deb9c4884d1bccd49462c57b87fa2f3f25ffcdfe634b5c95d8a51e57d44f988c,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,label_17,,4,label_17@4,true,false,4,467c22b3aabf5d60bacfc894057a29d8c9cc0e75c3d0f8464df70cf725960b88,false,false,prime/composite/arbitrary label-period cross-control
arbitrary,label_17,,6,label_17@6,true,false,6,778b2ebc2d3116af6764710f84051b0349398e8bec6d5e46debb084ca9490bb0,false,false,prime/composite/arbitrary label-period cross-control
