action,generator,orbit_partition,orbit_count,stabilizer_sizes,global_function_dimension,global_convolution_sha256,regular_matrix_sha256,global_signature,action_visible_in_global_signature,scope
trivial,"0,1,2,3",{0}|{1}|{2}|{3},4,"4,4,4,4",4,525a8a2d3b96197b456a951abeadc2be06681040e05f0809fe00e0edb254063a,6abe521fcb2328a22576e57084926320ce84cc7059233d0056d3ae24f47b2b31,fb4117f231e19b0a6f23c5c7fd8cf32e8ec549615365e5b73b1c34edb176936a,false,"finite action-blindness control, not arithmetic credit"
transitive,"1,2,3,0","{0,1,2,3}",1,"1,1,1,1",4,525a8a2d3b96197b456a951abeadc2be06681040e05f0809fe00e0edb254063a,6abe521fcb2328a22576e57084926320ce84cc7059233d0056d3ae24f47b2b31,fb4117f231e19b0a6f23c5c7fd8cf32e8ec549615365e5b73b1c34edb176936a,false,"finite action-blindness control, not arithmetic credit"
nontransitive,"1,0,3,2","{0,1}|{2,3}",2,"2,2,2,2",4,525a8a2d3b96197b456a951abeadc2be06681040e05f0809fe00e0edb254063a,6abe521fcb2328a22576e57084926320ce84cc7059233d0056d3ae24f47b2b31,fb4117f231e19b0a6f23c5c7fd8cf32e8ec549615365e5b73b1c34edb176936a,false,"finite action-blindness control, not arithmetic credit"
