system_id,marked_owner_id,positive_generator_rank,normalized_canonical_word,local_canonical_word,marked_word_length,marked_orbit_multiplicity,symbolic_root_owner_id,symbolic_root_word,symbolic_repetition_exponent,symbolic_primitive,dynamical_class,complex_length_re,holonomy_angle,psl_trace_squared_re,psl_trace_squared_im,trace_reconstruction_residual,matrix_determinant_residual,candidate_level3_membership,matrix_representation,orientation_branch,owner_scope,completeness_boundary,evidence_status,target_data_used
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_6690bd11b5037166,4,g1.G2.g1.g3.g4,U1.Uim.U1.L1.Li,5,10,MW4_6690bd11b5037166,g1.G2.g1.g3.g4,1,true,LOXODROMIC,6.824755900293753,0.60307188484671226,760,522,3.5527136788005009e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_0a0089f8bcf7c398,4,g1.G2.g1.g3.G4,U1.Uim.U1.L1.Lim,5,10,MW4_0a0089f8bcf7c398,g1.G2.g1.g3.G4,1,true,LOXODROMIC,6.746919290385776,-2.3694813656003264,-608,-594,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_96a7ca05d59a292a,4,g1.G2.g1.G3.g2,U1.Uim.U1.L1m.Ui,5,10,MW4_96a7ca05d59a292a,g1.G2.g1.G3.g2,1,true,LOXODROMIC,5.5373187666271475,0,256,0,0,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_8b67c976d187f2b5,4,g1.G2.g1.G3.G2,U1.Uim.U1.L1m.Uim,5,10,MW4_8b67c976d187f2b5,g1.G2.g1.G3.G2,1,true,LOXODROMIC,6.3634410450143246,-1.6917303581939569,-68,-576,7.944109290391274e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_210e2dbc9410eba8,4,g1.G2.g1.G3.G3,U1.Uim.U1.L1m.L1m,5,10,MW4_210e2dbc9410eba8,g1.G2.g1.G3.G3,1,true,LOXODROMIC,7.2990381941156226,-0.97491734168965394,832,-1224,1.0048591735576161e-14,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_30d73f8d9205f9ed,4,g1.G2.g1.G3.g4,U1.Uim.U1.L1m.Li,5,10,MW4_30d73f8d9205f9ed,g1.G2.g1.G3.g4,1,true,LOXODROMIC,6.6589707876924296,-2.6354892663494462,-680,-378,7.3241068776355799e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_a937345a59a02d4f,4,g1.G2.g1.G3.G4,U1.Uim.U1.L1m.Lim,5,10,MW4_a937345a59a02d4f,g1.G2.g1.G3.G4,1,true,LOXODROMIC,6.5574312905187728,0.69292273798756288,544,450,6.4047456679787536e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_fd0f257824b6d59d,4,g1.G2.g1.g4.g2,U1.Uim.U1.Li.Ui,5,10,MW4_fd0f257824b6d59d,g1.G2.g1.g4.g2,1,true,LOXODROMIC,5.7989373983414394,2.9216048718129022,-320,72,3.5803616730494477e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_e90892f3f6485e7f,4,g1.G2.g1.g4.G2,U1.Uim.U1.Li.Uim,5,10,MW4_e90892f3f6485e7f,g1.G2.g1.g4.G2,1,true,LOXODROMIC,6.5845070159767349,1.468378550668989,76,720,3.5527136788005009e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
BIANCHI_LEVEL3_ELEMENTARY_MARKING,MW4_7a5084b180fa4f70,4,g1.G2.g1.g4.g3,U1.Uim.U1.Li.L1,5,10,MW4_7a5084b180fa4f70,g1.G2.g1.g4.g3,1,true,LOXODROMIC,6.824755900293753,0.60307188484671226,760,522,3.5527136788005009e-15,0,true,EXACT_GAUSSIAN_INTEGER_SL2,CANONICAL_DIHEDRAL_MARKED_WORD_REPRESENTATIVE,MARKED_SYMBOLIC_CYCLIC_OWNER_NOT_FULL_GROUP_CONJUGACY,FOUR_ELEMENTARY_GENERATED_SUBGROUP;MARKED_LENGTH_LE_5;NOT_ALL_GAMMA3;NOT_METRIC_LENGTH_SPECTRUM,EXACT_MATRIX_AND_SYMBOLIC_LAYER_PLUS_NUMERICAL_COMPLEX_LENGTH,false
