system_id,marking_id,move_target,move_source,move_exponent,positive_generator_count,alphabet_size,marked_owner_rows,raw_cyclically_reduced_linear_words,symbolically_primitive_owner_rows,symbolic_repetition_owner_rows,identity_owner_rows,parabolic_owner_rows,loxodromic_owner_rows,primitive_loxodromic_phase_rows,q_real,q_imag,abs_q,null_mean_abs_q,null_sample_sd_abs_q,z_abs_q,maximum_matrix_determinant_residual,all_candidate_level3_membership,evaluation_digest,evidence_status
BIANCHI_LEVEL3_NIELSEN_PANEL,R1_4_P,1,4,1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423321,-0.0054897746613002665,0.010390314272989927,0.028930205077671182,0.015599176927073757,-1.1885172462210893,0.00000000000000000e+00,true,a9207ab29421be52a64c83965457bb372f5acd08793060c67c512b75c9a8c05f,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R1_4_P,1,4,1,4,8,2074,19624,2046,28,3,76,1995,1973,-0.040318947510220332,-0.026931643763447088,0.048486399785229679,0.027328051029025059,0.013852072030501478,1.5274500962466218,5.89504071521684896e-60,NOT_APPLICABLE_CONTROL,a1bf3d36b7c1b5712d113ae611618c90735e9bd0a70265102294a3153e8f7a84,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R1_4_M,1,4,-1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423373,0.005489774661300257,0.010390314272989927,0.027972887992031965,0.015825643746649132,-1.1110179150067696,0.00000000000000000e+00,true,4544cf5189c8a2cdf6cf77a36e7fd19c0762afbb33dcf3400cd82b32c2a9dcba,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R1_4_M,1,4,-1,4,8,2074,19624,2046,28,5,90,1979,1957,0.10932736663071137,0.1306231964445099,0.17033758406114313,0.028238367186983838,0.015763406134087547,9.0144995101583483,1.15867596038624661e-60,NOT_APPLICABLE_CONTROL,a7cdce960a04a8d86fb8ace7e52324a86dc982051c8fd987c15c01515d08eb58,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R2_1_P,2,1,1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580844487,-0.00027359317012710759,0.00029798770937752226,0.029329297470555019,0.014502255001954543,-2.0018479717302449,0.00000000000000000e+00,true,0beb825f96548ddd67154f543c62c08ba26dc3bacf756a3c60dbd61f7e86eb68,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R2_1_P,2,1,1,4,8,2074,19624,2046,28,3,85,1986,1962,-0.062618795764518259,-0.038507462530360866,0.073511483820731,0.026332098182422166,0.014716100686354924,3.2059705654266519,3.68732186776169763e-61,NOT_APPLICABLE_CONTROL,469c7b0d7ce200272daa1034711eb5f1400033f3102251bdf644cc12d9b882ac,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R2_1_M,2,1,-1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580843469,0.0002735931701270614,0.00029798770937747581,0.030449155683710118,0.017105472354710247,-1.7626621088911389,0.00000000000000000e+00,true,a1d1f43baae3345622ea781cc1efb673ff28d69a997b60d18666908b9daee7e0,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R2_1_M,2,1,-1,4,8,2074,19624,2046,28,6,211,1857,1839,0.18158756632256745,-0.065436728138383707,0.19301815881519949,0.032293524553134764,0.017250738255891959,9.316971359597872,2.93430189172962376e-61,NOT_APPLICABLE_CONTROL,a2c65302b50131e64b5f93217f7e1171f247d660cdfaaf6cc5aed21721f866c1,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R2_3_P,2,3,1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423321,-0.0054897746613002665,0.010390314272989927,0.028214915699494896,0.016419911982888207,-1.0855479277282754,0.00000000000000000e+00,true,da339d0aeda5f9f7fd43f74875906c5e58f4d4551c195879adaab86758afd0d1,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R2_3_P,2,3,1,4,8,2074,19624,2046,28,3,75,1996,1972,0.019200813460120102,-0.057144110441213473,0.060283667735531253,0.028695011271034063,0.014090522392725844,2.2418371430149859,2.16455374863832284e-60,NOT_APPLICABLE_CONTROL,b4cd7935fad167701262dd329d3b5c98805e01a35e3e3ee564601341b84406f0,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
