d9_re,d9_im,matrix_rows,distinct_first_jets_up_to_sign,joint_descriptor_collisions_beyond_first,maximum_joint_descriptor_bucket,all_joint_descriptor_buckets_are_matrix_collisions,owner_interpretation
-36,8,192,4,188,84,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-36,1422,192,8,184,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-31,-28,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-31,28,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-23,-44,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-23,44,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-12,-150,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-12,150,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-9,-4,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-9,4,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-8,-64,112,4,108,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-8,64,112,4,108,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-4,-14,208,4,204,52,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
-4,14,208,4,204,52,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
0,0,505,9,496,80,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
4,-22,208,4,204,52,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
4,22,208,4,204,52,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
5,0,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
8,-80,112,4,108,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
8,80,112,4,108,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
12,-174,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
12,174,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
13,0,56,2,54,28,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
19,-32,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
19,32,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
28,0,192,4,188,84,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
32,-1184,96,4,92,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
