domain_id,pair_id,target_letter,inverse_letter,role,fixed_point,other_fixed_point,apollonius_ratio,center,radius,excluded_source_domain,mapping_statement,exact_conjugacy_identity,exact_boundary_modulus_identity,all_closed_disks_pairwise_disjoint,minimum_pairwise_squared_gap,evidence_status
S1+,S1,S1,S1m,ATTRACTING_TARGET_FOR_POSITIVE_GENERATOR,"(-5,-3)","(-6,-3)",1/1000,"(-4999994/999999,-3)",1000/999999,S1-,S1(COMPLEMENT_OF_S1-)=INTERIOR_OF_S1+,PROVED,PROVED,PROVED,10201/10101,PROVED
S1-,S1,S1m,S1,REPELLING_TARGET_FOR_INVERSE_GENERATOR,"(-6,-3)","(-5,-3)",1/10,"(-595/99,-3)",10/99,S1+,S1m(COMPLEMENT_OF_S1+)=INTERIOR_OF_S1-,PROVED,PROVED,PROVED,10201/10101,PROVED
S2+,S2,S2,S2m,ATTRACTING_TARGET_FOR_POSITIVE_GENERATOR,"(3,-3)","(2,-3)",1/1000,"(2999998/999999,-3)",1000/999999,S2-,S2(COMPLEMENT_OF_S2-)=INTERIOR_OF_S2+,PROVED,PROVED,PROVED,10201/10101,PROVED
S2-,S2,S2m,S2,REPELLING_TARGET_FOR_INVERSE_GENERATOR,"(2,-3)","(3,-3)",1/10,"(197/99,-3)",10/99,S2+,S2m(COMPLEMENT_OF_S2+)=INTERIOR_OF_S2-,PROVED,PROVED,PROVED,10201/10101,PROVED
S3+,S3,S3,S3m,ATTRACTING_TARGET_FOR_POSITIVE_GENERATOR,"(-5,3)","(-6,3)",1/1000,"(-4999994/999999,3)",1000/999999,S3-,S3(COMPLEMENT_OF_S3-)=INTERIOR_OF_S3+,PROVED,PROVED,PROVED,10201/10101,PROVED
S3-,S3,S3m,S3,REPELLING_TARGET_FOR_INVERSE_GENERATOR,"(-6,3)","(-5,3)",1/10,"(-595/99,3)",10/99,S3+,S3m(COMPLEMENT_OF_S3+)=INTERIOR_OF_S3-,PROVED,PROVED,PROVED,10201/10101,PROVED
S4+,S4,S4,S4m,ATTRACTING_TARGET_FOR_POSITIVE_GENERATOR,"(3,3)","(2,3)",1/1000,"(2999998/999999,3)",1000/999999,S4-,S4(COMPLEMENT_OF_S4-)=INTERIOR_OF_S4+,PROVED,PROVED,PROVED,10201/10101,PROVED
S4-,S4,S4m,S4,REPELLING_TARGET_FOR_INVERSE_GENERATOR,"(2,3)","(3,3)",1/10,"(197/99,3)",10/99,S4+,S4m(COMPLEMENT_OF_S4+)=INTERIOR_OF_S4-,PROVED,PROVED,PROVED,10201/10101,PROVED
