N,atom_count,all_atoms_are_shifted_primes_fraction,unique_factorization_fraction,intrinsic_entropy_zeta_accuracy,intrinsic_entropy_inverse_accuracy,intrinsic_entropy_lambda_relative_l1_error,posthoc_centered_clock_zeta_accuracy,posthoc_centered_clock_inverse_accuracy,posthoc_centered_clock_lambda_relative_l1_error,max_intrinsic_entropy_additivity_error,det_weight_multiplicativity_fraction,fixed_point_tensor_identity_fraction
32,11,1.0,1.0,0.34375,0.34375,1.5783966032008487,1.0,1.0,0.0,0.6931471805599454,0.0,0.0
64,18,1.0,1.0,0.234375,0.3125,1.8016098889586774,1.0,1.0,0.0,0.6931471805599454,0.0,0.0
128,31,1.0,1.0,0.1796875,0.3046875,1.8384316563570662,1.0,1.0,0.0,0.6931471805599454,0.0,0.0
256,54,1.0,1.0,0.17578125,0.27734375,1.9247610245503508,1.0,1.0,0.0,0.6931471805599454,0.0,0.0
