N,atom_count,atom_weights,unique_factorization_fraction,has_zero_entropy_euler_atom,euler_product_defined_for_Re_s_gt_1,max_entropy_additivity_error,det_weight_multiplicativity_fraction,fixed_point_tensor_identity_fraction
32,1,[1],1.0,True,False,2.0794415416798357,0.0035650623885918,0.0035650623885918
64,1,[1],1.0,True,False,2.7725887222397816,0.0009324009324009324,0.0009324009324009324
128,1,[1],1.0,True,False,3.465735902799726,0.0002385211687537269,0.0002385211687537269
256,1,[1],1.0,True,False,4.1588830833596715,6.032636563810213e-05,6.032636563810213e-05
