N,opaque_atom_count,verifier_prime_count,recovered_atoms_all_prime_fraction,recovered_all_primes,unique_factorization_fraction,zeta_coefficients_all_one_fraction,inverse_coefficients_exact_mobius_fraction,lambda_coefficients_exact_fraction,lambda_coefficients_max_abs_error,lambda_nonzero_support_count,max_entropy_vs_det_weight_error,max_tensor_entropy_additivity_error,det_weight_multiplicativity_fraction,fixed_point_tensor_identity_fraction
32,11,11,1.0,True,1.0,1.0,1.0,1.0,0.0,18,3.552713678800501e-15,4.440892098500626e-16,1.0,1.0
64,18,18,1.0,True,1.0,1.0,1.0,1.0,0.0,27,2.1316282072803006e-14,6.661338147750939e-16,1.0,1.0
128,31,31,1.0,True,1.0,1.0,1.0,1.0,0.0,44,5.684341886080802e-14,8.881784197001252e-16,1.0,1.0
256,54,54,1.0,True,1.0,1.0,1.0,1.0,0.0,70,1.1368683772161603e-13,8.881784197001252e-16,1.0,1.0
