N,seed,atom_count,declared_vs_intrinsic_atom_jaccard,zeta_coefficient_accuracy,inverse_coefficient_accuracy,lambda_relative_l1_error
32,0,11,0.1,0.40625,0.3125,1.3744098209032158
32,1,11,0.15789473684210525,0.375,0.4375,1.359701748625206
32,2,11,0.4666666666666667,0.40625,0.5625,0.6802185994885186
32,3,11,0.15789473684210525,0.53125,0.46875,1.3778792460287472
32,4,11,0.2222222222222222,0.40625,0.4375,1.1646757818548805
32,5,11,0.15789473684210525,0.375,0.3125,1.1890771088154861
32,6,11,0.1,0.34375,0.375,1.515377199318898
32,7,11,0.047619047619047616,0.375,0.21875,1.499638683376436
32,8,11,0.2222222222222222,0.40625,0.375,1.065790124272841
32,9,11,0.2222222222222222,0.4375,0.40625,1.2568986708134549
32,10,11,0.29411764705882354,0.375,0.4375,0.9347720971054869
32,11,11,0.2222222222222222,0.5,0.40625,1.2026173733546295
32,12,11,0.29411764705882354,0.375,0.5625,1.1233566904083
32,13,11,0.15789473684210525,0.28125,0.375,1.346620543884679
32,14,11,0.15789473684210525,0.375,0.4375,1.3585632968760626
32,15,11,0.15789473684210525,0.34375,0.40625,1.263249361193518
32,16,11,0.2222222222222222,0.375,0.40625,1.1379522647566367
32,17,11,0.2222222222222222,0.34375,0.40625,1.1330092784874182
32,18,11,0.15789473684210525,0.28125,0.34375,1.308901294515834
32,19,11,0.4666666666666667,0.46875,0.59375,0.7355954023278966
32,20,11,0.1,0.28125,0.34375,1.6156483339409171
32,21,11,0.15789473684210525,0.375,0.28125,1.319069224862543
32,22,11,0.2222222222222222,0.34375,0.34375,1.197453613785412
32,23,11,0.15789473684210525,0.5,0.375,1.3506566607164725
32,24,11,0.2222222222222222,0.40625,0.46875,1.1773563711141926
32,25,11,0.15789473684210525,0.46875,0.40625,1.395745273740457
32,26,11,0.15789473684210525,0.34375,0.40625,1.3038112947556335
32,27,11,0.29411764705882354,0.5,0.40625,0.9315680601331577
32,28,11,0.15789473684210525,0.375,0.28125,1.1835707097648889
32,29,11,0.2222222222222222,0.4375,0.375,1.0737657959215365
32,30,11,0.2222222222222222,0.375,0.375,1.149471706630371
32,31,11,0.15789473684210525,0.375,0.28125,1.302583291326525
32,32,11,0.29411764705882354,0.375,0.5,1.0521120026634445
32,33,11,0.29411764705882354,0.53125,0.53125,1.0126450588727522
32,34,11,0.1,0.34375,0.3125,1.4589872133331052
32,35,11,0.29411764705882354,0.3125,0.375,0.9708589500502675
32,36,11,0.29411764705882354,0.40625,0.40625,0.9348871253679257
32,37,11,0.2222222222222222,0.53125,0.4375,1.2233772434256527
32,38,11,0.2222222222222222,0.40625,0.40625,1.1650813810219234
32,39,11,0.29411764705882354,0.46875,0.5,1.0931268527279923
32,40,11,0.15789473684210525,0.46875,0.375,1.4038543856998882
32,41,11,0.2222222222222222,0.4375,0.3125,1.044835437009482
32,42,11,0.1,0.375,0.3125,1.3245841962874425
32,43,11,0.1,0.375,0.3125,1.5206963787567374
32,44,11,0.29411764705882354,0.5,0.4375,0.9189285849772711
32,45,11,0.15789473684210525,0.375,0.3125,1.2984645887926356
32,46,11,0.15789473684210525,0.4375,0.34375,1.2843552011610913
32,47,11,0.2222222222222222,0.40625,0.46875,1.2911752860689947
32,48,11,0.047619047619047616,0.34375,0.25,1.6243150666405435
32,49,11,0.15789473684210525,0.4375,0.34375,1.3791186187628854
32,50,11,0.2222222222222222,0.3125,0.375,1.2358298423131056
32,51,11,0.29411764705882354,0.375,0.5,1.0141234677316555
32,52,11,0.29411764705882354,0.34375,0.53125,1.1460904905565064
32,53,11,0.29411764705882354,0.34375,0.40625,1.0470047341128834
32,54,11,0.15789473684210525,0.34375,0.3125,1.1592968074274188
32,55,11,0.375,0.46875,0.46875,0.811396068882195
32,56,11,0.1,0.34375,0.3125,1.4537610170313708
32,57,11,0.2222222222222222,0.53125,0.40625,1.1667581044998845
32,58,11,0.29411764705882354,0.40625,0.46875,0.9686845545397935
32,59,11,0.15789473684210525,0.375,0.34375,1.4270926461542248
32,60,11,0.1,0.34375,0.375,1.5223949616704626
32,61,11,0.15789473684210525,0.375,0.4375,1.3357677353440915
32,62,11,0.2222222222222222,0.34375,0.375,1.1248027494564716
32,63,11,0.2222222222222222,0.3125,0.4375,1.2009285724306535
64,0,18,0.2,0.296875,0.359375,1.2133025190088067
64,1,18,0.16129032258064516,0.28125,0.390625,1.4237430489101095
64,2,18,0.125,0.265625,0.28125,1.4834150508321684
64,3,18,0.2,0.34375,0.484375,1.3486070252711444
64,4,18,0.2,0.390625,0.375,1.289740669899799
64,5,18,0.16129032258064516,0.296875,0.375,1.4959299441960667
64,6,18,0.058823529411764705,0.296875,0.296875,1.7234802802808975
64,7,18,0.09090909090909091,0.3125,0.328125,1.5436542843927596
64,8,18,0.09090909090909091,0.296875,0.3125,1.6066749415552182
64,9,18,0.125,0.34375,0.3125,1.4456872514968009
64,10,18,0.2413793103448276,0.375,0.484375,1.2437180630101763
64,11,18,0.2,0.375,0.359375,1.283743839923886
64,12,18,0.2,0.390625,0.375,1.3024409935734067
64,13,18,0.2857142857142857,0.328125,0.453125,1.0930475490734686
64,14,18,0.058823529411764705,0.34375,0.296875,1.6007402187119006
64,15,18,0.16129032258064516,0.421875,0.359375,1.3221816474444872
64,16,18,0.09090909090909091,0.296875,0.234375,1.6079942830751197
64,17,18,0.09090909090909091,0.328125,0.328125,1.618885981692927
64,18,18,0.125,0.28125,0.359375,1.529903516249762
64,19,18,0.16129032258064516,0.375,0.390625,1.3939709658813877
64,20,18,0.125,0.40625,0.296875,1.434100379217546
64,21,18,0.2,0.375,0.390625,1.288229074534063
64,22,18,0.125,0.3125,0.34375,1.3972268607728697
64,23,18,0.16129032258064516,0.34375,0.390625,1.3986213301876629
64,24,18,0.2413793103448276,0.296875,0.421875,1.2358295809667146
64,25,18,0.2413793103448276,0.296875,0.453125,1.2297652541557953
64,26,18,0.2857142857142857,0.3125,0.4375,1.0459900541566458
64,27,18,0.2,0.421875,0.46875,1.3323570928218142
64,28,18,0.058823529411764705,0.296875,0.28125,1.6998187196266756
64,29,18,0.2413793103448276,0.328125,0.40625,1.068281954769862
64,30,18,0.16129032258064516,0.296875,0.390625,1.3889009573450488
64,31,18,0.2,0.34375,0.4375,1.2840766939285808
64,32,18,0.2,0.40625,0.453125,1.3503018696434357
64,33,18,0.2,0.421875,0.390625,1.3274595794325301
64,34,18,0.2,0.3125,0.34375,1.2837967552990524
64,35,18,0.125,0.296875,0.359375,1.5335639169660924
64,36,18,0.125,0.28125,0.3125,1.5078648793676632
64,37,18,0.2413793103448276,0.34375,0.390625,1.2070087700641092
64,38,18,0.16129032258064516,0.3125,0.390625,1.252897850156473
64,39,18,0.2413793103448276,0.28125,0.421875,1.2077728049239298
64,40,18,0.2413793103448276,0.3125,0.421875,1.1832906644999945
64,41,18,0.16129032258064516,0.265625,0.328125,1.3623703416259072
64,42,18,0.16129032258064516,0.28125,0.359375,1.4271208200751855
64,43,18,0.16129032258064516,0.3125,0.46875,1.440256371462245
64,44,18,0.2413793103448276,0.3125,0.46875,1.1768851346603622
64,45,18,0.2413793103448276,0.28125,0.375,1.2008223927558745
64,46,18,0.16129032258064516,0.375,0.390625,1.508258610446734
64,47,18,0.2,0.3125,0.34375,1.2959330052773308
64,48,18,0.2,0.25,0.359375,1.2222046169344614
64,49,18,0.16129032258064516,0.328125,0.375,1.3013359708041794
64,50,18,0.2413793103448276,0.328125,0.421875,1.208156176304487
64,51,18,0.16129032258064516,0.421875,0.359375,1.364173594731187
64,52,18,0.125,0.34375,0.3125,1.5527101425588974
64,53,18,0.125,0.3125,0.328125,1.475799520308719
64,54,18,0.09090909090909091,0.296875,0.296875,1.488751218406554
64,55,18,0.16129032258064516,0.234375,0.40625,1.4760060255793122
64,56,18,0.16129032258064516,0.34375,0.375,1.3916079322521973
64,57,18,0.2,0.328125,0.359375,1.2936861126713253
64,58,18,0.125,0.28125,0.40625,1.3544701333435705
64,59,18,0.16129032258064516,0.296875,0.40625,1.4312603602510845
64,60,18,0.16129032258064516,0.296875,0.328125,1.230141607599555
64,61,18,0.16129032258064516,0.265625,0.4375,1.3726908090670362
64,62,18,0.125,0.359375,0.34375,1.531960662710565
64,63,18,0.16129032258064516,0.328125,0.421875,1.3767421244813798
128,0,31,0.08771929824561403,0.2421875,0.3203125,1.5928556958343414
128,1,31,0.16981132075471697,0.25,0.390625,1.3573733862258515
128,2,31,0.12727272727272726,0.25,0.375,1.4709345228545943
128,3,31,0.19230769230769232,0.34375,0.3828125,1.3508203717861431
128,4,31,0.24,0.25,0.4453125,1.2247488442461278
128,5,31,0.14814814814814814,0.3515625,0.359375,1.4439867779379107
128,6,31,0.08771929824561403,0.3046875,0.3203125,1.6048694171756577
128,7,31,0.10714285714285714,0.25,0.3828125,1.6219915381174685
128,8,31,0.19230769230769232,0.2421875,0.359375,1.279291961105362
128,9,31,0.06896551724137931,0.265625,0.359375,1.7232079088093786
128,10,31,0.21568627450980393,0.2890625,0.4296875,1.2920708713926947
128,11,31,0.14814814814814814,0.25,0.375,1.4496938220694506
128,12,31,0.10714285714285714,0.25,0.34375,1.5315438406982356
128,13,31,0.2653061224489796,0.2890625,0.4140625,1.1387350171584956
128,14,31,0.12727272727272726,0.265625,0.3515625,1.5140835237715737
128,15,31,0.14814814814814814,0.2421875,0.3671875,1.3935915735231819
128,16,31,0.06896551724137931,0.2578125,0.3125,1.6169954474982202
128,17,31,0.14814814814814814,0.3203125,0.375,1.380787483648739
128,18,31,0.2653061224489796,0.28125,0.4453125,1.1542570685509086
128,19,31,0.10714285714285714,0.3203125,0.390625,1.5549774879002696
128,20,31,0.10714285714285714,0.3984375,0.328125,1.586521783791574
128,21,31,0.14814814814814814,0.28125,0.3671875,1.3854770209311014
128,22,31,0.14814814814814814,0.3125,0.375,1.4137084300759084
128,23,31,0.14814814814814814,0.34375,0.3828125,1.382022029627733
128,24,31,0.10714285714285714,0.2578125,0.3828125,1.5602505027982454
