T,twisted_unit_roof_count,twisted_count_over_T,riemann_von_mangoldt_main,rvm_main_over_T
100,126,1.26,29.0023435873,0.290023435873
1000,1273,1.273,648.616235313,0.648616235313
10000,12732,1.2732,10142.9653475,1.01429653475
100000,127322,1.27322,138068.558419,1.38068558419
1000000,1273238,1.273238,1747145.50863,1.74714550863
