cutoff_k,state_count,max_h,grid_id,sigma,tau,observable,seed,value_re,value_im,abs_value,target_re,target_im,target_abs_error,target_status,successive_k_drift,precision_mode
8,256,55,C325_11,3.25,11.0,liouville,none,0.9164378663355368,0.0547177489489893,0.9180699292012977,0.916562185840334,0.056044041325188323,0.001332106154342314,PROVED_DIRICHLET_LIMIT_RE_GT_2,,numpy_complex128
8,256,55,R160,1.6,0.0,mobius,none,-0.5901695904653704,0.0,0.5901695904653704,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R175,1.75,0.0,mobius,none,-0.24059273564664566,0.0,0.24059273564664566,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R190,1.9,0.0,mobius,none,0.017447689423609632,0.0,0.017447689423609632,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R200,2.0,0.0,mobius,none,0.15239245278989322,0.0,0.15239245278989322,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R2125,2.125,0.0,mobius,none,0.2896667248846866,0.0,0.2896667248846866,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R250,2.5,0.0,mobius,none,0.5622927930802197,0.0,0.5622927930802197,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R300,3.0,0.0,mobius,none,0.7509569368154141,0.0,0.7509569368154141,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R400,4.0,0.0,mobius,none,0.9047518595293172,0.0,0.9047518595293172,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_3,1.6,3.0,mobius,none,1.3816404738548422,0.1015003516415463,1.3853637502032419,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_9,1.6,9.0,mobius,none,1.0766592346889152,-0.047619938616142554,1.077711819641376,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C175_5,1.75,5.0,mobius,none,1.146027126308309,-0.1696623168777965,1.1585177927001478,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C190_11,1.9,11.0,mobius,none,0.7846325164964199,0.12721100723964904,0.7948778687989939,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_1,2.25,1.0,mobius,none,0.8497244202100305,0.45394351147541145,0.9633775489972244,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_7,2.25,7.0,mobius,none,0.9159004564562686,-0.1084117749597188,0.9222942909325189,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C275_3,2.75,3.0,mobius,none,1.146471115596963,0.07897763383554188,1.1491881854354429,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C325_11,3.25,11.0,mobius,none,0.9305022600347047,0.06270259712381852,0.9326124981018457,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R160,1.6,0.0,symbolic_parity,none,0.5582003289019788,0.0,0.5582003289019788,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R175,1.75,0.0,symbolic_parity,none,0.6059897649847863,0.0,0.6059897649847863,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R190,1.9,0.0,symbolic_parity,none,0.6492878837621331,0.0,0.6492878837621331,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R200,2.0,0.0,symbolic_parity,none,0.6757222353155533,0.0,0.6757222353155533,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R2125,2.125,0.0,symbolic_parity,none,0.7061496326847929,0.0,0.7061496326847929,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R250,2.5,0.0,symbolic_parity,none,0.7816827125103436,0.0,0.7816827125103436,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R300,3.0,0.0,symbolic_parity,none,0.8527638864418854,0.0,0.8527638864418854,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R400,4.0,0.0,symbolic_parity,none,0.931512529888228,0.0,0.931512529888228,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_3,1.6,3.0,symbolic_parity,none,1.2883358857507754,0.07558120707302385,1.2905509960384558,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_9,1.6,9.0,symbolic_parity,none,0.5512334111178077,-0.35610558185208074,0.6562541115747641,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C175_5,1.75,5.0,symbolic_parity,none,1.2766923711215776,-0.05050639214310382,1.2776910057315694,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C190_11,1.9,11.0,symbolic_parity,none,1.1506065270559729,0.4396777578697787,1.2317515621541557,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_1,2.25,1.0,symbolic_parity,none,0.8162330806205893,0.19216842702546105,0.838549429816047,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_7,2.25,7.0,symbolic_parity,none,1.0272998551758243,-0.17231144465267462,1.0416507218845295,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C275_3,2.75,3.0,symbolic_parity,none,1.0922121536734946,0.0989137991622082,1.0966819631492053,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C325_11,3.25,11.0,symbolic_parity,none,0.9997964597402846,0.1259208273793951,1.007694902079552,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R160,1.6,0.0,random_state_sign,2026081201,-1.4146955181015644,0.0,1.4146955181015644,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R175,1.75,0.0,random_state_sign,2026081201,-1.3691125639787627,0.0,1.3691125639787627,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R190,1.9,0.0,random_state_sign,2026081201,-1.3288756457729418,0.0,1.3288756457729418,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R200,2.0,0.0,random_state_sign,2026081201,-1.3045135476764418,0.0,1.3045135476764418,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R2125,2.125,0.0,random_state_sign,2026081201,-1.2765101335616098,0.0,1.2765101335616098,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R250,2.5,0.0,random_state_sign,2026081201,-1.206667977309423,0.0,1.206667977309423,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R300,3.0,0.0,random_state_sign,2026081201,-1.140226001326939,0.0,1.140226001326939,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R400,4.0,0.0,random_state_sign,2026081201,-1.065940614518687,0.0,1.065940614518687,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_3,1.6,3.0,random_state_sign,2026081201,-0.8213545134406272,-0.0917973997693024,0.8264683898091291,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_9,1.6,9.0,random_state_sign,2026081201,-1.114473507691749,-0.1357041860355836,1.1227051373599084,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C175_5,1.75,5.0,random_state_sign,2026081201,-0.5971573169541777,0.033813906732794954,0.5981139034334902,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C190_11,1.9,11.0,random_state_sign,2026081201,-1.064858327389131,0.28693549601426377,1.1028396240083729,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_1,2.25,1.0,random_state_sign,2026081201,-1.1779517914686695,0.1809146814593827,1.1917636279866062,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_7,2.25,7.0,random_state_sign,2026081201,-1.086257126051513,-0.2636288176097614,1.1177900953989588,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C275_3,2.75,3.0,random_state_sign,2026081201,-0.9304076978529512,0.09200948031741145,0.934946110047156,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C325_11,3.25,11.0,random_state_sign,2026081201,-1.0248041475963212,0.10126568117029307,1.0297952607744445,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R160,1.6,0.0,random_state_sign,2026081202,1.0905962608726123,0.0,1.0905962608726123,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R175,1.75,0.0,random_state_sign,2026081202,1.0552212411446853,0.0,1.0552212411446853,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R190,1.9,0.0,random_state_sign,2026081202,1.0261594504155382,0.0,1.0261594504155382,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R200,2.0,0.0,random_state_sign,2026081202,1.0102930979732136,0.0,1.0102930979732136,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R2125,2.125,0.0,random_state_sign,2026081202,0.9940775534115084,0.0,0.9940775534115084,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R250,2.5,0.0,random_state_sign,2026081202,0.9646270577141542,0.0,0.9646270577141542,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R300,3.0,0.0,random_state_sign,2026081202,0.9530141204229091,0.0,0.9530141204229091,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R400,4.0,0.0,random_state_sign,2026081202,0.9623902888101842,0.0,0.9623902888101842,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_3,1.6,3.0,random_state_sign,2026081202,0.9669039502928396,0.218969341263033,0.9913883303252388,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_9,1.6,9.0,random_state_sign,2026081202,0.6550733617981351,0.10788624428540385,0.6638979974691295,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C175_5,1.75,5.0,random_state_sign,2026081202,1.4266212695182332,0.23721342366240183,1.4462083027722712,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C190_11,1.9,11.0,random_state_sign,2026081202,1.0715697720229342,0.47227616697841657,1.1710279903610794,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_1,2.25,1.0,random_state_sign,2026081202,0.8975806259709014,-0.03906130171898068,0.8984301672418933,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_7,2.25,7.0,random_state_sign,2026081202,0.946342034282685,-0.43371179249709185,1.0409943154510168,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C275_3,2.75,3.0,random_state_sign,2026081202,0.9881191579151876,0.13570813147135766,0.9973946897725426,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C325_11,3.25,11.0,random_state_sign,2026081202,1.0187767897110884,0.13538980163865494,1.0277336939313537,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R160,1.6,0.0,random_state_sign,2026081203,1.492087744714456,0.0,1.492087744714456,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R175,1.75,0.0,random_state_sign,2026081203,1.4439756076026717,0.0,1.4439756076026717,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R190,1.9,0.0,random_state_sign,2026081203,1.395923804356726,0.0,1.395923804356726,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R200,2.0,0.0,random_state_sign,2026081203,1.365328579426139,0.0,1.365328579426139,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R2125,2.125,0.0,random_state_sign,2026081203,1.3294445938755222,0.0,1.3294445938755222,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R250,2.5,0.0,random_state_sign,2026081203,1.2396372860967562,0.0,1.2396372860967562,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R300,3.0,0.0,random_state_sign,2026081203,1.1571013279976186,0.0,1.1571013279976186,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,R400,4.0,0.0,random_state_sign,2026081203,1.0704814942710648,0.0,1.0704814942710648,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_3,1.6,3.0,random_state_sign,2026081203,0.8522582614500768,-0.0884208394314994,0.8568327660959741,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C160_9,1.6,9.0,random_state_sign,2026081203,1.5375610893632532,-0.15560008641859066,1.5454143426335174,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C175_5,1.75,5.0,random_state_sign,2026081203,0.8564001300912711,0.09469214695363332,0.8616192810720026,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C190_11,1.9,11.0,random_state_sign,2026081203,1.0064919804224532,-0.3278779480954774,1.058550922488858,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_1,2.25,1.0,random_state_sign,2026081203,1.1844542855663482,-0.23005828426394812,1.2065897267733385,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C225_7,2.25,7.0,random_state_sign,2026081203,0.9036806569892081,0.23622887012932545,0.9340464704173045,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C275_3,2.75,3.0,random_state_sign,2026081203,0.9115359186225432,-0.09262535785247705,0.9162298771904043,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
8,256,55,C325_11,3.25,11.0,random_state_sign,2026081203,1.0078320735723052,-0.11127658391239274,1.0139565901202399,,,,CONTROL_NO_ANALYTIC_TARGET,,numpy_complex128
10,1024,144,R160,1.6,0.0,unsigned,none,5.86268778682474,0.0,5.86268778682474,-0.8542701806849421,0.0,6.716957967509682,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,1.371853340146517,numpy_complex128
10,1024,144,R175,1.75,0.0,unsigned,none,4.336640572997136,0.0,4.336640572997136,-1.753681974672427,0.0,6.0903225476695635,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.7879369473143876,numpy_complex128
10,1024,144,R190,1.9,0.0,unsigned,none,3.348920954612172,0.0,3.348920954612172,-5.389417477926302,0.0,8.738338432538473,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.4563741129717429,numpy_complex128
10,1024,144,R200,2.0,0.0,unsigned,none,2.8849235730172804,0.0,2.8849235730172804,,,,PROVED_DIVERGENT_BOUNDARY_NO_FINITE_TARGET,0.3186568291197611,numpy_complex128
10,1024,144,R2125,2.125,0.0,unsigned,none,2.453397129071296,0.0,2.453397129071296,5.56989105851767,0.0,3.116493929446374,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.2045481895873391,numpy_complex128
