observable,grid_id,sigma,tau,target_status,error_k8,value_abs_k8,drift_to_k8,error_k10,value_abs_k10,drift_to_k10,error_k12,value_abs_k12,drift_to_k12,error_k14,value_abs_k14,drift_to_k14,error_k16,value_abs_k16,drift_to_k16,error_k18,value_abs_k18,drift_to_k18,error_k20,value_abs_k20,drift_to_k20,error_k22,value_abs_k22,drift_to_k22
unsigned,R160,1.6,0.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,5.345104627363165,4.490834446678223,,6.716957967509682,5.86268778682474,1.371853340146517,8.401719813926492,7.547449633241551,1.6847618464168113,10.475194228665965,9.620924047981022,2.0734744147394712,13.030360996592796,12.176090815907854,2.5551667679268313,16.181677589934058,15.327407409249117,3.1513165933412637,20.07027765273836,19.216007472053416,3.888600062804299,24.870334989199222,24.01606480851428,4.800057336460863
unsigned,R175,1.75,0.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,5.3023856003551755,3.5487036256827484,,6.0903225476695635,4.336640572997136,0.7879369473143876,6.969086956434108,5.21540498176168,0.8787644087645443,7.952547237339896,6.198865262667469,0.9834602809057884,9.055658610217975,7.3019766355455475,1.1031113728780788,10.294871112003115,8.541189137330688,1.2392125017851408,11.688469315767312,9.934787341094886,1.3935982037641974,13.256895233286052,11.503213258613625,1.5684259175187396
unsigned,R190,1.9,0.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,8.28196431956673,2.892546841640429,,8.738338432538473,3.348920954612172,0.4563741129717429,9.20238726414506,3.812969786218758,0.46404883160658583,9.676798978286444,4.287381500360142,0.4744117141413837,10.163635928047311,4.774218450121009,0.48683694976086755,10.664593579975849,5.275176102049547,0.5009576519285375,11.181142541375344,5.791725063449043,0.5165489613994962,11.714612469730783,6.325194991804481,0.533469928355438
unsigned,R200,2.0,0.0,PROVED_DIVERGENT_BOUNDARY_NO_FINITE_TARGET,,2.5662667438975193,,,2.8849235730172804,0.3186568291197611,,3.1903115531051385,0.30538798008785806,,3.485082061026844,0.29477050792170534,,3.7710833731883566,0.2860013121615128,,4.049667412519327,0.27858403933097,,4.321860034834967,0.27219262231564034,,4.588462566475215,0.26660253164024805
unsigned,R2125,2.125,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,3.321042119033713,2.248848939483957,,3.116493929446374,2.453397129071296,0.2045481895873391,2.9339137366358337,2.6359773218818363,0.18258019281054017,2.7693194722518566,2.8005715862658134,0.16459426438397706,2.619819000082282,2.950072058435388,0.14950047216957474,2.4832179584515313,3.0866731000661387,0.1366010416307506,2.3577961090686994,3.2120949494489706,0.12542184938283185,2.242170381204262,3.327720677313408,0.11562572786443726
unsigned,R250,2.5,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.2735226065516019,1.6738498597653548,,0.21722695601933184,1.7301455102976249,0.056295650532270036,0.1757438543058225,1.7716286120111342,0.04148310171350933,0.14446619933438476,1.802906266982572,0.03127765497143775,0.12042767687835054,1.8269447894386062,0.024038522456034217,0.10164609282706416,1.8457263734898925,0.018781584051286382,0.08675771409968158,1.8606147522172751,0.014888378727382579,0.07480171213381959,1.8725707541831371,0.011956001965861995
unsigned,R300,3.0,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.03363188522266913,1.3348008923975367,,0.022529333333247248,1.3459034442869586,0.011102551889421886,0.015841964943859477,1.3525908126763464,0.006687368389387771,0.011601597649852469,1.3568311799703534,0.004240367294007008,0.008791606975608435,1.3596411706445974,0.002809990674244034,0.006856927111607014,1.3615758505085989,0.0019346798640014207,0.00547980911815471,1.3629529685020512,0.0013771179934523037,0.004470669378659586,1.3639621082415463,0.001009139739495124
unsigned,R400,4.0,0.0,PROVED_DIRICHLET_LIMIT_RE_GT_2,0.0012694548125167238,1.1093570805136315,,0.0006790844159147991,1.1099474509102334,0.0005903703966019247,0.0004027544963256524,1.1102237808298225,0.00027632991958914666,0.00025791206373848574,1.1103686232624097,0.00014484243258716667,0.00017503401759255688,1.1104515013085556,8.287804614592886e-05,0.0001242554340326052,1.1105022798921156,5.0778583559951684e-05,9.141437243065376e-05,1.1105351209537175,3.284106160195144e-05,6.922896637595599e-05,1.1105573063597722,2.2185406054697765e-05
unsigned,C160_3,1.6,3.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.19152111267365088,0.559954191852176,,0.2442663932164664,0.8918615704294364,0.3910143077373254,0.18987802985960228,0.8817143925824471,0.360862606696009,0.11078242434366654,0.6490524959729723,0.2932685704455175,0.17500013356170438,0.916719756579639,0.267798953272942,0.1517436714405984,0.7781034875256271,0.25501193273677575,0.059971970911672993,0.7157556023529079,0.2060178816233496,0.1294117122448754,0.8669167487824831,0.18419029730383782
unsigned,C160_9,1.6,9.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.07186719618081114,1.226703889356745,,0.03516693323134206,1.1426576080787914,0.09021084581407529,0.04460170749267078,1.1321289949449165,0.01188747466549592,0.07734555226797123,1.0951812067331415,0.0936856257270467,0.06132050433658407,1.1925560605664476,0.0974187738272252,0.04662033795900994,1.2011651242733472,0.04476488869869227,0.05187700808465652,1.1851310245292892,0.05091670782572982,0.029361817058122314,1.1419368342505847,0.04578097030914542
unsigned,C175_5,1.75,5.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.0600354974251394,0.8511094894680137,,0.04991390728711711,0.8574932859696117,0.01327235694854927,0.05174093757758682,0.9214672645873445,0.07270623388614707,0.04938583994554369,0.9348696557642964,0.01666877512396879,0.04529466968346644,0.9508098588722298,0.04658626298403626,0.043909631372552466,0.9434990624331951,0.021032264229642317,0.035528725067484355,0.9167488745678359,0.02936228349280585,0.03189741123643787,0.9005672099498877,0.016299373470449786
unsigned,C190_11,1.9,11.0,MEROMORPHIC_BENCHMARK_ONLY_OUTSIDE_PROVED_DOMAIN,0.02381073618699262,1.166895909521195,,0.03284505897813092,1.2108166077160027,0.04436522474492244,0.02909706013404946,1.1729408581438163,0.05632820079051794,0.01966109194567435,1.1615288347468227,0.03357255547191767,0.014779834227965468,1.1806364846527853,0.021974348241124535,0.015552662220679312,1.1914064275487029,0.011310248615221112,0.018831207908961523,1.198160969608221,0.020019219821766382,0.01870577601623175,1.1803355215416265,0.02121340267717269
