cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
22,R200,2.0,0.0,liouville,mpmath_50dps,0.071180312997397458567957455774674161741981381305605,0.0,5.48628199008716002202524516896538144287e-52
22,R200,2.0,0.0,liouville,mpmath_100dps,0.07118031299739745856795745577467416174198138130560554862819900871600220252451689653814428695012889768,0.0,0.0
22,R2125,2.125,0.0,liouville,numpy_complex128,0.27458262965908226,0.0,1.111228347326854799360942583779307428803e-17
22,R2125,2.125,0.0,liouville,mpmath_50dps,0.27458262965908224888771652673145200639057416220693,0.0,4.288025011399555538852156397035134679415e-51
22,R2125,2.125,0.0,liouville,mpmath_100dps,0.2745826296590822488877165267314520063905741622069257119749886004444611478436029648653205851526488411,0.0,0.0
22,R250,2.5,0.0,liouville,numpy_complex128,0.5979407618545778,0.0,4.815307127472669583651208850570238485946e-16
22,R250,2.5,0.0,liouville,mpmath_50dps,0.59794076185457828153071274726695836512088505702385,0.0,1.40541566180955782084194766029156513998e-51
22,R250,2.5,0.0,liouville,mpmath_100dps,0.5979407618545782815307127472669583651208850570238485945843381904421791580523397084348600201577368125,0.0,0.0
22,R300,3.0,0.0,liouville,numpy_complex128,0.7775845075938027,0.0,8.666235734810524832718225486723549648808e-16
22,R300,3.0,0.0,liouville,mpmath_50dps,0.77758450759380183337642651894751672817745132764504,0.0,4.880842685419618087471282872491606631231e-51
22,R300,3.0,0.0,liouville,mpmath_100dps,0.7775845075938018333764265189475167281774513276450351191573145803819125287171275083933687687854913848,0.0,0.0
22,R400,4.0,0.0,liouville,numpy_complex128,0.9122869305769935,0.0,1.003405103879377967470735343375776644219e-15
22,R400,4.0,0.0,liouville,mpmath_50dps,0.91228693057699249659489612062203252926465662422336,0.0,4.219263365386236435291001893887328621825e-51
22,R400,4.0,0.0,liouville,mpmath_100dps,0.9122869305769924965948961206220325292646566242233557807366346137635647089981061126713781745456557057,0.0,0.0
22,C160_3,1.6,3.0,liouville,numpy_complex128,1.2659748104161752,0.24259181729762916,1.117106480914744371398920833628956978386e-15
22,C160_3,1.6,3.0,liouville,mpmath_50dps,1.2659748104161762070007958359784561314805444377084,0.24259181729762867639242470011890336917923098109196,2.873965386381009303654030931282971942682e-50
22,C160_3,1.6,3.0,liouville,mpmath_100dps,1.265974810416176207000795835978456131480544437708428714069694961388669169594911445312320847973003014,0.2425918172976286763924247001189033691792309810919612123967026161006380019372437566851198036475736336,0.0
22,C160_9,1.6,9.0,liouville,numpy_complex128,1.3115532152465053,-0.12488448980245054,1.220329379265143127711896692078515988921e-15
22,C160_9,1.6,9.0,liouville,mpmath_50dps,1.311553215246505415726435428744493656731189487039,-0.12488448980244932517030574627203463710070845039207,3.399980209060699746349633445229965173306e-50
22,C160_9,1.6,9.0,liouville,mpmath_100dps,1.31155321524650541572643542874449365673118948703903370858020530415147303334203334694740398016545944,-0.1248844898024493251703057462720346371007084503920655594862073155222903093777212384797632771946912633,0.0
22,C175_5,1.75,5.0,liouville,numpy_complex128,1.3065320120840445,-0.21984517296866762,8.925970652344340150187455697718341486265e-16
22,C175_5,1.75,5.0,liouville,mpmath_50dps,1.3065320120840450826913956695717557114684989224533,-0.21984517296866829616585116210285166258897159459687,3.670782389134872605441759320328150446588e-50
22,C175_5,1.75,5.0,liouville,mpmath_100dps,1.306532012084045082691395669571755711468498922453263457918916153898081334061613675094073442120350671,-0.2198451729686682961658511621028516625889715945968665156571781913843456256070737968252804401906029313,0.0
22,C190_11,1.9,11.0,liouville,numpy_complex128,0.7456500053417974,0.15362710219767767,1.191092384700455106583754721991909691645e-15
22,C190_11,1.9,11.0,liouville,mpmath_50dps,0.74565000534179639877103308595573621303459097668457,0.15362710219767702483209572728077392616818909831158,3.407283648214219629199332815519539351805e-51
22,C190_11,1.9,11.0,liouville,mpmath_100dps,0.7456500053417963987710330859557362130345909766845733822521797546417869417445409660368400433471217313,0.1536271021976770248320957272807739261681890983115795877475871107892650821025129453562649871603672409,0.0
