repetition_index,branch_count,primitive_branch_count,repetition_branch_count,negative_eigenvalue_sign_branch_count,max_relative_leading_factor_error,median_relative_leading_factor_error,min_relative_leading_factor_error,max_positive_formula_relative_residual,max_physical_formula_relative_residual
1,2241,2241,0,804,0.011092757866871040698326005796135237597097898346797,2.5153206666447167237963545602430544016421526851346e-12,1.1237080057359987913358340442914240870161831156871e-13,1.4912470497429083236106500654130824084682907031522e-101,1.4912470497429083236106500654130824084682907031522e-101
2,2241,0,2241,0,0.00012304927709302936107268257955302175434651494721406,6.3268380560500221545772288556280983733117387915879e-24,1.2627196821551754925304969386914041811228447280164e-26,1.4223865122786456425270970535154036503674563208212e-101,1.4223865122786456425270970535154036503674563208212e-101
3,2241,0,2241,804,0.0000013649558364864959870555763652037747838892940225569,1.5914026516896905358652617179004053255792226811103e-35,1.4189282158381865129985148111953545322399306378254e-39,2.0823259974280215009501274405391835550335955933455e-101,2.0823259974280215009501274405391835550335955933455e-101
