branch_id,primitive_owner_id,d_over_a,topological_word_length,cyclic_word,repetition_index,branch_class,physical_primitive_eigenvalue_sign,physical_repetition_eigenvalue_sign,direct_trace_magnitude,unstable_multiplier_magnitude,unstable_multiplier_power,universal_half_density,source_half_density_r1,source_half_density_relative_residual_r1,positive_convention_exact_stability_amplitude,physical_sign_exact_stability_amplitude,positive_amplitude_over_half_density,physical_amplitude_over_half_density,relative_leading_factor_error,trace_reconstruction_relative_residual,positive_formula_relative_residual,physical_formula_relative_residual,theorem_id,theorem_evidence_status,ledger_evidence_status,arithmetic_owner_status,half_density_arithmetic_verdict,prime_or_zero_tables_used,formal_route_a_tuple,a2_evaluation,route_b_invocation_allowed
Dba40e39df399a105-R1,Dba40e39df399a105,5.8,2,01,1,PRIMITIVE,1,1,90.16,90.148907242133128959301673994203864762402902101653,90.148907242133128959301673994203864762402902101653,0.10532216227779906673940895893709742058303103107779,0.105322162277799,6.3366918714509896692836293198525014334207229089305e-16,0.10650358071057624621734553178454860661109276245286,0.10650358071057624621734553178454860661109276245286,1.0112171874107659818432585525658333117332452597737,1.0112171874107659818432585525658333117332452597737,0.011092757866871040698326005796135237597097898346797,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
Dba40e39df399a105-R2,Dba40e39df399a105,5.8,2,01,2,REPETITION,1,1,90.16,90.148907242133128959301673994203864762402902101653,8126.8254769507229069706389273174204469782456534851,0.011092757866871040698326005796135237597097898346797,,,0.011094122990685025647640159560890479855322162755507,0.011094122990685025647640159560890479855322162755507,1.0001230644200809561956183930049428318779230970182,1.0001230644200809561956183930049428318779230970182,0.00012304927709302936107268257955302175434651494721406,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
Dba40e39df399a105-R3,Dba40e39df399a105,5.8,2,01,3,REPETITION,1,1,90.16,90.148907242133128959301673994203864762402902101653,732624.43609463504416351350401294442363479622521611,0.0011683132441629239645206967058008603491087930514595,,,0.0011683148388610821217348127663947850659400259154548,0.0011683148388610821217348127663947850659400259154548,1.0000013649576995934746043500084433751002210109854,1.0000013649576995934746043500084433751002210109854,0.0000013649558364864959870555763652037747838892940225569,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
D133679b62e39ad4d-R1,D133679b62e39ad4d,5.8,2,02,1,PRIMITIVE,1,1,90.16,90.148907242133128959301673994203864762402902101653,90.148907242133128959301673994203864762402902101653,0.10532216227779906673940895893709742058303103107779,0.105322162277799,6.3366918714509896692836293198525014334207229089305e-16,0.10650358071057624621734553178454860661109276245286,0.10650358071057624621734553178454860661109276245286,1.0112171874107659818432585525658333117332452597737,1.0112171874107659818432585525658333117332452597737,0.011092757866871040698326005796135237597097898346797,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
D133679b62e39ad4d-R2,D133679b62e39ad4d,5.8,2,02,2,REPETITION,1,1,90.16,90.148907242133128959301673994203864762402902101653,8126.8254769507229069706389273174204469782456534851,0.011092757866871040698326005796135237597097898346797,,,0.011094122990685025647640159560890479855322162755507,0.011094122990685025647640159560890479855322162755507,1.0001230644200809561956183930049428318779230970182,1.0001230644200809561956183930049428318779230970182,0.00012304927709302936107268257955302175434651494721406,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
D133679b62e39ad4d-R3,D133679b62e39ad4d,5.8,2,02,3,REPETITION,1,1,90.16,90.148907242133128959301673994203864762402902101653,732624.43609463504416351350401294442363479622521611,0.0011683132441629239645206967058008603491087930514595,,,0.0011683148388610821217348127663947850659400259154548,0.0011683148388610821217348127663947850659400259154548,1.0000013649576995934746043500084433751002210109854,1.0000013649576995934746043500084433751002210109854,0.0000013649558364864959870555763652037747838892940225569,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
D80a22a22022998f7-R1,D80a22a22022998f7,5.8,2,12,1,PRIMITIVE,1,1,90.16,90.148907242133128959301673994203864762402902101653,90.148907242133128959301673994203864762402902101653,0.10532216227779906673940895893709742058303103107779,0.105322162277799,6.3366918714509896692836293198525014334207229089305e-16,0.10650358071057624621734553178454860661109276245286,0.10650358071057624621734553178454860661109276245286,1.0112171874107659818432585525658333117332452597737,1.0112171874107659818432585525658333117332452597737,0.011092757866871040698326005796135237597097898346797,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
D80a22a22022998f7-R2,D80a22a22022998f7,5.8,2,12,2,REPETITION,1,1,90.16,90.148907242133128959301673994203864762402902101653,8126.8254769507229069706389273174204469782456534851,0.011092757866871040698326005796135237597097898346797,,,0.011094122990685025647640159560890479855322162755507,0.011094122990685025647640159560890479855322162755507,1.0001230644200809561956183930049428318779230970182,1.0001230644200809561956183930049428318779230970182,0.00012304927709302936107268257955302175434651494721406,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
D80a22a22022998f7-R3,D80a22a22022998f7,5.8,2,12,3,REPETITION,1,1,90.16,90.148907242133128959301673994203864762402902101653,732624.43609463504416351350401294442363479622521611,0.0011683132441629239645206967058008603491087930514595,,,0.0011683148388610821217348127663947850659400259154548,0.0011683148388610821217348127663947850659400259154548,1.0000013649576995934746043500084433751002210109854,1.0000013649576995934746043500084433751002210109854,0.0000013649558364864959870555763652037747838892940225569,1.0141857952815217233502959612292288903743655677221e-101,0,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
Dda8ec5fab7cd7412-R1,Dda8ec5fab7cd7412,5.8,3,012,1,PRIMITIVE,-1,-1,1445.2273382788207858142363850765,1445.2266463458270727223742079294527385284896076429,1445.2266463458270727223742079294527385284896076429,0.02630461924668539774941164486123223626128885225756,0.0263046192466854,8.5558674468263232744994644201094041896565598660107e-17,0.026322832883245311094989308160142802452031763807786,0.026286430797929354473080841943610670354842311540105,1.0006924120964878978915848282645222904700900547162,0.99930854544650612370487007576852123761306884739805,0.00069193299371309186217714704726147151039235709141015,0,8.4808396516437697889496853795355110733819556399534e-102,0,P25-UNIVERSAL-2D-HYPERBOLIC-STABILITY-AMPLITUDE,PROVED,NUMERICALLY_CERTIFIED,ABSENT_BY_CONSTRUCTION,STOP_SCOPED / PROVES_TOO_MUCH,false,UNASSIGNED,NOT_RUN,false
