topological_word_length,row_count,odd_length_rows,round2_open_rows,round3_certified_rows,direct_newton_rows,stationarity_fallback_rows,fallback_fraction,fallback_rate_decimal,abs_paraxial_trace_min,abs_paraxial_trace_median,abs_paraxial_trace_max,pre_refinement_return_residual_max,post_refinement_return_residual_max,multiscale_trace_relative_span_max,fine_determinant_residual_max,parity_trace_relative_residual_max,half_density_relative_residual_max
2,9,0,0,9,9,0,0/9,0.000000000000000,9.016e+1,9.8e+1,1.0616e+2,2.6074097946926214949145741189222e-14,4.1380964445730008460835630933251e-94,4.0490621733238236249803888612252e-54,6.7131924189643147420963533944531e-64,5.8032863718053704366367223417815e-66,1.9441058011876871536577064624772e-15
3,6,6,6,6,6,0,0/6,0.000000000000000,1.44522733827882e+3,1.63113769857076e+3,1.83222425913219e+3,2.9391888434510143923260650750160e-13,1.6455446598867002634587858772008e-98,2.1632729067683220093068321735574e-51,2.1170389067951190910193521454593e-62,3.2566274882478412635164404676687e-15,1.8005111236648665719085839192566e-15
4,9,0,9,9,9,0,0/9,0.000000000000000,1.31439111017352e+4,1.53995199464198e+4,1.79323748915878e+4,4.2976838804582429312536618534511e-12,1.9945667586895746497826062097970e-89,2.6129509317410188631539289799229e-49,6.0587873508475743088474550600832e-58,1.1558383809225855632063268205124e-15,8.7057100110611085444555610154413e-16
5,18,18,18,18,18,0,0/18,0.000000000000000,1.39324423078338e+5,1.70410715548439e+5,2.06792145757201e+5,6.3103957987326856105856981520486e-11,1.8142124662364769279765121431071e-76,3.1777541649514427455532345705547e-47,1.0974914247570992154799831769217e-53,1.3194833307057283172025173309065e-15,1.7781798295154159527706592426266e-15
6,27,0,27,27,27,0,0/27,0.000000000000000,1.19921409336261e+6,1.65232340897877e+6,2.64692697912623e+6,1.0120019557002213840760509922325e-9,1.2333793952277282959969915809637e-71,5.0793303343705646604705953361291e-45,2.8852308183158260643936830706743e-49,3.3578286215443857272917901154339e-15,9.2456255933544508090372588476097e-16
7,54,54,54,54,54,0,0/54,0.000000000000000,1.25763987478173e+7,1.88574593484013e+7,3.26486046065658e+7,1.0592435190530628141329262278294e-8,9.4042084001796300240252308383790e-71,8.6824160788201897369314211527343e-43,6.6753510295609197957668366665860e-45,5.4242504572752190839026634960115e-15,1.8072788593131602056357720867417e-15
8,90,0,90,90,90,0,0/90,0.000000000000000,1.08129631434195e+8,2.069501704033945e+8,3.9698657915694e+8,1.2071120851129079175608714564302e-7,4.7125238077840736973642665902939e-71,1.1532137238550226652267190447742e-40,1.2363469891693624493047620102564e-40,3.7454252807056591102655415051927e-15,1.5737349973390522729637761246075e-15
9,168,168,168,168,168,0,0/168,0.000000000000000,1.13377216773771e+9,2.46902614818864e+9,4.85338338065222e+9,1.4990106461804480315139271486479e-6,3.7495612639242004562649826105378e-71,1.7227247742099912942230092713015e-38,3.2612264617034629242862129065607e-36,4.5369350586930519654554246857649e-15,3.2730964901838559333461658992361e-15
10,297,0,297,297,297,0,0/297,0.000000000000000,9.74779734047421e+9,2.36931490555712e+10,5.98200065769316e+10,1.7368746635942691784901343561345e-5,6.4824146670235734568413804855070e-71,2.9147642975667842186630666355368e-36,7.5231690638736212157609187418021e-32,5.3843953943296543805506092123360e-15,3.5017431491361754122108440649222e-15
11,558,558,558,558,557,1,1/558,0.001792114695341,1.02208352651003e+11,2.60262018296246e+11,7.27311272758148e+11,2.7219711423903908731914499941615e-4,9.8359308999786068403099831126479e-71,3.8708426018758034092396853587354e-34,1.3933317470438053437579288879851e-27,4.6401318023898933253249008957158e-15,3.9549494778938647534312290517920e-15
12,1005,0,1005,1005,967,38,38/1005,0.037810945273632,8.7875331492182e+11,3.03659061779537e+12,8.89910897577906e+12,2.9402582526358210182633743068993e-3,9.4011973721399628760305063455299e-71,5.7909561128387677466804058968470e-32,3.6855338217734573902971063953442e-23,4.8800107445866041647336678344357e-15,2.3534204876876213867349242881528e-15
