topological_length,adjacency_trace,mobius_primitive_oriented_cycles,frozen_ledger_primitive_oriented_cycles,counts_match,collision_phase
1,0,0,0,true,-1
2,6,3,3,true,1
3,6,2,2,true,-1
4,18,3,3,true,1
5,30,6,6,true,-1
6,66,9,9,true,1
7,126,18,18,true,-1
8,258,30,30,true,1
9,510,56,56,true,-1
10,1026,99,99,true,1
11,2046,186,186,true,-1
12,4098,335,335,true,1
