d_over_a_exact,orbit_family,oriented_owner_words,owner_count,topological_period,exact_total_length_over_a,exact_mean_length_over_a,exact_mean_gap_from_period_two,locked_ledger_max_absolute_length_residual,locked_ledger_formula_check,proof_role
29/5,TWO_DISK_BOUNCE,01;02;12,3,2,2*(29/5-2),29/5-2,0,0,PASS,FIXES_THE_ONLY_POSSIBLE_SCALAR_C_FROM_PERIOD_TWO_OWNERS
29/5,THREE_DISK_EQUILATERAL_TRIANGLE,012;021,2,3,3*(29/5-sqrt(3)),29/5-sqrt(3),2-sqrt(3),0.00000000000003188058233902451761710082842,PASS,CONTRADICTS_THE_PERIOD_TWO_SCALAR_AND_CONSTANT_ROOF_COHOMOLOGY
6,TWO_DISK_BOUNCE,01;02;12,3,2,2*(6-2),6-2,0,0,PASS,FIXES_THE_ONLY_POSSIBLE_SCALAR_C_FROM_PERIOD_TWO_OWNERS
6,THREE_DISK_EQUILATERAL_TRIANGLE,012;021,2,3,3*(6-sqrt(3)),6-sqrt(3),2-sqrt(3),0.00000000000003188058233902451761710082842,PASS,CONTRADICTS_THE_PERIOD_TWO_SCALAR_AND_CONSTANT_ROOF_COHOMOLOGY
31/5,TWO_DISK_BOUNCE,01;02;12,3,2,2*(31/5-2),31/5-2,0,0,PASS,FIXES_THE_ONLY_POSSIBLE_SCALAR_C_FROM_PERIOD_TWO_OWNERS
31/5,THREE_DISK_EQUILATERAL_TRIANGLE,012;021,2,3,3*(31/5-sqrt(3)),31/5-sqrt(3),2-sqrt(3),0.00000000000003188058233902451761710082842,PASS,CONTRADICTS_THE_PERIOD_TWO_SCALAR_AND_CONSTANT_ROOF_COHOMOLOGY
