row_id,d_over_a,topological_word_length,cyclic_word,source_round2_fd_status,abs_source_paraxial_trace,source_trace_condition_tier,pre_refinement_return_residual,fallback_stationarity_residual,post_refinement_return_residual,multiscale_trace_relative_span,fine_determinant_residual,parity_corrected_trace_relative_residual,half_density_relative_residual,round3_validation_status,round3_failure_tier,fallback_selector_uses_paraxial_target,fallback_selector_uses_prime_or_zero_data,evidence_status
Dcb691d445461acef,5.8,12,020210202121,OPEN,1.88663973113694e+12,ABS_TRACE_GT_1E12,0.0011298075261365104001602204368996,1.4287342391028437277697294353817e-101,1.0521223254831635722655067468301e-89,2.6406126152104798549689571519792e-33,3.6336349791026066592001815455301e-29,1.8331574545397646328726502194881e-15,2.9762659209663520031019588706580e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D3d6a2357be8ea0f2,5.8,12,020212021021,OPEN,2.6490807709339e+12,ABS_TRACE_GT_1E12,0.0015010614674302923031087670811852,2.1431013586542655916545941530725e-101,5.1259647390160418049254503106755e-91,5.2983242460012612984591843218170e-33,1.3901997243332833813549774879773e-26,4.2998878136174541823837068806530e-16,1.0871300729326157448629135348048e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D0372c56bd39234bf,5.8,12,020212102121,OPEN,1.88663973113694e+12,ABS_TRACE_GT_1E12,0.0010986879744004302876863336860432,2.8574684782056874555394588707634e-101,3.3311836933459364331360938990363e-91,2.6402463225813096244566507987482e-33,7.5775546011328300623426212499367e-29,1.8331574545397646328726502194881e-15,1.6711766389230826674379696767698e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Dcd44374f1e4a1d18,5.8,12,021210212121,OPEN,1.75219945828818e+12,ABS_TRACE_GT_1E12,0.0012527539835388003407084329842010,4.2862027173085311833091883061450e-101,7.5066867049875987593757826473116e-90,1.9917967725060282927480166253534e-33,2.3470371800241516997675750582317e-26,2.2036335085363614773610891326466e-15,3.6253339281395436659367168928835e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D07981abbe4db9170,6,12,010120210212,OPEN,4.21360709956014e+12,ABS_TRACE_GT_1E12,0.00014863952453357370326380776180690,2.8574684782056874555394588707634e-101,3.6625002326040920057109707441438e-92,1.2905684926696779758883545175774e-32,1.3609253159255498099635330955296e-25,1.3193804987922674916783144452855e-15,1.1987442046598381790660094999732e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D6f1685159ee8f42d,6,12,010202102102,OPEN,4.28408909728837e+12,ABS_TRACE_GT_1E12,0.00034861324831227019082264188699121,2.8574684782056874555394588707634e-101,1.7779250889113494492739151321090e-89,1.5316692218151101215165760350091e-32,1.3138406491251077912814502387998e-24,8.1482577729350213977990695743634e-17,1.4170535416946970926365433764380e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
De31198da040d0012,6,12,012021021212,OPEN,3.99537706103427e+12,ABS_TRACE_GT_1E12,0.00017443469154034016817205121684805,2.1431013586542655916545941530725e-101,1.9778284573660286206489459835155e-89,1.0299951155921132117407143969565e-32,4.7202631735868681380621839026342e-25,8.2501229682443315443936689720159e-16,1.3690300084937542928090333005086e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
De192501ac7566b8c,6,12,012102102102,OPEN,5.59508110261462e+12,ABS_TRACE_GT_1E12,0.00037286852846969759361188843755272,2.8574684782056874555394588707634e-101,7.0126730167116147248739089156004e-90,2.3158376286442822555899820217976e-32,4.6113933175431762259489777557959e-25,1.1483958468225768613990987508901e-15,3.4142422137953259440265159916044e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Df75a20cb6d048993,6,12,020210212021,OPEN,4.2514347092156e+12,ABS_TRACE_GT_1E12,0.0013551590020892098566368668387724,2.8574684782056874555394588707634e-101,1.2484807170357517784101437909006e-89,1.3353581120249778935257206876912e-32,2.2735691555690922682960339503538e-25,6.3112233326081568197744870195069e-16,1.1138124245475025077472699335665e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D3f4c218f7c049c56,6,12,020210212121,OPEN,2.84521534732683e+12,ABS_TRACE_GT_1E12,0.0012372587145059675035589715946135,4.2862027173085311833091883061450e-101,7.2080551509339707802442426099714e-90,5.8733244307339041786355527738828e-33,2.6584390921304023655495345685700e-26,2.2296740656347070742202936819275e-16,2.3182704020376120984254792660066e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
Db597be98bb2a888f,6,12,020212021021,OPEN,4.28408909728837e+12,ABS_TRACE_GT_1E12,0.0024686000852914099522835270704027,4.2862027173085311833091883061450e-101,2.3139178394998440698439857270751e-89,1.3537145789548732429237254299492e-32,2.2647761590677767094135301697979e-25,8.1482577729350213977990695743635e-17,1.4170535416946970926365433764380e-15,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D0328a292723156e0,6,12,020212102121,OPEN,3.0569101011174e+12,ABS_TRACE_GT_1E12,0.0014001078368723852392892961901580,2.8574684782056874555394588707634e-101,3.0746314734526643563865919597942e-91,6.7806074384948172287797655524809e-33,3.5436902474122310473035695049380e-26,6.4155708760126188122088785032227e-16,1.0615065720910583586110308238883e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D59200143e65dd7b6,6,12,020212121021,OPEN,2.87384413575656e+12,ABS_TRACE_GT_1E12,0.0010766190457457931974473843112130,4.2862027173085311833091883061450e-101,1.2650954934616655054994970862167e-89,6.0917277955245395319281629779433e-33,4.5855526242334426939346500643642e-26,6.5089293873718644269689839890354e-16,3.4692480574684771077323785848974e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
D408161432f5edeff,6,12,021021212121,OPEN,2.67181919327681e+12,ABS_TRACE_GT_1E12,0.00097102869385359170361113463627200,2.8574684782056874555394588707634e-101,3.3418426214211004545316208109958e-89,4.6025121244589297142217438701027e-33,9.4953154742343378533590480182869e-26,1.1893627004124182389331469939730e-15,5.4892603341638879165025957240793e-16,NUMERICALLY_CERTIFIED,NONE,false,false,NUMERICALLY_CERTIFIED
