candidate_id,sigma,cutoff,row_nuclear_lower_prefix,row_dyadic_increment,row_increment_ratio,successor_s1_prefix,successor_dyadic_increment,theorem_membership,theorem_status
SD-C23,0.49,64,6.156946343377691,6.156946343377691,,3.6439556733824943,3.6439556733824943,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.49,128,7.77019754781353,1.613251204435839,0.2620213194112086,4.4024725070483575,0.7585168336658632,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.49,256,9.527788285827643,1.7575907380141134,1.0894712076962314,5.171574672930921,0.7691021658825639,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.49,512,11.426430497071157,1.898642211243514,1.0802527404012003,5.951412301822829,0.779837628891908,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.49,1024,13.453371340601088,2.02694084352993,1.0675738859731698,6.742135854747289,0.7907235529244598,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.49,2048,15.613475409215175,2.1601040686140873,1.0656966509452996,7.54389744552083,0.8017615907735411,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.49,4096,17.904158278703147,2.2906828694879717,1.0604502360655537,8.35685119793522,0.8129537524143888,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.5,64,5.862467572517486,5.862467572517486,,3.4707997564751545,3.4707997564751545,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.5,128,7.342227538300806,1.4797599657833196,0.25241247776281933,4.16395075159414,0.6931509951189851,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.5,256,8.933937434345827,1.591709896045021,1.0756541147553214,4.857098885819761,0.6931481342256216,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.5,512,10.631553834365437,1.6976164000196103,1.0665363105662276,5.550246304797746,0.6931474189779845,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.5,1024,12.420873517552074,1.789319683186637,1.054018848525478,6.243393544962302,0.6931472401645564,False,diagnostic_only_exact_threshold_proved_analytically
