candidate_id,graph_variant,cutoff,power,certified_cutoff,exact_infinite_trace,trace_numerator,trace_denominator,algorithm,source_oracle_free
SD-C23,full,7,1,1,True,0,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,2,3,True,2,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,3,5,True,3,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,4,7,True,10,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,5,9,False,5,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,6,11,False,17,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,7,13,False,21,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,8,15,False,42,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,9,17,False,48,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,10,19,False,97,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,11,21,False,132,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,12,23,False,229,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,13,25,False,325,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,14,27,False,555,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,15,29,False,818,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,16,31,False,1338,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,17,33,False,2023,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,18,35,False,3266,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,19,37,False,4997,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,20,39,False,7965,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,21,41,False,12309,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,22,43,False,19494,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,23,45,False,30268,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,24,47,False,47733,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,25,49,False,74380,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,26,51,False,116989,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,27,53,False,182649,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,28,55,False,286835,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,29,57,False,448398,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,30,59,False,703462,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,31,61,False,1100531,1,sparse_dictionary_dynamic_program,True
SD-C23,full,7,32,63,False,1725530,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,1,1,True,0,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,2,3,True,2,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,3,5,True,3,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,4,7,True,10,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,5,9,True,10,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,6,11,True,29,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,7,13,True,28,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,8,15,True,82,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,9,17,False,84,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,10,19,False,182,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,11,21,False,253,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,12,23,False,529,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,13,25,False,741,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,14,27,False,1416,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,15,29,False,2113,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,16,31,False,3890,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,17,33,False,6018,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,18,35,False,10694,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,19,37,False,17024,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,20,39,False,29710,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,21,41,False,47953,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,22,43,False,82447,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,23,45,False,134711,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,24,47,False,229585,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,25,49,False,377910,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,26,51,False,639927,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,27,53,False,1058808,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,28,55,False,1785584,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,29,57,False,2964322,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,30,59,False,4984799,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,31,61,False,8294918,1,sparse_dictionary_dynamic_program,True
SD-C23,full,15,32,63,False,13922610,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,1,1,True,0,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,2,3,True,2,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,3,5,True,3,1,sparse_dictionary_dynamic_program,True
SD-C23,full,31,4,7,True,10,1,sparse_dictionary_dynamic_program,True
