candidate_id,q,d,length,predicted_length,first_vertex,last_vertex,simple_cycle,primitive_certificate,closing_quotient,mass
SD-C23,6,15,75,75,15,89,True,True,6,189358553989510419323485423656177597913729997916001155284327489867490899321257970922466447366974780330737664000000000000000000
SD-C23,6,16,80,80,16,95,True,True,6,7899503684574063061087469521613141457092279979687858246076939676800558032804312889056922598780665607237230971605483520000000000000000000
SD-C23,7,2,12,12,2,13,True,True,7,6227020800
SD-C23,7,3,18,18,3,20,True,True,7,1216451004088320000
SD-C23,7,4,24,24,4,27,True,True,7,1814811575069725360128000000
SD-C23,7,5,30,30,5,34,True,True,7,12301366626650172535317442068480000000
SD-C23,7,6,36,36,6,41,True,True,7,278771055109698392568083850445339597209600000000
SD-C23,7,7,42,42,7,48,True,True,7,17241549434077878709530957010240798664613175492608000000000
SD-C23,7,8,48,48,8,55,True,True,7,2519127649535372207532758104675896222138952589573300944896000000000000
SD-C23,7,9,54,54,9,62,True,True,7,780505289196129402917984185390643950595542678503428377781824609320960000000000000
SD-C23,7,10,60,60,10,69,True,True,7,471567604795362961233653932102273035417412215866182675798192352632432979922124800000000000000
SD-C23,7,11,66,66,11,76,True,True,7,519591793889453884200819075413675749071427065525608833683996908884987886765745679871508480000000000000000
SD-C23,7,12,72,72,12,83,True,True,7,988436941268002107180371953165599711686219922630156883197660071157250870886359360842542286458427801600000000000000000
SD-C23,7,13,78,78,13,90,True,True,7,3101693114348180668518691239488189053826897365864098923557284284029500930882205563710000407871046901817482936320000000000000000000
SD-C23,7,14,84,84,14,97,True,True,7,15447637445258271797217768398904930382173095345879200557368377076777027244309489940808593280367567208264549909593955133030400000000000000000000
SD-C23,7,15,90,90,15,104,True,True,7,118137400990323926237367954566710345006782748857080972267617603600010362814673834471106378736681271440612565071035005302962163841761280000000000000000000000
SD-C23,7,16,96,96,16,111,True,True,7,1348158680961654104909519070046554425360893466733887618757374055486072626826350943996292794658847603697311323045553477510041588195448877700507238400000000000000000000000
SD-C23,8,2,14,14,2,15,True,True,8,1307674368000
SD-C23,8,3,21,21,3,23,True,True,8,12926008369442488320000
SD-C23,8,4,28,28,4,31,True,True,8,1370473109029653802954260480000000
SD-C23,8,5,35,35,5,39,True,True,8,849911753383226806610011739162620723200000000
SD-C23,8,6,42,42,6,47,True,True,8,2155193679259734838691369626280099833076646936576000000000
SD-C23,8,7,49,49,7,55,True,True,8,17633893546747605452729306732731273554972668127013106614272000000000000
SD-C23,8,8,56,56,8,63,True,True,8,393374665754849219070664029436884551100153509965727902402039603097763840000000000000
SD-C23,8,9,63,63,9,71,True,True,8,21093218962496585255981340382934672874220848415694351088453143933248727191916642304000000000000000
SD-C23,8,10,70,70,10,79,True,True,8,2465327968139047422522994299878283873649162854881977257533807493462957425852904157113541145395200000000000000000
SD-C23,8,11,77,77,11,87,True,True,8,580841407181307241295635063574567238544362802596273206658667468919382196794420517548689214957124887980802048000000000000000000
SD-C23,8,12,84,84,12,95,True,True,8,258787740706646305881225501528046514134343092134574236141480543811986281154669290245504784336054605293091686629795640115200000000000000000000
SD-C23,8,13,91,91,13,103,True,True,8,206740451733066870915393920491743103761869810499891701468330806300018134925679210324436162789192225021071988874311259280183786723082240000000000000000000000
SD-C23,8,14,98,98,14,111,True,True,8,283113323001947362030999004709776429325787628014116399939048551652075251633533698239221486878357996776435377839566230277108733521044264317106520064000000000000000000000000
SD-C23,8,15,105,105,15,119,True,True,8,639446550795389515655410290003708762259759527260424000516127665689402114713332343661001750750075207303841337308105561429087215291869982751307785929852152803491840000000000000000000000000
SD-C23,8,16,112,112,16,127,True,True,8,2303830442945303294963702368391960170564546019054203713698047265385159868499067199784603174310834057722090167898567224929779958058565213328627217603956178471565996666986168320000000000000000000000000000
SD-C23,9,2,16,16,2,17,True,True,9,355687428096000
SD-C23,9,3,24,24,3,26,True,True,9,201645730563302817792000000
SD-C23,9,4,32,32,4,35,True,True,9,1722191327731024154944441889587200000000
SD-C23,9,5,40,40,5,44,True,True,9,110761315616185365335151075458942328763318272000000000
SD-C23,9,6,48,48,6,53,True,True,9,35624027367166879702483447944911663747419531569723447705600000000000
SD-C23,9,7,56,56,7,62,True,True,9,43708296194983246563407114381876061233350389996191989155782178121973760000000000000
SD-C23,9,8,64,64,8,71,True,True,9,168745751699972682047850723063477382993766787325554808707625151465989817535333138432000000000000000
SD-C23,9,9,72,72,9,80,True,True,9,1775036137060114144216555895912364389027397255515023625424341395293329346614090993121749624684544000000000000000000
SD-C23,9,10,80,80,10,89,True,True,9,45491499010439983138274138179160106122794494699340117545506836165766013652939014934413339315442021226656416399360000000000000000000
SD-C23,9,11,88,88,11,98,True,True,9,2597798293894193051594517676107044332509285098125813399331525236247439117621038304365899514772853042279432829196596246811456307200000000000000000000
SD-C23,9,12,96,96,12,107,True,True,9,307269170674036480717831013768321581066908373275987680692171000982381737136297104202607889742841587049406363153341915193125864461089566307123200000000000000000000000
SD-C23,9,13,104,104,13,116,True,True,9,70837105438727098222600009970500582946688770052112994407458476314323929845278868246482967846468949518537868318168335153327485908039213775485519655461632081920000000000000000000000000
SD-C23,9,14,112,112,14,125,True,True,9,30233995314242825393224440530078217461476981877351754772940252826576901161405081362002666329538504694515619001293533135561416772422115660480672147033545649233149562558873600000000000000000000000000000
SD-C23,9,15,120,120,15,134,True,True,9,22860539232059630881332578748491785592862807107205370644706805751238821780312667462424441335069327750119680075685890995995048627581219553337954505754842306812002945358739269286264687296512000000000000000000000000000000
SD-C23,9,16,128,128,16,143,True,True,9,29475003957407787704848289390752400844981861563525702129788079838086147621266060418907117529934628979410785263414520560787808070760439552959566402814753301286827819031121860979645282414306778313019338260480000000000000000000000000000000
SD-C23,10,2,18,18,2,19,True,True,10,121645100408832000
SD-C23,10,3,27,27,3,29,True,True,10,4420880996869850977271808000000
SD-C23,10,4,36,36,4,39,True,True,10,3399647013532907226440046956650482892800000000
SD-C23,10,5,45,45,5,49,True,True,10,25345077668094481703010506805053974036981367974133760000000000
SD-C23,10,6,54,54,6,59,True,True,10,1155692654547415297816158497669911719549190639772395271173510791168000000000000
SD-C23,10,7,63,63,7,69,True,True,10,237670072816862932461761581779545609850375756796556068602288945726746221880750899200000000000000
SD-C23,10,8,72,72,8,79,True,True,10,177503613706011414421655589591236438902739725551502362542434139529332934661409099312174962468454400000000000000000
SD-C23,10,9,81,81,9,89,True,True,10,409423491093959848244467243612440955105150452294061057909561525491894122876451134409720053838978191039907747594240000000000000000000
SD-C23,10,10,90,90,10,99,True,True,10,2571820310955251121078572499345973889184192247144555265338209983884964726444827921322240519625124511856638500904630284343341744128000000000000000000000
SD-C23,10,11,99,99,11,109,True,True,10,39788899448922331961113373634887498175516099072254196748190607259210575905253384617404100858580042790201728777452551282188254440795410120241997414400000000000000000000000
SD-C23,10,12,108,108,12,119,True,True,10,1396551266937130702191416073368099936775314807536766017127222821865654218533917838555627823638164252751589480680902546161126478197444042328856204470797101722826178560000000000000000000000000
SD-C23,10,13,117,117,13,129,True,True,10,103851515787782075057582984073804366498267669955880821997189287097688544113832511455762393586821943053822527286891317709250637802174068630776658844618911663658418821915202418848563200000000000000000000000000000
SD-C23,10,14,126,126,14,139,True,True,10,15441932034241942799030309347175659665093150103169224759995515337719145803916073657564328293039175602332601234838104952098744564943827289785204667949915914846899783855480227508296092347878930194104320000000000000000000000000000000
SD-C23,10,15,135,135,15,149,True,True,10,4369118257769394919025386039577900484770803107613658156718445048942018348473539736241627891927549897909837128408626435978491722657875366756929195173757666447962570456664007880081454444356361542784741406717097818456064000000000000000000000000000000000
SD-C23,10,16,144,144,16,159,True,True,10,2253391474669509104046566054089097861857726566706036621730015904452323932200363261359430950464434524361853248969641405893312134709632379925101649464394361484470119156766943933091653391936999846599385943193417551838573478589593497580339200000000000000000000000000000000000
SD-C23,11,2,20,20,2,21,True,True,11,51090942171709440000
SD-C23,11,3,30,30,3,32,True,True,11,131565418466846765083609006080000000
SD-C23,11,4,40,40,4,43,True,True,11,10069210510562305939559188678085666251210752000000000
SD-C23,11,5,50,50,5,54,True,True,11,9618487389135057519670530945126149211803273523825330880512000000000000
SD-C23,11,6,60,60,6,65,True,True,11,68730421600687255556026419223212468768218821261211979107684359453241298124800000000000000
SD-C23,11,7,70,70,7,76,True,True,11,2618742641202847576372128140084925775319992410249068521767344420780338949299358226552402739200000000000000000
SD-C23,11,8,80,80,8,87,True,True,11,418205813170541213732857245773688411751941217869316708794240577621955181691982772635056234769129919346177474560000000000000000000
SD-C23,11,9,90,90,9,98,True,True,11,233801846450477374643506590849633989925835658831323205939837271262269520585893447392930956329556773805148954627693662213031067648000000000000000000000
SD-C23,11,10,100,100,10,109,True,True,11,397888994489223319611133736348874981755160990722541967481906072592105759052533846174041008585800427902017287774525512821882544407954101202419974144000000000000000000000000
SD-C23,11,11,110,110,11,120,True,True,11,1843447672357012526892669216845891916543415545948531142607934124862663568464771546893428727202376813632098114498791360932686951220626135874090189901452174274130555699200000000000000000000000000
SD-C23,11,12,120,120,12,131,True,True,11,21223095766391144858767658625322660337585981032183804783345602711283630875102812041099602753402932282479171676349109687062460341252292665385518001486320787585234470446590766315892375552000000000000000000000000000000
SD-C23,11,13,130,130,13,142,True,True,11,562704621005057765274376433823454925222380993485490677023226978727099181860533880724590425571479280516024082301549937978676335896335664192864449508281653933657621999685053709611409937000402131430369184972800000000000000000000000000000000
SD-C23,11,14,140,140,14,153,True,True,11,32219964723671428795906523180219940579971428651107311530777462520253818009607112977623793076554937545018380723097739298891221290525914355740758994594904019048771541471090496837884171975326434614767517125627727399213110552166400000000000000000000000000000000000
SD-C23,11,15,150,150,15,164,True,True,11,3770684811879286098307155522273125917858176557593169468385522073166997139584577073632286778319098499104233650425809363649485763000671902780982857556645955449070887966977285150110118412974954050080175799781639989932285117988594134977276064741457920000000000000000000000000000000000000
SD-C23,11,16,160,160,16,175,True,True,11,859884936649409288034702794329149269683418876134210994050779343936090675347192620795097960783785746545109861133769953905693491016137944246298763527022507618400962384554041653076295948033466354374534672740197088870722107142490546860414516435147116276325085593542328320000000000000000000000000000000000000000
SD-C23,12,2,22,22,2,23,True,True,12,25852016738884976640000
SD-C23,12,3,33,33,3,35,True,True,12,5166573983193072464833325668761600000000
SD-C23,12,4,44,44,4,47,True,True,12,43103873585194696773827392525601996661532938731520000000000
SD-C23,12,5,55,55,5,59,True,True,12,5778463272737076489080792488349558597745953198861976355867553955840000000000000
SD-C23,12,6,66,66,6,71,True,True,12,7087321571398852646009730368666050085738205067673301965720256361571572336483991814144000000000000000
SD-C23,12,7,77,77,7,83,True,True,12,54798944023898036822079821083500848015884032510615897604478274344957988281939762965110544361255237320704000000000000000000
SD-C23,12,8,88,88,8,95,True,True,12,2049598906396638742579305972102128391943997289705827950240525906990931346744980778744397891941552473921286158107981469712384000000000000000000000
SD-C23,12,9,99,99,9,107,True,True,12,304196478967296115910652703630638365256239289543227803885249290972557919764934133160581810845413171178912299521808496041194605816478670644051968000000000000000000000000
SD-C23,12,10,110,110,10,119,True,True,12,153620639363084377241055768070490993045284628829044261883994510405221964038730962241119060600198067802674842874899280077723912601718844656174182491787681189510879641600000000000000000000000000
SD-C23,12,11,121,121,11,131,True,True,12,233454053430302593446444244878549263713445791354021852616801629824119939626130932452095630287432255107270888439840206557687063753775219319240698016349528663437579174912498429474816131072000000000000000000000000000000
SD-C23,12,12,132,132,12,143,True,True,12,965601129644679125210829960441048651681605784821102001771857495495702196072676139323397170280658445365497325229459693571408592398111999754955395356211318150156479351459552165693179451892690057534513521413324800000000000000000000000000000000
