candidate_id,power,certified_cutoff,trace_at_certified_cutoff,trace_at_plus_one,trace_at_larger_cutoff,stabilized_exactly,canonical_extremal_cycle,extremal_cycle_simple_certificate
SD-C23,1,1,0,0,0,True,,True
SD-C23,2,3,2,2,2,True,2 3,True
SD-C23,3,5,3,3,3,True,3 4 5,True
SD-C23,4,7,10,10,10,True,4 5 6 7,True
SD-C23,5,9,10,10,10,True,5 6 7 8 9,True
SD-C23,6,11,29,29,29,True,6 7 8 9 10 11,True
SD-C23,7,13,28,28,28,True,7 8 9 10 11 12 13,True
SD-C23,8,15,82,82,82,True,8 9 10 11 12 13 14 15,True
SD-C23,9,17,93,93,93,True,9 10 11 12 13 14 15 16 17,True
SD-C23,10,19,192,192,192,True,10 11 12 13 14 15 16 17 18 19,True
SD-C23,11,21,264,264,264,True,11 12 13 14 15 16 17 18 19 20 21,True
SD-C23,12,23,553,553,553,True,12 13 14 15 16 17 18 19 20 21 22 23,True
SD-C23,13,25,754,754,754,True,13 14 15 16 17 18 19 20 21 22 23 24 25,True
SD-C23,14,27,1458,1458,1458,True,14 15 16 17 18 19 20 21 22 23 24 25 26 27,True
SD-C23,15,29,2173,2173,2173,True,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,True
SD-C23,16,31,4002,4002,4002,True,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,True
SD-C23,17,33,6171,6171,6171,True,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,True
SD-C23,18,35,11027,11027,11027,True,18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,True
SD-C23,19,37,17442,17442,17442,True,19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37,True
SD-C23,20,39,30620,30620,30620,True,20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39,True
SD-C23,21,41,49297,49297,49297,True,21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,True
SD-C23,22,43,85010,85010,85010,True,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,True
SD-C23,23,45,138874,138874,138874,True,23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45,True
SD-C23,24,47,237433,237433,237433,True,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,True
SD-C23,25,49,390460,390460,390460,True,25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49,True
SD-C23,26,51,663028,663028,663028,True,26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51,True
SD-C23,27,53,1097103,1097103,1097103,True,27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53,True
SD-C23,28,55,1854450,1854450,1854450,True,28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55,True
SD-C23,29,57,3080061,3080061,3080061,True,29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57,True
SD-C23,30,59,5189919,5189919,5189919,True,30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59,True
SD-C23,31,61,8642056,8642056,8642056,True,31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61,True
SD-C23,32,63,14532674,14532674,14532674,True,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63,True
