candidate_id,graph_variant,s_integer,cutoff,power,certified_cutoff,exact_infinite_trace,trace,trace_numerator,trace_denominator,algorithm,source_oracle_free
SD-C23,full,3,31,5,9,True,1097806349/477937093683298959360000,1097806349,477937093683298959360000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,6,11,True,13368205970933523045555739/677355772498143030194208768000000000000,13368205970933523045555739,677355772498143030194208768000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,7,13,True,2577275932667561360271089/37365336444525591559184898620129280000000000,2577275932667561360271089,37365336444525591559184898620129280000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,8,15,True,474807759748947403948096875834588367/1121637988347412085641570736749359302443008000000000000,474807759748947403948096875834588367,1121637988347412085641570736749359302443008000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,9,17,True,91552237735850103737205160046376606290520709/48130869932012187001968574091855103766239954075648000000000000000000,91552237735850103737205160046376606290520709,48130869932012187001968574091855103766239954075648000000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,10,19,True,3872963606519458357798180359548513742671025480055229130767/426549553593433053698446877598372968767639246246975705172177584128000000000000000,3872963606519458357798180359548513742671025480055229130767,426549553593433053698446877598372968767639246246975705172177584128000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,11,21,True,201101052276869230041034531619304087780488862771500631773/4032832143065185234967134115475526250166771055425952121627860795392000000000000000000,201101052276869230041034531619304087780488862771500631773,4032832143065185234967134115475526250166771055425952121627860795392000000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,12,23,True,17059918132338771797193987480324614357158601450343947161418852447802479664541375331929/87597996278141747120298677546950259120296911011770849479046833706431234896934602306224128000000000000000000000000,17059918132338771797193987480324614357158601450343947161418852447802479664541375331929,87597996278141747120298677546950259120296911011770849479046833706431234896934602306224128000000000000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,13,25,True,2069763545148999927969553493167777238049948754364673566629201509670793625618259079/1637408699660649580787121434146839458940934567373870494108336968512522313842700643108651008000000000000000000000000,2069763545148999927969553493167777238049948754364673566629201509670793625618259079,1637408699660649580787121434146839458940934567373870494108336968512522313842700643108651008000000000000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,14,27,True,6461657907599508209639389422334213693064627428837005086849408267694420593504530174237212825781/1546864686118779879248292005950568874511758502124023204043507320818401020789177859337660927494216849817600000000000000000000000,6461657907599508209639389422334213693064627428837005086849408267694420593504530174237212825781,1546864686118779879248292005950568874511758502124023204043507320818401020789177859337660927494216849817600000000000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,15,29,True,55738736149328258763067218489494636119252612004182001617985012056282367648228687863928944219226900169631331/1781709058497393361166977889416911945194982767592756166955305025052432999102168757213294225647089852635734922493952000000000000000000000000000000,55738736149328258763067218489494636119252612004182001617985012056282367648228687863928944219226900169631331,1781709058497393361166977889416911945194982767592756166955305025052432999102168757213294225647089852635734922493952000000000000000000000000000000,sparse_fraction_dynamic_program,True
SD-C23,full,3,31,16,31,True,1697153219360835400354226345885668172621891742982122844076852588146602686807852966381784654071046839246666936955758456789/18941768679844359465467899847208977412599779820335634311473124983543976041928736110213319693832680056847134327479094410556169256960000000000000000000000000000,1697153219360835400354226345885668172621891742982122844076852588146602686807852966381784654071046839246666936955758456789,18941768679844359465467899847208977412599779820335634311473124983543976041928736110213319693832680056847134327479094410556169256960000000000000000000000000000,sparse_fraction_dynamic_program,True
