candidate_id,graph_variant,cutoff,power,certified_cutoff,exact_infinite_trace,rooted_closed_walks,primitive_rotation_classes,necklace_reconstruction,algorithm,source_oracle_free
SD-C23,full,63,1,1,True,0,0,0,sparse_dictionary_dynamic_program,True
SD-C23,full,63,2,3,True,2,1,2,sparse_dictionary_dynamic_program,True
SD-C23,full,63,3,5,True,3,1,3,sparse_dictionary_dynamic_program,True
SD-C23,full,63,4,7,True,10,2,10,sparse_dictionary_dynamic_program,True
SD-C23,full,63,5,9,True,10,2,10,sparse_dictionary_dynamic_program,True
SD-C23,full,63,6,11,True,29,4,29,sparse_dictionary_dynamic_program,True
SD-C23,full,63,7,13,True,28,4,28,sparse_dictionary_dynamic_program,True
SD-C23,full,63,8,15,True,82,9,82,sparse_dictionary_dynamic_program,True
SD-C23,full,63,9,17,True,93,10,93,sparse_dictionary_dynamic_program,True
SD-C23,full,63,10,19,True,192,18,192,sparse_dictionary_dynamic_program,True
SD-C23,full,63,11,21,True,264,24,264,sparse_dictionary_dynamic_program,True
SD-C23,full,63,12,23,True,553,43,553,sparse_dictionary_dynamic_program,True
SD-C23,full,63,13,25,True,754,58,754,sparse_dictionary_dynamic_program,True
SD-C23,full,63,14,27,True,1458,102,1458,sparse_dictionary_dynamic_program,True
SD-C23,full,63,15,29,True,2173,144,2173,sparse_dictionary_dynamic_program,True
SD-C23,full,63,16,31,True,4002,245,4002,sparse_dictionary_dynamic_program,True
SD-C23,full,63,17,33,True,6171,363,6171,sparse_dictionary_dynamic_program,True
SD-C23,full,63,18,35,True,11027,606,11027,sparse_dictionary_dynamic_program,True
SD-C23,full,63,19,37,True,17442,918,17442,sparse_dictionary_dynamic_program,True
SD-C23,full,63,20,39,True,30620,1521,30620,sparse_dictionary_dynamic_program,True
SD-C23,full,63,21,41,True,49297,2346,49297,sparse_dictionary_dynamic_program,True
SD-C23,full,63,22,43,True,85010,3852,85010,sparse_dictionary_dynamic_program,True
SD-C23,full,63,23,45,True,138874,6038,138874,sparse_dictionary_dynamic_program,True
SD-C23,full,63,24,47,True,237433,9867,237433,sparse_dictionary_dynamic_program,True
SD-C23,full,63,25,49,True,390460,15618,390460,sparse_dictionary_dynamic_program,True
SD-C23,full,63,26,51,True,663028,25472,663028,sparse_dictionary_dynamic_program,True
SD-C23,full,63,27,53,True,1097103,40630,1097103,sparse_dictionary_dynamic_program,True
SD-C23,full,63,28,55,True,1854450,66178,1854450,sparse_dictionary_dynamic_program,True
SD-C23,full,63,29,57,True,3080061,106209,3080061,sparse_dictionary_dynamic_program,True
SD-C23,full,63,30,59,True,5189919,172918,5189919,sparse_dictionary_dynamic_program,True
SD-C23,full,63,31,61,True,8642056,278776,8642056,sparse_dictionary_dynamic_program,True
SD-C23,full,63,32,63,True,14532674,454021,14532674,sparse_dictionary_dynamic_program,True
