control_id,degree,source_points,target,target_t0,maps_checked,continuous_count,time_factor_count,continuous_nonfactor_count,first_nonfactor_witness,expected_boundary_match,scope
T0-TIME-FACTOR,0,2,discrete-Z2,true,4,2,2,0,,true,exhaustive finite topology witness
NON-T0-A2,0,2,indiscrete-Z2,false,4,4,2,2,01,true,exhaustive finite topology witness
T0-TIME-FACTOR,1,4,discrete-Z2,true,16,4,4,0,,true,exhaustive finite topology witness
NON-T0-A2,1,4,indiscrete-Z2,false,16,16,4,12,0001,true,exhaustive finite topology witness
T0-TIME-FACTOR,2,8,discrete-Z2,true,256,16,16,0,,true,exhaustive finite topology witness
NON-T0-A2,2,8,indiscrete-Z2,false,256,256,16,240,00000001,true,exhaustive finite topology witness
