control_id,permutation_index,label_period_assignment,generic_theorem_signature_sha256,route_input_boundary_signature_sha256,theorem_signature_unchanged,route_input_signature_unchanged,arithmetic_specificity_selected,proves_too_much,boundary
LABEL-SWAP,1,prime-2->log(2);composite-4->log(4);nonarith-sqrt2->sqrt(2);neutral-37/29->37/29,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,2,prime-2->log(2);composite-4->log(4);nonarith-sqrt2->37/29;neutral-37/29->sqrt(2),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,3,prime-2->log(2);composite-4->sqrt(2);nonarith-sqrt2->log(4);neutral-37/29->37/29,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,4,prime-2->log(2);composite-4->sqrt(2);nonarith-sqrt2->37/29;neutral-37/29->log(4),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,5,prime-2->log(2);composite-4->37/29;nonarith-sqrt2->log(4);neutral-37/29->sqrt(2),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,6,prime-2->log(2);composite-4->37/29;nonarith-sqrt2->sqrt(2);neutral-37/29->log(4),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,7,prime-2->log(4);composite-4->log(2);nonarith-sqrt2->sqrt(2);neutral-37/29->37/29,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,8,prime-2->log(4);composite-4->log(2);nonarith-sqrt2->37/29;neutral-37/29->sqrt(2),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,9,prime-2->log(4);composite-4->sqrt(2);nonarith-sqrt2->log(2);neutral-37/29->37/29,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,10,prime-2->log(4);composite-4->sqrt(2);nonarith-sqrt2->37/29;neutral-37/29->log(2),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,11,prime-2->log(4);composite-4->37/29;nonarith-sqrt2->log(2);neutral-37/29->sqrt(2),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,12,prime-2->log(4);composite-4->37/29;nonarith-sqrt2->sqrt(2);neutral-37/29->log(2),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,13,prime-2->sqrt(2);composite-4->log(2);nonarith-sqrt2->log(4);neutral-37/29->37/29,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
LABEL-SWAP,14,prime-2->sqrt(2);composite-4->log(2);nonarith-sqrt2->37/29;neutral-37/29->log(4),4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,4cae673ad7c09d77dd2bf40dd57d5bca5fd919ecb4b794227ea87bc872b4c939,true,true,false,true,labels are controls only; no Route verdict is created
