control_id,prime,unit,clock,multiplicative_stabilizer,additive_period,additive_period_float,all_units_same_period,source_gate_status,source_gate_sha256,schematic_only,replaces_source_proof
PACKET-EVERY-UNIT-SCHEMATIC,2,packet-u0,"c(x,t)=t",2^Z,log(2)*Z,0.693147180559945,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,2,packet-u1,"c(x,t)=t",2^Z,log(2)*Z,0.693147180559945,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,2,packet-u2,"c(x,t)=t",2^Z,log(2)*Z,0.693147180559945,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,3,packet-u0,"c(x,t)=t",3^Z,log(3)*Z,1.09861228866811,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,3,packet-u1,"c(x,t)=t",3^Z,log(3)*Z,1.09861228866811,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,3,packet-u2,"c(x,t)=t",3^Z,log(3)*Z,1.09861228866811,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,5,packet-u0,"c(x,t)=t",5^Z,log(5)*Z,1.6094379124341,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,5,packet-u1,"c(x,t)=t",5^Z,log(5)*Z,1.6094379124341,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,5,packet-u2,"c(x,t)=t",5^Z,log(5)*Z,1.6094379124341,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,7,packet-u0,"c(x,t)=t",7^Z,log(7)*Z,1.94591014905531,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,7,packet-u1,"c(x,t)=t",7^Z,log(7)*Z,1.94591014905531,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
PACKET-EVERY-UNIT-SCHEMATIC,7,packet-u2,"c(x,t)=t",7^Z,log(7)*Z,1.94591014905531,true,PACKET_COROLLARY_ELIGIBLE,1b05110e23f23848442742b415811205ef24616413b59989996993d4297be9ab,true,false
