digit_min,digit_max,word_length,primitive_necklaces,necklace_formula,formula_difference,self_reversal_count,reversal_pair_count,trace_collision_group_count,trace_collision_orbit_excess,nonreversal_collision_group_count,nonreversal_collision_class_excess,cyclic_invariance_failures,reversal_transpose_failures,repetition_matrix_failures,roof_min,roof_max
1,2,1,2,2,0,2,0,0,0,0,0,0,0,0,0.9624236501192069,1.762747174039086
1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,2.6339157938496336,2.6339157938496336
1,2,3,2,2,0,2,0,0,0,0,0,0,0,0,3.6368929184641337,4.418695417230668
1,2,4,3,3,0,3,0,0,0,0,0,0,0,0,4.584863339122355,6.177939809689206
1,2,5,6,6,0,6,0,0,0,0,0,0,0,0,5.552944561447435,7.941295444351799
1,2,6,9,9,0,7,1,1,1,0,0,0,0,0,6.513227909600105,9.703938446349348
1,2,7,18,18,0,14,2,2,2,0,0,0,0,0,7.476472060523085,11.466703500042188
1,2,8,30,30,0,18,6,6,6,0,0,0,0,0,8.438582744024163,13.229447606610774
1,3,1,3,3,0,3,0,0,0,0,0,0,0,0,0.9624236501192069,2.3895264345742184
1,3,2,3,3,0,3,0,0,0,0,0,0,0,0,2.6339157938496336,4.126874137791121
1,3,3,8,8,0,6,1,1,1,0,0,0,0,0,3.6368929184641337,6.519145112525843
1,3,4,18,18,0,12,3,3,3,0,0,0,0,0,4.584863339122355,8.908424121205423
1,3,5,48,48,0,24,12,12,12,0,0,0,0,0,5.552944561447435,11.297973272528596
1,3,6,116,116,0,42,37,39,40,3,3,0,0,0,6.513227909600105,13.687497624878338
1,3,7,312,312,0,78,117,115,126,8,9,0,0,0,7.476472060523085,16.077024250338937
1,3,8,810,810,0,144,333,318,369,33,36,0,0,0,8.438582744024163,18.466550667414033
1,4,1,4,4,0,4,0,0,0,0,0,0,0,0,0.9624236501192069,2.8872709503576206
1,4,2,6,6,0,6,0,0,0,0,0,0,0,0,2.6339157938496336,5.267831587699267
1,4,3,20,20,0,12,4,4,4,0,0,0,0,0,3.6368929184641337,8.15564918793452
1,4,4,60,60,0,30,15,18,18,3,3,0,0,0,4.584863339122355,11.042889834956465
1,4,5,204,204,0,60,72,68,85,12,13,0,0,0,5.552944561447435,13.930162474556543
1,4,6,670,670,0,138,266,255,326,49,60,0,0,0,6.513227909600105,16.817433330777448
1,4,7,2340,2340,0,252,1044,868,1298,208,254,0,0,0,7.476472060523085,19.704704286381133
1,4,8,8160,8160,0,600,3780,2923,4915,831,1135,0,0,0,8.438582744024163,22.591975236446398
1,5,1,5,5,0,5,0,0,0,0,0,0,0,0,0.9624236501192069,3.2944622927421916
1,5,2,10,10,0,10,0,0,0,0,0,0,0,0,2.6339157938496336,6.177939809689206
1,5,3,40,40,0,20,10,10,12,2,2,0,0,0,3.6368929184641337,9.472550772535314
1,5,4,150,150,0,60,45,52,58,13,13,0,0,0,4.584863339122355,12.767007563023352
1,5,5,624,624,0,120,252,229,312,50,60,0,0,0,5.552944561447435,16.061470059848997
1,5,6,2580,2580,0,340,1120,935,1467,242,347,0,0,0,6.513227909600105,19.355932345022165
1,5,7,11160,11160,0,620,5270,3641,7185,1204,1915,0,0,0,7.476472060523085,22.65039463804508
1,5,8,48750,48750,0,1800,23475,14625,33385,5346,9910,0,0,0,8.438582744024163,25.944856930776858
