q	n	k	t	restricted_phase_size	cumulative_depth_le_t	exact_depth_t
2	6	1	0	32768	1	1
2	6	1	1	32768	32	31
2	6	1	2	32768	512	480
2	6	1	3	32768	4096	3584
2	6	1	4	32768	16384	12288
2	6	1	5	32768	32768	16384
2	6	2	0	1024	1	1
2	6	2	1	1024	16	15
2	6	2	2	1024	128	112
2	6	2	3	1024	512	384
2	6	2	4	1024	1024	512
2	6	3	0	64	1	1
2	6	3	1	64	8	7
2	6	3	2	64	32	24
2	6	3	3	64	64	32
2	6	4	0	8	1	1
2	6	4	1	8	4	3
2	6	4	2	8	8	4
2	6	5	0	2	1	1
2	6	5	1	2	2	1
3	5	1	0	59049	1	1
3	5	1	1	59049	81	80
3	5	1	2	59049	2187	2106
3	5	1	3	59049	19683	17496
3	5	1	4	59049	59049	39366
3	5	2	0	729	1	1
3	5	2	1	729	27	26
3	5	2	2	729	243	216
3	5	2	3	729	729	486
3	5	3	0	27	1	1
3	5	3	1	27	9	8
3	5	3	2	27	27	18
3	5	4	0	3	1	1
3	5	4	1	3	3	2
4	4	1	0	4096	1	1
4	4	1	1	4096	64	63
4	4	1	2	4096	1024	960
4	4	1	3	4096	4096	3072
4	4	2	0	64	1	1
4	4	2	1	64	16	15
4	4	2	2	64	64	48
4	4	3	0	4	1	1
4	4	3	1	4	4	3
