control,seed,level,endogenous_multiplier,wheel_modulus,derived_roof_log_wheel_ratio,residue_count,parent_outdegree,level_edge_count,deletion_histogram_chi_square,true_unit_count,observed_count,unit_false_positive_count,unit_false_negative_count,unit_precision,unit_recall,unit_jaccard
arithmetic,not_applicable,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
arithmetic,not_applicable,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
arithmetic,not_applicable,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,0,0,1.0,1.0,1.0
arithmetic,not_applicable,3,5,30,1.6094379124341003,8,4,8,3.0,8,8,0,0,1.0,1.0,1.0
arithmetic,not_applicable,4,7,210,1.9459101490553132,48,6,48,0.7500000000000001,48,48,0,0,1.0,1.0,1.0
arithmetic,not_applicable,5,11,2310,2.3978952727983707,480,10,480,1.9583333333333335,480,480,0,0,1.0,1.0,1.0
arithmetic,not_applicable,6,13,30030,2.5649493574615367,5760,12,5760,0.13333333333333333,5760,5760,0,0,1.0,1.0,1.0
arithmetic,not_applicable,7,17,510510,2.833213344056216,92160,16,92160,0.14305555555555555,92160,92160,0,0,1.0,1.0,1.0
fixed_branch,not_applicable,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
fixed_branch,not_applicable,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
fixed_branch,not_applicable,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,1,1,0.5,0.5,0.3333333333333333
fixed_branch,not_applicable,3,5,30,1.6094379124341003,8,4,8,8.000000000000002,8,8,4,4,0.5,0.5,0.3333333333333333
fixed_branch,not_applicable,4,7,210,1.9459101490553132,48,6,48,48.00000000000001,48,48,28,28,0.4166666666666667,0.4166666666666667,0.2631578947368421
fixed_branch,not_applicable,5,11,2310,2.3978952727983707,480,10,480,480.00000000000006,480,480,298,298,0.37916666666666665,0.37916666666666665,0.23393316195372751
fixed_branch,not_applicable,6,13,30030,2.5649493574615367,5760,12,5760,5760.000000000001,5760,5760,3743,3743,0.3501736111111111,0.3501736111111111,0.21224876354835315
fixed_branch,not_applicable,7,17,510510,2.833213344056216,92160,16,92160,92160.0,92160,92160,61790,61790,0.3295355902777778,0.3295355902777778,0.1972718415069828
cyclic_branch,not_applicable,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
cyclic_branch,not_applicable,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
cyclic_branch,not_applicable,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,0,0,1.0,1.0,1.0
cyclic_branch,not_applicable,3,5,30,1.6094379124341003,8,4,8,3.0,8,8,1,1,0.875,0.875,0.7777777777777778
cyclic_branch,not_applicable,4,7,210,1.9459101490553132,48,6,48,2.5,48,48,13,13,0.7291666666666666,0.7291666666666666,0.5737704918032787
cyclic_branch,not_applicable,5,11,2310,2.3978952727983707,480,10,480,3.791666666666667,480,480,161,161,0.6645833333333333,0.6645833333333333,0.49765990639625585
cyclic_branch,not_applicable,6,13,30030,2.5649493574615367,5760,12,5760,0.675,5760,5760,2227,2227,0.6133680555555555,0.6133680555555555,0.4423438086891198
cyclic_branch,not_applicable,7,17,510510,2.833213344056216,92160,16,92160,1.459375,92160,92160,38956,38956,0.5773003472222222,0.5773003472222222,0.40577808963055617
random_branch,20260812,0,1,1,0.0,1,not_applicable,0,0.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260812,1,2,2,0.6931471805599453,1,1,1,1.0,1,1,0,0,1.0,1.0,1.0
random_branch,20260812,2,3,6,1.0986122886681098,2,2,2,2.0000000000000004,2,2,1,1,0.5,0.5,0.3333333333333333
random_branch,20260812,3,5,30,1.6094379124341003,8,4,8,8.000000000000002,8,8,5,5,0.375,0.375,0.23076923076923078
random_branch,20260812,4,7,210,1.9459101490553132,48,6,48,7.750000000000001,48,48,33,33,0.3125,0.3125,0.18518518518518517
random_branch,20260812,5,11,2310,2.3978952727983707,480,10,480,17.541666666666668,480,480,343,343,0.28541666666666665,0.28541666666666665,0.16646415552855406
random_branch,20260812,6,13,30030,2.5649493574615367,5760,12,5760,12.104166666666668,5760,5760,4239,4239,0.2640625,0.2640625,0.15211521152115212
random_branch,20260812,7,17,510510,2.833213344056216,92160,16,92160,20.885416666666664,92160,92160,69259,69259,0.24849175347222222,0.24849175347222222,0.14187301370966243
