pair_cutoff,sigma,height,H_real,H_imag,reflection_residual
64,0.2,3.0,2.113698518146513,0.8957461606274284,0.0
64,0.35,11.0,1.1176804578874078,0.1298724366952292,0.0
64,0.5,17.0,70.63350013014426,0.0,0.0
64,0.8,-4.0,0.2709773685096084,-0.008618598078376949,0.0
256,0.2,3.0,1.9327231238944076,1.2988053603689054,0.0
256,0.35,11.0,1.1599343607714776,0.15348230827051323,0.0
256,0.5,17.0,68.55288158310888,0.0,0.0
256,0.8,-4.0,0.27016030661992013,0.002717959811006827,0.0
1024,0.2,3.0,1.6885038581731173,1.1376279199809427,0.0
1024,0.35,11.0,1.2068891043744858,0.15763939781937367,0.0
1024,0.5,17.0,67.77154111070438,0.0,0.0
1024,0.8,-4.0,0.2714797460045948,0.011504754185672358,0.0
4096,0.2,3.0,1.7661945256527953,0.9854313493831426,0.0
4096,0.35,11.0,1.1972915792596497,0.17788478549073514,0.0
4096,0.5,17.0,68.13391771101008,0.0,0.0
4096,0.8,-4.0,0.27285602406296916,0.01756532315872061,0.0
16384,0.2,3.0,1.8985408517475233,1.044832705943631,0.0
16384,0.35,11.0,1.1856275031785717,0.16772133397223235,0.0
16384,0.5,17.0,68.3144000127354,0.0,0.0
16384,0.8,-4.0,0.2744830059664637,0.022375988426851654,0.0
