control_type,name,pair_count,overlap_bound,trace_norm_sigma_0.1,trace_norm_sigma_0.5,critical_H_range,trace_class_Re_s_positive,verdict
offset_pairing,offset_1,4096,1,0.2938867000691676,0.3460951913657084,68.12538238069077,True,PROVES_TOO_MUCH
offset_pairing,offset_2,4096,2,0.6452441952162602,0.782206190068658,136.19792574374466,True,PROVES_TOO_MUCH
offset_pairing,offset_3,4095,3,0.9441877556809428,1.1514684976453673,34.49959969975742,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_0,4096,1,0.2938867000691676,0.3460951913657084,52.795696458425134,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_1,4096,1,0.2938867000691676,0.3460951913657084,232.1784794531406,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_2,4096,1,0.2938867000691676,0.3460951913657084,248.92110519535487,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_3,4096,1,0.2938867000691676,0.3460951913657084,183.02359918222325,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_4,4096,1,0.2938867000691676,0.3460951913657084,290.05353460945753,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_5,4096,1,0.2938867000691676,0.3460951913657084,300.38273447873354,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_6,4096,1,0.2938867000691676,0.3460951913657084,62.399655885712235,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_7,4096,1,0.2938867000691676,0.3460951913657084,71.3242955564514,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_8,4096,1,0.2938867000691676,0.3460951913657084,186.34535089148608,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_9,4096,1,0.2938867000691676,0.3460951913657084,161.9979671431624,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_10,4096,1,0.2938867000691676,0.3460951913657084,287.124823415764,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_11,4096,1,0.2938867000691676,0.3460951913657084,110.76576832499784,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_12,4096,1,0.2938867000691676,0.3460951913657084,59.89408172451157,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_13,4096,1,0.2938867000691676,0.3460951913657084,173.9537754848695,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_14,4096,1,0.2938867000691676,0.3460951913657084,122.42644124851641,True,PROVES_TOO_MUCH
within_pair_orientation,orientation_seed_15,4096,1,0.2938867000691676,0.3460951913657084,57.7918255387934,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_0,4096,4,1.07367545241482,1.3863332036982972,160.04903091209425,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_1,4096,4,1.0804618788649418,1.3943597204696112,520.709034055813,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_2,4096,4,0.8467363686814694,0.7880834251993744,310.7146113241268,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_3,4096,4,0.7979822830943971,0.8161778840935383,106.54788710990191,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_4,4096,4,0.9062672412140015,1.0472671198040253,64.9632641535752,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_5,4096,4,0.9221896384532834,1.1258206063468952,376.6443964617698,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_6,4096,4,1.0595455906785665,1.3669764429325753,63.73135548702877,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_7,4096,4,1.012994123534582,1.2513964933183146,112.4097121919706,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_8,4096,4,1.0507591026699807,1.3475048935893754,86.07788226330914,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_9,4096,4,1.0433267587467498,1.3353115192008402,82.70244034386086,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_10,4096,4,0.8800301490996081,0.9780367624790528,458.77611191662965,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_11,4096,4,0.9842102902560256,1.164915594262271,225.79515870434142,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_12,4096,4,1.1139618847281931,1.4107613063785824,202.8899742785764,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_13,4096,4,0.9579546067580951,1.1688765884551493,126.9884456559135,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_14,4096,4,1.0889631495243026,1.395195918743092,160.17509816909768,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_15,4096,4,0.9095898844663076,1.042058235307744,308.61646713805555,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_16,4096,4,1.0892764572307594,1.3878318735073398,72.96375314978653,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_17,4096,4,0.808195860831812,0.7788926758995349,174.83812241528474,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_18,4096,4,1.0764182252065773,1.3880753617713892,121.59107829790972,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_19,4096,4,0.9502963394236933,1.1009893458894469,56.0558893068371,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_20,4096,4,0.9300376744612343,1.15215460127462,156.27780326659058,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_21,4096,4,1.0487873086754256,1.3671060989606945,58.521846531208254,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_22,4096,4,1.0444749400615314,1.3459086167029413,172.21751206596184,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_23,4096,4,0.9975495573242033,1.1968039866853395,95.34178276618738,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_24,4096,4,0.9080293894284328,1.0049302475539696,137.4994833836066,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_25,4096,4,0.9629659776821669,1.1589958841214931,102.81196771710471,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_26,4096,4,0.931155125970001,1.0538594377998136,116.40038132512232,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_27,4096,4,0.8059107107405785,0.7548940772887739,323.72299183701676,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_28,4096,4,1.0609781168643821,1.359890050541049,330.5804058313152,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_29,4096,4,1.071185962032951,1.3760056882395943,155.14035424061709,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_30,4096,4,1.022459117082807,1.2499570789690893,78.81358119497082,True,PROVES_TOO_MUCH
random_block_pairing,random_seed_31,4096,4,0.9348945538658933,1.0977989230737528,841.743809866159,True,PROVES_TOO_MUCH
inventory,tensor_primes,4096,1,0.2938867000691676,0.3460951913657084,68.12538238069077,True,candidate_source
inventory,within_block_shuffled_primes,4096,1,0.7711795253067854,0.8000390469951563,91.12346135638676,True,PROVES_TOO_MUCH
inventory,composites,4096,1,0.24466091107351084,0.27236683790390065,37.94027819681702,True,PROVES_TOO_MUCH
inventory,consecutive_integers,4096,1,0.2746703363099515,0.3895775905508001,203.1722353453411,True,PROVES_TOO_MUCH
inventory,random_increasing_integers,4096,1,0.26253128359009675,0.2001357035868987,5.885458243151715,True,PROVES_TOO_MUCH
