repetition,fixed_supertrace,minus_one_cocycle_trace,difference,same
1,a - b,a - b,0,True
2,a**2 - b**2,a**2 + b**2,-2*b**2,False
3,a**3 - b**3,a**3 - b**3,0,True
4,a**4 - b**4,a**4 + b**4,-2*b**4,False
5,a**5 - b**5,a**5 - b**5,0,True
6,a**6 - b**6,a**6 + b**6,-2*b**6,False
7,a**7 - b**7,a**7 - b**7,0,True
8,a**8 - b**8,a**8 + b**8,-2*b**8,False
9,a**9 - b**9,a**9 - b**9,0,True
10,a**10 - b**10,a**10 + b**10,-2*b**10,False
