abs_z,R_certified_halfplane_lower_sigma,H_certified_strip_lower_sigma,H_certified_strip_upper_sigma,H_strip_nonempty,midpoint_local_factor_margin
0.5,0.0,0.0,1.0,True,0.6464466094067263
1.0,0.0,0.0,1.0,True,0.2928932188134524
1.25,0.32192809488736235,0.32192809488736235,0.6780719051126376,True,0.11611652351681556
1.4,0.4854268271702417,0.4854268271702417,0.5145731728297582,True,0.01005050633883342
1.5,0.5849625007211562,0.5849625007211562,0.4150374992788438,False,nan
