sigma,height,pair_cutoff,last_minus_atom,l1_partial_sum,trace_partial_real,trace_partial_imag,cauchy_l1_to_max,rigorous_l1_tail_bound,log_R_partial_real,log_R_partial_imag,cauchy_log_to_max,rigorous_log_tail_bound_z1
0.1,0.0,16,131,0.15190729728899743,0.15190729728899743,0.0,0.16504028524961273,0.611403532032902,-0.9134686034928619,0.0,0.3036162426163558,1.5733635851900454
0.1,0.0,64,719,0.19479183090853625,0.19479183090853625,0.0,0.12215575163007392,0.5174239879841803,-1.0115243617681773,0.0,0.20556048434104035,1.0722124082023752
0.1,0.0,256,3671,0.234437664195827,0.234437664195827,0.0,0.08250991834278315,0.4400458272810166,-1.087758035418506,0.0,0.12932681069071172,0.7858604305853729
0.1,0.0,1024,17863,0.2672698451627682,0.2672698451627682,0.0,0.04967773737584197,0.3756304752006673,-1.143272668117227,0.0,0.07381217799199069,0.6016156463136023
0.1,0.0,4096,84017,0.2938867000691683,0.2938867000691683,0.0,0.02306088246944188,0.3217716506391599,-1.1841701243411957,0.0,0.032914721768021904,0.47442966803495656
0.1,0.0,16384,386093,0.31694758253861016,0.31694758253861016,0.0,0.0,0.27626642493684317,-1.2170848461092176,0.0,0.0,0.3817239305399569
0.25,0.0,16,131,0.2627044019453302,0.2627044019453302,0.0,0.12253955885302098,0.29229397149389874,-0.788243415215502,0.0,0.14722955867156384,0.4130160825546491
0.25,0.0,64,719,0.30779320341415095,0.30779320341415095,0.0,0.07745075738420021,0.19258231247343097,-0.8475557401613232,0.0,0.08791723372574267,0.23851634098255226
0.25,0.0,256,3671,0.3406782444074198,0.3406782444074198,0.0,0.044565716390931376,0.1284531527118069,-0.8867556151063587,0.0,0.048717358780707154,0.14738525314099551
0.25,0.0,1024,17863,0.3620866747509826,0.3620866747509826,0.0,0.023157286047368553,0.08647728558737906,-0.9107482677793411,0.0,0.024724706107724703,0.09466353077272134
0.25,0.0,4096,84017,0.37580511917097875,0.37580511917097875,0.0,0.009438841627372407,0.05873127728319305,-0.925542628776332,0.0,0.009930345110733874,0.062395866202454416
0.25,0.0,16384,386093,0.38524396079835116,0.38524396079835116,0.0,0.0,0.04011624446461647,-0.9354729738870659,0.0,0.0,0.041792815258386455
0.5,0.0,16,131,0.3073978838661396,0.3073978838661396,0.0,0.039631091554786224,0.0854357657716761,-0.6204670326756246,0.0,0.041356857088811316,0.09341691110823254
0.5,0.0,64,719,0.32892797303195337,0.32892797303195337,0.0,0.018101002388972443,0.0370879470776142,-0.643361856978568,0.0,0.018462032785868,0.03851644287248695
0.5,0.0,256,3671,0.3394968319926678,0.3394968319926678,0.0,0.007532143428258031,0.016500212441602786,-0.6542224698815584,0.0,0.007601419882877547,0.016777037118193637
0.5,0.0,1024,17863,0.3441017342532911,0.3441017342532911,0.0,0.0029272411676347088,0.00747832092256112,-0.6588833106266847,0.0,0.0029405791377512536,0.007534667584805111
0.5,0.0,4096,84017,0.3460951913657072,0.3460951913657072,0.0,0.0009337840552186005,0.003449362931315308,-0.6608877344446632,0.0,0.0009361553197727579,0.003461302218883203
0.5,0.0,16384,386093,0.3470289754209258,0.3470289754209258,0.0,0.0,0.001609313069944872,-0.661823889764436,0.0,0.0,0.0016119071331618065
1.0,0.0,16,131,0.2663427592678411,0.2663427592678411,0.0,0.0032622940807371936,0.0072992700729927005,-0.40151461408168415,0.0,0.0032733052743609825,0.007352941176470588
1.0,0.0,64,719,0.26890096605455394,0.26890096605455394,0.0,0.0007040872940243803,0.001375515818431912,-0.40408334520192585,0.0,0.0007045741541192863,0.0013774104683195593
1.0,0.0,256,3671,0.2694680424714652,0.2694680424714652,0.0,0.00013701087711309734,0.0002722570106180234,-0.40465088962528606,0.0,0.0001370297307590751,0.0002723311546840959
