atom_count,free_rank,radius,group_ball_dimension,operator_dimension,height,alpha,singular_min,singular_q10,singular_median,singular_q90,singular_max,root_singular_q10_q50_q90,empirical_tau_gram,root_tau_gram,ordinary_eigen_max_distance_from_loop_values,z_probe,finite_section_logabsdet_per_group_dim,euler_loop_logabs,finite_logabsdet_error_vs_euler,rooted_regularized_fk_log_proxy,rooted_fk_minus_euler,fk_epsilon,warning
2,2,1,5,10,0.0,0.0,0.27300820884159493,0.2881995576275611,0.7071067811865478,1.1619064083826913,1.1784463492074546,"[0.27300820884159493, 1.16006863717994, 1.1784463492074546]",1.1666666666666665,1.6666666666666667,0.0,"[0.25, 0.0]",-0.3504071199085966,-0.3504071199085965,-5.551115123125783e-17,-0.35019100000376113,0.0002161199048353879,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,0.0,0.0,0.27300820884159493,0.2881995576275611,0.7071067811865478,1.1619064083826913,1.1784463492074546,"[0.27300820884159493, 1.16006863717994, 1.1784463492074546]",1.1666666666666665,1.6666666666666667,0.0,"[1.0, 0.0]",-2.089158679816006,-2.0891586798160064,4.440892098500626e-16,-1.4381464618863808,0.6510122179296256,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,0.0,0.5,0.2727223699713628,0.2881784502124416,0.7071067811865475,1.15391345290015,1.171880433345061,"[0.2727223699713628, 1.1519171217396045, 1.1718804333450612]",1.1632993161855452,1.6582482904638631,0.0,"[0.25, 0.0]",-0.3504071199085966,-0.3504071199085965,-5.551115123125783e-17,-0.3501864782044959,0.00022064170410063255,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,0.0,0.5,0.2727223699713628,0.2881784502124416,0.7071067811865475,1.15391345290015,1.171880433345061,"[0.2727223699713628, 1.1519171217396045, 1.1718804333450612]",1.1632993161855452,1.6582482904638631,0.0,"[1.0, 0.0]",-2.089158679816006,-2.0891586798160064,4.440892098500626e-16,-1.4145888478839952,0.6745698319320113,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,0.0,1.0,0.273008208841595,0.2881995576275612,0.7071067811865475,1.1619064083826913,1.1784463492074548,"[0.273008208841595, 1.1600686371799398, 1.1784463492074546]",1.1666666666666667,1.666666666666667,0.0,"[0.25, 0.0]",-0.3504071199085966,-0.3504071199085965,-5.551115123125783e-17,-0.35019096357336005,0.0002161563352364726,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,0.0,1.0,0.273008208841595,0.2881995576275612,0.7071067811865475,1.1619064083826913,1.1784463492074548,"[0.273008208841595, 1.1600686371799398, 1.1784463492074546]",1.1666666666666667,1.666666666666667,0.0,"[1.0, 0.0]",-2.089158679816006,-2.0891586798160064,4.440892098500626e-16,-1.4135446685283273,0.6756140112876792,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,3.0,0.0,0.273008208841595,0.28819955762756116,0.7071067811865475,1.1619064083826913,1.1784463492074546,"[0.2730082088415945, 1.16006863717994, 1.178446349207455]",1.1666666666666667,1.666666666666667,0.0,"[0.25, 0.0]",0.2261029330938542,0.22610293309385418,2.7755575615628914e-17,0.22617148925680625,6.85561629520659e-05,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,3.0,0.0,0.273008208841595,0.28819955762756116,0.7071067811865475,1.1619064083826913,1.1784463492074546,"[0.2730082088415945, 1.16006863717994, 1.178446349207455]",1.1666666666666667,1.666666666666667,0.0,"[1.0, 0.0]",0.8446409563684426,0.8446409563684425,1.1102230246251565e-16,0.8494887475442685,0.004847791175826011,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,3.0,0.5,0.320080988783037,0.33400238417134,0.6966351040783397,1.0579654396447298,1.0731892193736425,"[0.32008098878303703, 1.0562739085637392, 1.0731892193736425]",1.056669542055279,1.391673855138197,0.0,"[0.25, 0.0]",0.2261029330938542,0.22610293309385418,2.7755575615628914e-17,0.22613505876701398,3.212567315979964e-05,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,3.0,0.5,0.320080988783037,0.33400238417134,0.6966351040783397,1.0579654396447298,1.0731892193736425,"[0.32008098878303703, 1.0562739085637392, 1.0731892193736425]",1.056669542055279,1.391673855138197,0.0,"[1.0, 0.0]",0.8446409563684426,0.8446409563684425,1.1102230246251565e-16,0.8469504987610739,0.0023095423926313696,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
2,2,1,5,10,3.0,1.0,0.273008208841595,0.2881995576275612,0.7071067811865476,1.1619064083826913,1.1784463492074548,"[0.2730082088415945, 1.16006863717994, 1.1784463492074546]",1.1666666666666667,1.666666666666667,0.0,"[0.25, 0.0]",0.2261029330938542,0.22610293309385418,2.7755575615628914e-17,0.2261714961842578,6.856309040362274e-05,1e-08,finite-ball normalized determinant is a non-Folner finite-section proxy; rooted hermitization is a separate local proxy
