atom_count,generator_rank,length,closed_path_count,mixed_closed_path_count,tau_surviving_path_count,tau_surviving_mixed_path_count,passes
2,2,1,2,0,2,0,True
2,2,2,4,2,2,0,True
2,2,3,8,6,2,0,True
2,2,4,16,14,2,0,True
2,2,5,32,30,2,0,True
2,2,6,64,62,2,0,True
2,2,7,128,126,2,0,True
2,2,8,256,254,2,0,True
3,4,1,3,0,3,0,True
3,4,2,7,4,3,0,True
3,4,3,15,12,3,0,True
3,4,4,35,32,3,0,True
3,4,5,83,80,3,0,True
3,4,6,199,196,3,0,True
3,4,7,479,476,3,0,True
3,4,8,1155,1152,3,0,True
4,6,1,4,0,4,0,True
4,6,2,10,6,4,0,True
4,6,3,22,18,4,0,True
4,6,4,54,50,4,0,True
4,6,5,134,130,4,0,True
4,6,6,340,336,4,0,True
4,6,7,872,868,4,0,True
4,6,8,2254,2250,4,0,True
