length,closed_path_count,mixed_closed_path_count,tau_surviving_path_count,tau_surviving_mixed_path_count,distinct_closed_reduced_words,tau_trace,tau_trace_expanded,identity_examples,mixed_identity_examples,loop_only_baseline,mixed_identity_extra
1,0,0,0,0,0,0,0,[],[],0,0
2,14,8,14,8,1,2*(x0**2 + x1**2 + x2**2 + y01**2 + y10**2 + y12**2 + y21**2),2*x0**2 + 2*x1**2 + 2*x2**2 + 2*y01**2 + 2*y10**2 + 2*y12**2 + 2*y21**2,"[{""coefficient"": ""y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0]}, {""coefficient"": ""x0**2"", ""edge_names"": [""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 3, 0]}, {""coefficient"": ""y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 5, 1]}, {""coefficient"": ""y01**2"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 3, 1]}, {""coefficient"": ""x1**2"", ""edge_names"": [""L*:loop_1"", ""L:loop_1""], ""start"": 1, ""states"": [1, 4, 1]}, {""coefficient"": ""y12**2"", ""edge_names"": [""L*:edge_1_2"", ""L:edge_1_2""], ""start"": 2, ""states"": [2, 4, 2]}, {""coefficient"": ""x2**2"", ""edge_names"": [""L*:loop_2"", ""L:loop_2""], ""start"": 2, ""states"": [2, 5, 2]}, {""coefficient"": ""y01**2"", ""edge_names"": [""L:edge_0_1"", ""L*:edge_0_1""], ""start"": 3, ""states"": [3, 1, 3]}, {""coefficient"": ""x0**2"", ""edge_names"": [""L:loop_0"", ""L*:loop_0""], ""start"": 3, ""states"": [3, 0, 3]}, {""coefficient"": ""y12**2"", ""edge_names"": [""L:edge_1_2"", ""L*:edge_1_2""], ""start"": 4, ""states"": [4, 2, 4]}, {""coefficient"": ""y10**2"", ""edge_names"": [""L:edge_1_0"", ""L*:edge_1_0""], ""start"": 4, ""states"": [4, 0, 4]}, {""coefficient"": ""x1**2"", ""edge_names"": [""L:loop_1"", ""L*:loop_1""], ""start"": 4, ""states"": [4, 1, 4]}, {""coefficient"": ""y21**2"", ""edge_names"": [""L:edge_2_1"", ""L*:edge_2_1""], ""start"": 5, ""states"": [5, 1, 5]}, {""coefficient"": ""x2**2"", ""edge_names"": [""L:loop_2"", ""L*:loop_2""], ""start"": 5, ""states"": [5, 2, 5]}]","[{""coefficient"": ""y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0]}, {""coefficient"": ""y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 5, 1]}, {""coefficient"": ""y01**2"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 3, 1]}, {""coefficient"": ""y12**2"", ""edge_names"": [""L*:edge_1_2"", ""L:edge_1_2""], ""start"": 2, ""states"": [2, 4, 2]}, {""coefficient"": ""y01**2"", ""edge_names"": [""L:edge_0_1"", ""L*:edge_0_1""], ""start"": 3, ""states"": [3, 1, 3]}, {""coefficient"": ""y12**2"", ""edge_names"": [""L:edge_1_2"", ""L*:edge_1_2""], ""start"": 4, ""states"": [4, 2, 4]}, {""coefficient"": ""y10**2"", ""edge_names"": [""L:edge_1_0"", ""L*:edge_1_0""], ""start"": 4, ""states"": [4, 0, 4]}, {""coefficient"": ""y21**2"", ""edge_names"": [""L:edge_2_1"", ""L*:edge_2_1""], ""start"": 5, ""states"": [5, 1, 5]}]",2*x0**2 + 2*x1**2 + 2*x2**2,2*(y01**2 + y10**2 + y12**2 + y21**2)
3,0,0,0,0,0,0,0,[],[],0,0
4,70,64,54,48,9,2*(x0**4 + 2*x0**2*y01**2 + 2*x0**2*y10**2 + x1**4 + 2*x1**2*y01**2 + 2*x1**2*y10**2 + 2*x1**2*y12**2 + 2*x1**2*y21**2 + x2**4 + 2*x2**2*y12**2 + 2*x2**2*y21**2 + y01**4 + 2*y01**2*y21**2 + y10**4 + 2*y10**2*y12**2 + y12**4 + y21**4),2*x0**4 + 4*x0**2*y01**2 + 4*x0**2*y10**2 + 2*x1**4 + 4*x1**2*y01**2 + 4*x1**2*y10**2 + 4*x1**2*y12**2 + 4*x1**2*y21**2 + 2*x2**4 + 4*x2**2*y12**2 + 4*x2**2*y21**2 + 2*y01**4 + 4*y01**2*y21**2 + 2*y10**4 + 4*y10**2*y12**2 + 2*y12**4 + 2*y21**4,"[{""coefficient"": ""y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 0]}, {""coefficient"": ""y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 0]}, {""coefficient"": ""x0**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 4, 0]}, {""coefficient"": ""x0**2*y01**2"", ""edge_names"": [""L*:loop_0"", ""L:edge_0_1"", ""L*:edge_0_1"", ""L:loop_0""], ""start"": 0, ""states"": [0, 3, 1, 3, 0]}, {""coefficient"": ""x0**2*y10**2"", ""edge_names"": [""L*:loop_0"", ""L:loop_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 3, 0, 4, 0]}, {""coefficient"": ""x0**4"", ""edge_names"": [""L*:loop_0"", ""L:loop_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 3, 0, 3, 0]}, {""coefficient"": ""y21**4"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1"", ""L*:edge_2_1"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 5, 1, 5, 1]}, {""coefficient"": ""y01**2*y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1"", ""L*:edge_0_1"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 5, 1, 3, 1]}, {""coefficient"": ""x1**2*y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1"", ""L*:loop_1"", ""L:loop_1""], ""start"": 1, ""states"": [1, 5, 1, 4, 1]}, {""coefficient"": ""x2**2*y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:loop_2"", ""L*:loop_2"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 5, 2, 5, 1]}, {""coefficient"": ""y01**2*y21**2"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1"", ""L*:edge_2_1"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 3, 1, 5, 1]}, {""coefficient"": ""y01**4"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1"", ""L*:edge_0_1"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 3, 1, 3, 1]}, {""coefficient"": ""x1**2*y01**2"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1"", ""L*:loop_1"", ""L:loop_1""], ""start"": 1, ""states"": [1, 3, 1, 4, 1]}, {""coefficient"": ""x0**2*y01**2"", ""edge_names"": [""L*:edge_0_1"", ""L:loop_0"", ""L*:loop_0"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 3, 0, 3, 1]}, {""coefficient"": ""x1**2*y12**2"", ""edge_names"": [""L*:loop_1"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:loop_1""], ""start"": 1, ""states"": [1, 4, 2, 4, 1]}]","[{""coefficient"": ""y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 0]}, {""coefficient"": ""y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 0]}, {""coefficient"": ""x0**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 4, 0]}, {""coefficient"": ""x0**2*y01**2"", ""edge_names"": [""L*:loop_0"", ""L:edge_0_1"", ""L*:edge_0_1"", ""L:loop_0""], ""start"": 0, ""states"": [0, 3, 1, 3, 0]}, {""coefficient"": ""x0**2*y10**2"", ""edge_names"": [""L*:loop_0"", ""L:loop_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 3, 0, 4, 0]}, {""coefficient"": ""y21**4"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1"", ""L*:edge_2_1"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 5, 1, 5, 1]}, {""coefficient"": ""y01**2*y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1"", ""L*:edge_0_1"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 5, 1, 3, 1]}, {""coefficient"": ""x1**2*y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:edge_2_1"", ""L*:loop_1"", ""L:loop_1""], ""start"": 1, ""states"": [1, 5, 1, 4, 1]}, {""coefficient"": ""x2**2*y21**2"", ""edge_names"": [""L*:edge_2_1"", ""L:loop_2"", ""L*:loop_2"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 5, 2, 5, 1]}, {""coefficient"": ""y01**2*y21**2"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1"", ""L*:edge_2_1"", ""L:edge_2_1""], ""start"": 1, ""states"": [1, 3, 1, 5, 1]}, {""coefficient"": ""y01**4"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1"", ""L*:edge_0_1"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 3, 1, 3, 1]}, {""coefficient"": ""x1**2*y01**2"", ""edge_names"": [""L*:edge_0_1"", ""L:edge_0_1"", ""L*:loop_1"", ""L:loop_1""], ""start"": 1, ""states"": [1, 3, 1, 4, 1]}, {""coefficient"": ""x0**2*y01**2"", ""edge_names"": [""L*:edge_0_1"", ""L:loop_0"", ""L*:loop_0"", ""L:edge_0_1""], ""start"": 1, ""states"": [1, 3, 0, 3, 1]}, {""coefficient"": ""x1**2*y12**2"", ""edge_names"": [""L*:loop_1"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:loop_1""], ""start"": 1, ""states"": [1, 4, 2, 4, 1]}, {""coefficient"": ""x1**2*y10**2"", ""edge_names"": [""L*:loop_1"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:loop_1""], ""start"": 1, ""states"": [1, 4, 0, 4, 1]}]",2*x0**4 + 2*x1**4 + 2*x2**4,2*(2*x0**2*y01**2 + 2*x0**2*y10**2 + 2*x1**2*y01**2 + 2*x1**2*y10**2 + 2*x1**2*y12**2 + 2*x1**2*y21**2 + 2*x2**2*y12**2 + 2*x2**2*y21**2 + y01**4 + 2*y01**2*y21**2 + y10**4 + 2*y10**2*y12**2 + y12**4 + y21**4)
5,0,0,0,0,0,0,0,[],[],0,0
6,398,392,242,236,25,2*(x0**6 + 3*x0**4*y01**2 + 3*x0**4*y10**2 + 3*x0**2*x1**2*y01**2 + 3*x0**2*x1**2*y10**2 + 3*x0**2*y01**4 + 3*x0**2*y01**2*y10**2 + 3*x0**2*y01**2*y21**2 + 3*x0**2*y10**4 + 3*x0**2*y10**2*y12**2 + x1**6 + 3*x1**4*y01**2 + 3*x1**4*y10**2 + 3*x1**4*y12**2 + 3*x1**4*y21**2 + 3*x1**2*x2**2*y12**2 + 3*x1**2*x2**2*y21**2 + 3*x1**2*y01**4 + 3*x1**2*y01**2*y10**2 + 3*x1**2*y01**2*y12**2 + 6*x1**2*y01**2*y21**2 + 3*x1**2*y10**4 + 6*x1**2*y10**2*y12**2 + 3*x1**2*y10**2*y21**2 + 3*x1**2*y12**4 + 3*x1**2*y12**2*y21**2 + 3*x1**2*y21**4 + x2**6 + 3*x2**4*y12**2 + 3*x2**4*y21**2 + 3*x2**2*y01**2*y21**2 + 3*x2**2*y10**2*y12**2 + 3*x2**2*y12**4 + 3*x2**2*y12**2*y21**2 + 3*x2**2*y21**4 + y01**6 + 3*y01**4*y21**2 + 3*y01**2*y21**4 + y10**6 + 3*y10**4*y12**2 + 3*y10**2*y12**4 + y12**6 + y21**6),2*x0**6 + 6*x0**4*y01**2 + 6*x0**4*y10**2 + 6*x0**2*x1**2*y01**2 + 6*x0**2*x1**2*y10**2 + 6*x0**2*y01**4 + 6*x0**2*y01**2*y10**2 + 6*x0**2*y01**2*y21**2 + 6*x0**2*y10**4 + 6*x0**2*y10**2*y12**2 + 2*x1**6 + 6*x1**4*y01**2 + 6*x1**4*y10**2 + 6*x1**4*y12**2 + 6*x1**4*y21**2 + 6*x1**2*x2**2*y12**2 + 6*x1**2*x2**2*y21**2 + 6*x1**2*y01**4 + 6*x1**2*y01**2*y10**2 + 6*x1**2*y01**2*y12**2 + 12*x1**2*y01**2*y21**2 + 6*x1**2*y10**4 + 12*x1**2*y10**2*y12**2 + 6*x1**2*y10**2*y21**2 + 6*x1**2*y12**4 + 6*x1**2*y12**2*y21**2 + 6*x1**2*y21**4 + 2*x2**6 + 6*x2**4*y12**2 + 6*x2**4*y21**2 + 6*x2**2*y01**2*y21**2 + 6*x2**2*y10**2*y12**2 + 6*x2**2*y12**4 + 6*x2**2*y12**2*y21**2 + 6*x2**2*y21**4 + 2*y01**6 + 6*y01**4*y21**2 + 6*y01**2*y21**4 + 2*y10**6 + 6*y10**4*y12**2 + 6*y10**2*y12**4 + 2*y12**6 + 2*y21**6,"[{""coefficient"": ""y10**2*y12**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 2, 4, 0]}, {""coefficient"": ""y10**4*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 0, 4, 0]}, {""coefficient"": ""x0**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 1, 4, 0]}, {""coefficient"": ""x2**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:loop_2"", ""L:loop_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 5, 2, 4, 0]}, {""coefficient"": ""y10**4*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 2, 4, 0]}, {""coefficient"": ""y10**6"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 0, 4, 0]}, {""coefficient"": ""x0**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 1, 4, 0]}, {""coefficient"": ""x0**2*y01**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:edge_0_1"", ""L*:edge_0_1"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 1, 3, 0]}, {""coefficient"": ""x0**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 0, 4, 0]}, {""coefficient"": ""x0**4*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**2*y21**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:edge_2_1"", ""L:edge_2_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 5, 1, 4, 0]}, {""coefficient"": ""x1**2*y01**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:edge_0_1"", ""L:edge_0_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 3, 1, 4, 0]}, {""coefficient"": ""x1**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 4, 2, 4, 0]}, {""coefficient"": ""x1**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 4, 0, 4, 0]}]","[{""coefficient"": ""y10**2*y12**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 2, 4, 0]}, {""coefficient"": ""y10**4*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 0, 4, 0]}, {""coefficient"": ""x0**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 4, 1, 4, 0]}, {""coefficient"": ""x2**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_2"", ""L*:loop_2"", ""L:loop_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 2, 5, 2, 4, 0]}, {""coefficient"": ""y10**4*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 2, 4, 0]}, {""coefficient"": ""y10**6"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 0, 4, 0]}, {""coefficient"": ""x0**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 4, 1, 4, 0]}, {""coefficient"": ""x0**2*y01**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:edge_0_1"", ""L*:edge_0_1"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 1, 3, 0]}, {""coefficient"": ""x0**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 0, 4, 0]}, {""coefficient"": ""x0**4*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:edge_1_0"", ""L*:loop_0"", ""L:loop_0"", ""L*:loop_0"", ""L:loop_0""], ""start"": 0, ""states"": [0, 4, 0, 3, 0, 3, 0]}, {""coefficient"": ""x1**2*y10**2*y21**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:edge_2_1"", ""L:edge_2_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 5, 1, 4, 0]}, {""coefficient"": ""x1**2*y01**2*y10**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:edge_0_1"", ""L:edge_0_1"", ""L*:loop_1"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 3, 1, 4, 0]}, {""coefficient"": ""x1**2*y10**2*y12**2"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_2"", ""L*:edge_1_2"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 4, 2, 4, 0]}, {""coefficient"": ""x1**2*y10**4"", ""edge_names"": [""L*:edge_1_0"", ""L:loop_1"", ""L*:loop_1"", ""L:edge_1_0"", ""L*:edge_1_0"", ""L:edge_1_0""], ""start"": 0, ""states"": [0, 4, 1, 4, 0, 4, 0]}]",2*x0**6 + 2*x1**6 + 2*x2**6,2*(3*x0**4*y01**2 + 3*x0**4*y10**2 + 3*x0**2*x1**2*y01**2 + 3*x0**2*x1**2*y10**2 + 3*x0**2*y01**4 + 3*x0**2*y01**2*y10**2 + 3*x0**2*y01**2*y21**2 + 3*x0**2*y10**4 + 3*x0**2*y10**2*y12**2 + 3*x1**4*y01**2 + 3*x1**4*y10**2 + 3*x1**4*y12**2 + 3*x1**4*y21**2 + 3*x1**2*x2**2*y12**2 + 3*x1**2*x2**2*y21**2 + 3*x1**2*y01**4 + 3*x1**2*y01**2*y10**2 + 3*x1**2*y01**2*y12**2 + 6*x1**2*y01**2*y21**2 + 3*x1**2*y10**4 + 6*x1**2*y10**2*y12**2 + 3*x1**2*y10**2*y21**2 + 3*x1**2*y12**4 + 3*x1**2*y12**2*y21**2 + 3*x1**2*y21**4 + 3*x2**4*y12**2 + 3*x2**4*y21**2 + 3*x2**2*y01**2*y21**2 + 3*x2**2*y10**2*y12**2 + 3*x2**2*y12**4 + 3*x2**2*y12**2*y21**2 + 3*x2**2*y21**4 + y01**6 + 3*y01**4*y21**2 + 3*y01**2*y21**4 + y10**6 + 3*y10**4*y12**2 + 3*y10**2*y12**4 + y12**6 + y21**6)
