alpha,tau_trace_B2_min,tau_trace_B2_max,tau_trace_B2_range,tau_trace_B4_min,tau_trace_B4_max,tau_trace_B4_range,motion
0.0,4.8,4.800000000000002,1.7763568394002505e-15,6.586666666666662,6.586666666666668,6.217248937900877e-15,False
0.125,3.6562137184703913,4.78522461601798,1.1290108975475888,3.7063083661823453,6.545862051685786,2.8395536855034407,True
0.25,2.839223517377814,4.774670770316537,1.9354472529387232,2.0486408756723504,6.51678272832347,4.46814185265112,True
0.5,2.1856313565037513,4.766227693755381,2.5805963372516296,0.9623456605944987,6.49355936775089,5.531213707156391,True
0.75,2.839223517377814,4.774670770316536,1.9354472529387223,2.0486408756723504,6.516782728323471,4.4681418526511205,True
0.875,3.656213718470391,4.785224616017979,1.1290108975475883,3.7063083661823453,6.545862051685786,2.8395536855034407,True
1.0,4.8,4.800000000000002,1.7763568394002505e-15,6.5866666666666625,6.586666666666666,3.552713678800501e-15,False
