length,normalized_regular_trace,exact_group_tau_trace,residual,mixed_identity_count
1,3.0,3.0,0.0,0
2,3.0,3.0,0.0,0
3,3.0,3.0,0.0,0
4,5.0,5.0,0.0,2
5,13.0,13.0,0.0,10
6,35.0,35.0,0.0,32
7,87.0,87.0,0.0,84
8,205.0,205.0,0.0,202
9,477.0,477.0,0.0,474
10,1123.0,1123.0,0.0,1120
11,2687.0,2687.0,0.0,2684
12,6493.0,6493.0,0.0,6490
