atom_count,last_atom,generator_rank,tau_trace_B2_range,tau_trace_B4_range,strict_motion
2,3,2,1.6329929248494501,3.4020686901936346,True
3,5,4,2.5805963372516296,5.528649830917559,True
4,7,6,3.1659473250792294,6.404864426675549,True
8,19,14,3.9495820383566174,7.090023468555511,True
16,53,30,4.217665216753768,7.178703545226812,True
32,131,62,4.264680537801228,7.185069512357189,True
