target_index,target,predicted,residual
1,14.1347,14.1347,0.0
2,21.022,16.387067569573293,-4.634932430426705
3,25.0108,17.56934043568062,-7.441459564319381
4,30.4248,18.398225803630833,-12.026574196369168
5,32.935,19.366531362713257,-13.568468637286745
6,37.5861,20.166733329873942,-17.41936667012606
7,40.9187,20.537394530961997,-20.381305469038004
8,43.327,22.191827221366438,-21.13517277863356
9,48.0051,24.543477556380118,-23.46162244361988
10,49.7738,24.72917394407457,-25.04462605592543
11,52.9703,25.366881826200395,-27.603418173799607
12,56.4462,25.46295909146195,-30.983240908538047
13,59.347,25.804577154527472,-33.54242284547253
14,60.8317,27.17237888868729,-33.65932111131271
15,65.1125,27.56781896398187,-37.544681036018126
16,67.0798,28.59005401107716,-38.48974598892285
17,69.5464,28.664325535959218,-40.882074464040784
18,72.0671,28.850281098725997,-43.216818901273996
19,75.7046,28.8696157652449,-46.8349842347551
20,77.1448,29.232697870225902,-47.9121021297741
21,79.3373,29.458298161279284,-49.87900183872071
22,82.9103,30.422299997714344,-52.48800000228566
23,84.7354,30.46560225226166,-54.26979774773834
24,87.4252,31.3486642399887,-56.0765357600113
25,88.8091,31.56207781402851,-57.24702218597149
26,92.4918,31.668205379506894,-60.823594620493104
27,94.6513,32.40319047249447,-62.248109527505534
28,95.8706,32.497347403222825,-63.37325259677717
29,98.8311,32.75663681380634,-66.07446318619367
30,101.3178,32.79627573620609,-68.5215242637939
31,103.7255,33.12925157584215,-70.59624842415785
32,105.4466,33.18523652601424,-72.26136347398577
33,107.1686,33.23009123779712,-73.93850876220287
34,111.0295,33.27904001647429,-77.7504599835257
35,111.8746,34.437262095810944,-77.43733790418906
36,114.3202,34.661479572079585,-79.65872042792041
37,116.2266,34.774887681477225,-81.45171231852278
38,118.7907,34.885501668251564,-83.90519833174844
39,121.3701,34.98620950692383,-86.38389049307617
40,122.9468,35.33435791830169,-87.6124420816983
41,124.2568,35.703029506243546,-88.55377049375645
42,127.5166,35.86142705000593,-91.65517294999407
43,129.5787,36.25404687204703,-93.32465312795297
44,131.0876,36.338843908649366,-94.74875609135064
45,133.4977,36.37180893278991,-97.12589106721009
46,134.7565,36.39758734242935,-98.35891265757064
47,138.116,36.80427350111306,-101.31172649888696
48,139.7362,36.86213976175567,-102.87406023824433
49,141.1237,37.49385863510861,-103.6298413648914
50,143.1118,37.917139819281616,-105.19466018071837
51,146.0009,38.388422417403916,-107.61247758259609
52,147.4427,38.64494632277142,-108.79775367722858
53,150.0515,39.37164772352712,-110.67985227647289
54,150.9252,39.42299159637366,-111.50220840362633
55,153.0246,39.50269516345593,-113.52190483654405
56,156.1129,39.58170078058959,-116.53119921941041
57,157.5975,39.87033480298216,-117.72716519701784
58,158.8499,39.97649701248466,-118.87340298751533
59,161.1889,40.02482826240868,-121.16407173759131
60,163.0306,40.19023953404785,-122.84036046595214
61,165.5373,40.32611748954785,-125.21118251045215
62,167.1844,40.95306551836425,-126.23133448163577
63,169.0945,40.97866356498237,-128.11583643501763
64,169.9119,41.24464019940508,-128.66725980059493
65,173.4115,41.48587204402697,-131.92562795597303
66,174.7541,41.529386301813375,-133.22471369818663
67,176.4414,41.540095610772596,-134.9013043892274
68,178.3774,41.75095855007907,-136.62644144992092
69,179.9164,41.86407335668167,-138.05232664331834
70,182.207,41.891220897501945,-140.31577910249806
71,184.8744,42.640206538185986,-142.23419346181402
72,185.9589,42.660291123645536,-143.29860887635448
73,187.2289,42.82475020737834,-144.40414979262167
74,189.4161,43.034577659658005,-146.381522340342
75,192.0266,43.35801657364782,-148.6685834263522
76,193.0797,43.370882617364806,-149.7088173826352
77,195.2658,43.440966088653,-151.824833911347
78,196.8764,43.70797686269056,-153.16842313730945
79,198.0153,43.74637113150059,-154.26892886849942
80,201.2647,43.76054024159276,-157.50415975840724
81,202.4935,43.80911187954052,-158.6843881204595
82,204.1896,44.34617579262772,-159.8434242073723
83,205.3946,44.360956061094555,-161.03364393890544
84,207.9062,44.56161531243576,-163.34458468756424
85,209.5765,44.56303818208375,-165.01346181791627
86,211.3289,44.618724139556505,-166.71017586044348
87,213.3479,44.741323677734115,-168.60657632226588
88,214.547,44.84703246365488,-169.69996753634513
89,216.1695,44.86261925149946,-171.30688074850053
90,219.0675,45.11311018567612,-173.95438981432386
91,220.7149,45.89690827468656,-174.81799172531345
92,221.3952,45.991496399034034,-175.40370360096597
93,224.007,46.096556567732755,-177.91044343226724
94,224.9833,46.09759980477513,-178.8857001952249
95,227.4214,46.53357782354056,-180.88782217645945
96,229.3374,46.95341872040285,-182.38398127959715
97,231.2882,47.22236652820732,-184.06583347179267
98,231.9872,47.37872521460148,-184.60847478539853
99,233.6934,47.425714248682354,-186.26768575131763
100,236.5242,47.77957395502907,-188.74462604497094
