target,layer,base_word,base_multidegree,base_length,least_period,base_sign,repetition,powered_sign,log_contribution
pq,primitive_at_target,[p][q],"(1, 1)",2,2,1,1,1,1
pq,primitive_at_target,[pq],"(1, 1)",1,1,-1,1,-1,-1
p2q2,primitive_at_target,[p][p][q][q],"(2, 2)",4,4,1,1,1,1
p2q2,primitive_at_target,[p][pq][q],"(2, 2)",3,3,-1,1,-1,-1
p2q2,primitive_at_target,[p][q][pq],"(2, 2)",3,3,-1,1,-1,-1
p2q2,r2_from_pq_primitive,[p][q],"(1, 1)",2,2,1,2,1,1/2
p2q2,r2_from_pq_primitive,[pq],"(1, 1)",1,1,-1,2,1,1/2
