d,component,feeder,spectral_mean,parity
2,0.2310490601866484,0.3465735902799726,0.3465735902799726,even
3,0.1732867951399863,0.2888113252333105,0.3465735902799726,odd
4,0.1386294361119891,0.3465735902799726,0.3465735902799726,even
5,0.1155245300933242,0.3003637782426429,0.3465735902799726,odd
6,0.0990210257942779,0.3465735902799726,0.3465735902799726,even
7,0.0866433975699932,0.3094407056071184,0.3465735902799726,odd
8,0.0770163533955495,0.3465735902799726,0.3465735902799726,even
9,0.0693147180559945,0.3157670489217528,0.3465735902799726,odd
10,0.0630133800509041,0.3465735902799726,0.3465735902799726,even
11,0.0577622650466621,0.3203180152587626,0.3465735902799726,odd
12,0.0533190138892266,0.3465735902799726,0.3465735902799726,even
