series,level,balanced_gap,certificate
0,1,0.0728635903497990983,1.80761768622337016
0,2,0.0275596144403881284,0.903808843111685078
0,3,0.0182158975874497746,0.451904421555842539
0,4,0.0068899036100970321,0.22595221077792127
0,5,0.00455397439686244365,0.112976105388960635
0,6,0.00172247590252425802,0.0564880526944803174
0,7,0.00113849359921561091,0.0282440263472401587
0,8,0.000430618975631064506,0.0141220131736200794
1,1,0.0948169746784242179,1.66966823568299394
1,2,0.0236144895469252679,0.55655607856099798
1,3,0.0105352194087138026,0.185518692853665984
1,4,0.00262383217188058527,0.0618395642845553303
1,5,0.00117057993430153343,0.0206131880948517768
1,6,0.000291536907986731709,0.0068710626982839253
1,7,0.000130064437144614825,0.00229035423276130858
1,8,3.2392989776303524e-05,0.000763451410920436193
