name,accepted_count,largest_accepted,max_optimal_edge_weight,all_cycle_products_exact_by_construction
squares,63,4096,0.9999990084456144,True
powers_two,12,4096,0.9999990084456144,True
fibonacci,16,2584,0.9999976465429478,True
hash_mod_five,820,4090,0.9999990057095401,True
