z,raw_graph_step_product,induced_return_product,equal,interpretation
1,50722704772300800/82920037520482019,50722704772300800/82920037520482019,True,unmarked_orbit_product_agrees
1/3,446048338345620714943092373159261193662241607933680352333508742948074111463921040693794852874226132582400000000/464616976439738018129982581797927122916386553951314367926185884113853603671874360570696773306570827945330283717,3249654489118510789888/3787604851842157567725,False,graph_step_and_return_step_markers_differ
