cutoff,prime_count,last_prime,last_cycle_length,tail_min_length_over_log_p,tail_max_optimal_weight_sigma_2
31,11,31,44,5.45819743351792,0.8554819133584437
127,31,127,264,22.41648773890127,0.9639668364187197
509,97,509,1381,98.6184201284826,0.9910146192103161
2039,309,2039,6941,401.31319132007206,0.9978066978833522
4093,564,4093,15293,819.4042608256727,0.9989128997668932
