p,cycle_length,power,trace,expected
2,2,2,1/2,1/2
2,2,4,1/8,1/8
2,2,6,1/32,1/32
2,2,8,1/128,1/128
3,2,2,2/9,2/9
3,2,4,2/81,2/81
3,2,6,2/729,2/729
3,2,8,2/6561,2/6561
5,5,5,1/5,1/5
5,5,10,1/125,1/125
5,5,15,1/3125,1/3125
5,5,20,1/78125,1/78125
7,6,6,6/49,6/49
7,6,12,6/2401,6/2401
7,6,18,6/117649,6/117649
7,6,24,6/5764801,6/5764801
11,12,12,12/121,12/121
11,12,24,12/14641,12/14641
11,12,36,12/1771561,12/1771561
11,12,48,12/214358881,12/214358881
13,14,14,14/169,14/169
13,14,28,14/28561,14/28561
13,14,42,14/4826809,14/4826809
13,14,56,14/815730721,14/815730721
17,22,22,22/289,22/289
17,22,44,22/83521,22/83521
17,22,66,22/24137569,22/24137569
17,22,88,22/6975757441,22/6975757441
19,24,24,24/361,24/361
19,24,48,24/130321,24/130321
19,24,72,24/47045881,24/47045881
19,24,96,24/16983563041,24/16983563041
23,28,28,28/529,28/529
23,28,56,28/279841,28/279841
23,28,84,28/148035889,28/148035889
23,28,112,28/78310985281,28/78310985281
29,41,41,41/841,41/841
29,41,82,41/707281,41/707281
29,41,123,41/594823321,41/594823321
29,41,164,41/500246412961,41/500246412961
31,44,44,44/961,44/961
31,44,88,44/923521,44/923521
31,44,132,44/887503681,44/887503681
31,44,176,44/852891037441,44/852891037441
