role,grid_n,index,window,target,predicted,residual,percent_error
P,320,1,train,14.1347,14.1347,0.0,0.0
P,320,2,train,21.022,27.639758661415424,6.617758661415426,31.480157270551928
P,320,3,train,25.0108,40.58622118009481,15.57542118009481,62.27478201454896
P,320,4,train,30.4248,53.03298288659632,22.60818288659632,74.30840264059688
P,320,5,train,32.935,65.02950955961715,32.09450955961715,97.44803266924897
P,320,6,train,37.5861,76.617808262615,39.031708262615,103.84612466474307
P,320,7,train,40.9187,87.83389570796398,46.915195707963974,114.65465840303816
P,320,8,train,43.327,98.70891504228719,55.38191504228719,127.82310116621782
P,320,9,train,48.0051,109.26999959349419,61.26489959349419,127.62164768637956
P,320,10,train,49.7738,119.5409504971758,69.7671504971758,140.16842293973096
P,320,11,train,52.9703,129.5427749614011,76.5724749614011,144.5573745313904
P,320,12,train,56.4462,139.2941185818426,82.8479185818426,146.77324351655668
P,320,13,train,59.347,148.8116160293993,89.46461602939928,150.74833779196805
P,320,14,train,60.8317,158.1101780990796,97.2784780990796,159.91412059679345
P,320,15,train,65.1125,167.2032286116763,102.09072861167631,156.79128986243242
P,320,16,train,67.0798,176.10290141361799,109.02310141361798,162.527469392601
P,320,17,train,69.5464,184.82020534331681,115.27380534331681,165.7509308078014
P,320,18,train,72.0671,193.36516326899203,121.29806326899204,168.31267425634172
P,320,19,train,75.7046,201.74692997956035,126.04232997956035,166.4923003087796
P,320,20,train,77.1448,209.97389270640844,132.82909270640843,172.18152449213483
P,320,21,train,79.3373,218.0537572849635,138.7164572849635,174.8439350532013
P,320,22,train,82.9103,225.99362237049758,143.08332237049757,172.576051914536
P,320,23,train,84.7354,233.80004365943722,149.06464365943722,175.9177907455883
P,320,24,train,87.4252,241.47908970325477,154.05388970325475,176.21222451107317
P,320,25,train,88.8091,249.03639061402453,160.22729061402453,180.41764933326036
P,320,26,train,92.4918,256.47718073108047,163.98538073108045,177.29720984031064
P,320,27,train,94.6513,263.80633613392564,169.15503613392565,178.71390687071982
P,320,28,train,95.8706,271.0284077380026,175.15780773800262,182.70231722551296
P,320,29,train,98.8311,278.1476505891494,179.31655058914941,181.4373720308176
P,320,30,train,101.3178,285.16804987415344,183.85024987415343,181.4589833910265
P,320,31,train,103.7255,292.0933440837877,188.3678440837877,181.60225217886415
P,320,32,train,105.4466,298.92704569837565,193.48044569837566,183.486661208968
P,320,33,train,107.1686,305.6724597103525,198.5038597103525,185.22576548574162
P,320,34,train,111.0295,312.33270025262516,201.30320025262517,181.30604952073563
P,320,35,train,111.8746,318.9107055629401,207.03610556294012,185.0608677599206
P,320,36,train,114.3202,325.4092514823314,211.0890514823314,184.6472027536091
P,320,37,train,116.2266,331.83096365857847,215.60436365857845,185.50345932736434
P,320,38,train,118.7907,338.17832860248404,219.38762860248403,184.68417864570546
P,320,39,train,121.3701,344.45370372559876,223.08360372559878,183.80441618289743
P,320,40,train,122.9468,350.6593264710735,227.7125264710735,185.21224340208408
P,320,41,train,124.2568,356.7973226354453,232.5405226354453,187.14510806285475
P,320,42,train,127.5166,362.8697139667987,235.35311396679873,184.5666477672701
P,320,43,train,129.5787,368.87842511445655,239.29972511445655,184.67520133668307
P,320,44,train,131.0876,374.8252899962478,243.7376899962478,185.93497020026896
P,320,45,train,133.4977,380.7120576416377,247.21435764163772,185.182484523432
P,320,46,train,134.7565,386.54039756232373,251.78389756232374,186.84360128255315
P,320,47,train,138.116,392.3119046959136,254.19590469591358,184.04522625612788
P,320,48,train,139.7362,398.0281039633215,258.2919039633215,184.84251322371833
P,320,49,train,141.1237,403.69045447594294,262.56675447594296,186.0543299785528
P,320,50,train,143.1118,409.3003534248414,266.1885534248414,186.00042304327206
P,320,51,train,146.0009,414.8591396806921,268.8582396806921,184.14834407232567
P,320,52,train,147.4427,420.36809713026855,272.92539713026855,185.10607655059798
P,320,53,train,150.0515,425.8284577725311,275.7769577725311,183.7882045647868
P,320,54,train,150.9252,431.24140459509823,280.31620459509827,185.73187552184677
P,320,55,train,153.0246,436.60807424974575,283.5834742497458,185.3188796113473
P,320,56,train,156.1129,441.9295595437965,285.8166595437965,183.08330672468227
P,320,57,train,157.5975,447.2069117625522,289.6094117625522,183.76523216583527
P,320,58,train,158.8499,452.4411428365539,293.59124283655393,184.8230580167529
P,320,59,train,161.1889,457.6332273660688,296.4443273660688,183.91112996370646
P,320,60,train,163.0306,462.7841045141224,299.7535045141224,183.8633388542534
P,320,61,train,165.5373,467.89467977830293,302.35737977830297,182.65211512952246
P,320,62,train,167.1844,472.9658266506639,305.7814266506639,182.90069327680325
P,320,63,train,169.0945,477.9983881742137,308.90388817421365,182.68121563635341
P,320,64,train,169.9119,482.99317840372913,313.08127840372913,184.26094841134088
P,320,65,train,173.4115,487.9509837779505,314.5394837779505,181.38328990750355
P,320,66,train,174.7541,492.87256440964615,318.11846440964615,182.03776873312052
P,320,67,train,176.4414,497.75865529940717,321.3172552994072,182.10989898028876
P,320,68,train,178.3774,502.60996747864783,324.23256747864787,181.76773934290324
P,320,69,train,179.9164,507.42718908673044,327.5107890867304,182.03498351830652
P,320,70,train,182.207,512.2109863868116,330.00398638681156,181.11487834540475
P,320,71,train,184.8744,516.9620047245824,332.0876047245823,179.62876673275605
P,320,72,train,185.9589,521.6808694337827,335.72196943378276,180.5355750296344
P,320,73,train,187.2289,526.3681866920314,339.13928669203136,181.13618500777997
P,320,74,train,189.4161,531.0245443302617,341.6084443302617,180.3481564292907
P,320,75,train,192.0266,535.6505125987823,343.6239125987822,178.9459963352901
P,320,76,train,193.0797,540.2466448927722,347.1669448927722,179.80499498019327
P,320,77,train,195.2658,544.8134784397888,349.5476784397888,179.01121365840243
P,320,78,train,196.8764,549.3515349516841,352.47513495168414,179.03371605316033
P,320,79,train,198.0153,553.8613212431541,355.84602124315404,179.70632635112239
P,320,80,train,201.2647,558.3433298189782,357.0786298189782,177.4174158801708
P,320,81,train,202.4935,562.7980394318523,360.3045394318523,177.93387907851474
P,320,82,train,204.1896,567.2259156125999,363.0363156125999,177.7937346527932
