alphabet_size,label_atoms,length,canonical_label_word,canonical_atom_word,content_vector,primitive,mixed,word_weight,connected_log_first_repetition,shared_included,disjoint_included,de_rham_cancels_word
2,2|3,1,0,2,2:1|3:0,True,False,1/4,1/4,True,True,False
2,2|3,1,1,3,2:0|3:1,True,False,1/9,1/9,True,True,False
2,2|3,2,0|1,2|3,2:1|3:1,True,True,1/36,1/36,True,False,False
2,2|3,3,0|0|1,2|2|3,2:2|3:1,True,True,1/144,1/144,True,False,False
2,2|3,3,0|1|1,2|3|3,2:1|3:2,True,True,1/324,1/324,True,False,False
2,2|3,4,0|0|0|1,2|2|2|3,2:3|3:1,True,True,1/576,1/576,True,False,False
2,2|3,4,0|0|1|1,2|2|3|3,2:2|3:2,True,True,1/1296,1/1296,True,False,False
2,2|3,4,0|1|1|1,2|3|3|3,2:1|3:3,True,True,1/2916,1/2916,True,False,False
2,2|3,5,0|0|0|0|1,2|2|2|2|3,2:4|3:1,True,True,1/2304,1/2304,True,False,False
2,2|3,5,0|0|0|1|1,2|2|2|3|3,2:3|3:2,True,True,1/5184,1/5184,True,False,False
2,2|3,5,0|0|1|0|1,2|2|3|2|3,2:3|3:2,True,True,1/5184,1/5184,True,False,False
2,2|3,5,0|0|1|1|1,2|2|3|3|3,2:2|3:3,True,True,1/11664,1/11664,True,False,False
2,2|3,5,0|1|0|1|1,2|3|2|3|3,2:2|3:3,True,True,1/11664,1/11664,True,False,False
2,2|3,5,0|1|1|1|1,2|3|3|3|3,2:1|3:4,True,True,1/26244,1/26244,True,False,False
2,2|3,6,0|0|0|0|0|1,2|2|2|2|2|3,2:5|3:1,True,True,1/9216,1/9216,True,False,False
2,2|3,6,0|0|0|0|1|1,2|2|2|2|3|3,2:4|3:2,True,True,1/20736,1/20736,True,False,False
2,2|3,6,0|0|0|1|0|1,2|2|2|3|2|3,2:4|3:2,True,True,1/20736,1/20736,True,False,False
2,2|3,6,0|0|0|1|1|1,2|2|2|3|3|3,2:3|3:3,True,True,1/46656,1/46656,True,False,False
2,2|3,6,0|0|1|0|1|1,2|2|3|2|3|3,2:3|3:3,True,True,1/46656,1/46656,True,False,False
2,2|3,6,0|0|1|1|0|1,2|2|3|3|2|3,2:3|3:3,True,True,1/46656,1/46656,True,False,False
2,2|3,6,0|0|1|1|1|1,2|2|3|3|3|3,2:2|3:4,True,True,1/104976,1/104976,True,False,False
2,2|3,6,0|1|0|1|1|1,2|3|2|3|3|3,2:2|3:4,True,True,1/104976,1/104976,True,False,False
2,2|3,6,0|1|1|1|1|1,2|3|3|3|3|3,2:1|3:5,True,True,1/236196,1/236196,True,False,False
3,2|3|5,1,0,2,2:1|3:0|5:0,True,False,1/4,1/4,True,True,False
3,2|3|5,1,1,3,2:0|3:1|5:0,True,False,1/9,1/9,True,True,False
3,2|3|5,1,2,5,2:0|3:0|5:1,True,False,1/25,1/25,True,True,False
3,2|3|5,2,0|1,2|3,2:1|3:1|5:0,True,True,1/36,1/36,True,False,False
3,2|3|5,2,0|2,2|5,2:1|3:0|5:1,True,True,1/100,1/100,True,False,False
3,2|3|5,2,1|2,3|5,2:0|3:1|5:1,True,True,1/225,1/225,True,False,False
3,2|3|5,3,0|0|1,2|2|3,2:2|3:1|5:0,True,True,1/144,1/144,True,False,False
3,2|3|5,3,0|0|2,2|2|5,2:2|3:0|5:1,True,True,1/400,1/400,True,False,False
3,2|3|5,3,0|1|1,2|3|3,2:1|3:2|5:0,True,True,1/324,1/324,True,False,False
3,2|3|5,3,0|1|2,2|3|5,2:1|3:1|5:1,True,True,1/900,1/900,True,False,False
3,2|3|5,3,0|2|1,2|5|3,2:1|3:1|5:1,True,True,1/900,1/900,True,False,False
3,2|3|5,3,0|2|2,2|5|5,2:1|3:0|5:2,True,True,1/2500,1/2500,True,False,False
3,2|3|5,3,1|1|2,3|3|5,2:0|3:2|5:1,True,True,1/2025,1/2025,True,False,False
