case,atoms,degree,power,actual_supertrace,expected_weight_sum_power,exact_match
single_7,7,5,4,1/5764801,1/5764801,True
single_7,7,5,5,1/282475249,1/282475249,True
single_7,7,5,6,1/13841287201,1/13841287201,True
single_7,7,5,7,1/678223072849,1/678223072849,True
single_7,7,5,8,1/33232930569601,1/33232930569601,True
single_10,10,2,1,1/100,1/100,True
single_10,10,2,2,1/10000,1/10000,True
single_10,10,2,3,1/1000000,1/1000000,True
single_10,10,2,4,1/100000000,1/100000000,True
single_10,10,2,5,1/10000000000,1/10000000000,True
single_10,10,2,6,1/1000000000000,1/1000000000000,True
single_10,10,2,7,1/100000000000000,1/100000000000000,True
single_10,10,2,8,1/10000000000000000,1/10000000000000000,True
single_10,10,3,1,1/100,1/100,True
single_10,10,3,2,1/10000,1/10000,True
single_10,10,3,3,1/1000000,1/1000000,True
single_10,10,3,4,1/100000000,1/100000000,True
single_10,10,3,5,1/10000000000,1/10000000000,True
single_10,10,3,6,1/1000000000000,1/1000000000000,True
single_10,10,3,7,1/100000000000000,1/100000000000000,True
single_10,10,3,8,1/10000000000000000,1/10000000000000000,True
single_10,10,4,1,1/100,1/100,True
single_10,10,4,2,1/10000,1/10000,True
single_10,10,4,3,1/1000000,1/1000000,True
single_10,10,4,4,1/100000000,1/100000000,True
single_10,10,4,5,1/10000000000,1/10000000000,True
single_10,10,4,6,1/1000000000000,1/1000000000000,True
single_10,10,4,7,1/100000000000000,1/100000000000000,True
single_10,10,4,8,1/10000000000000000,1/10000000000000000,True
single_10,10,5,1,1/100,1/100,True
single_10,10,5,2,1/10000,1/10000,True
single_10,10,5,3,1/1000000,1/1000000,True
single_10,10,5,4,1/100000000,1/100000000,True
single_10,10,5,5,1/10000000000,1/10000000000,True
single_10,10,5,6,1/1000000000000,1/1000000000000,True
single_10,10,5,7,1/100000000000000,1/100000000000000,True
single_10,10,5,8,1/10000000000000000,1/10000000000000000,True
single_31,31,2,1,1/961,1/961,True
single_31,31,2,2,1/923521,1/923521,True
single_31,31,2,3,1/887503681,1/887503681,True
single_31,31,2,4,1/852891037441,1/852891037441,True
single_31,31,2,5,1/819628286980801,1/819628286980801,True
single_31,31,2,6,1/787662783788549761,1/787662783788549761,True
single_31,31,2,7,1/756943935220796320321,1/756943935220796320321,True
single_31,31,2,8,1/727423121747185263828481,1/727423121747185263828481,True
single_31,31,3,1,1/961,1/961,True
single_31,31,3,2,1/923521,1/923521,True
single_31,31,3,3,1/887503681,1/887503681,True
single_31,31,3,4,1/852891037441,1/852891037441,True
single_31,31,3,5,1/819628286980801,1/819628286980801,True
single_31,31,3,6,1/787662783788549761,1/787662783788549761,True
single_31,31,3,7,1/756943935220796320321,1/756943935220796320321,True
single_31,31,3,8,1/727423121747185263828481,1/727423121747185263828481,True
single_31,31,4,1,1/961,1/961,True
single_31,31,4,2,1/923521,1/923521,True
single_31,31,4,3,1/887503681,1/887503681,True
single_31,31,4,4,1/852891037441,1/852891037441,True
single_31,31,4,5,1/819628286980801,1/819628286980801,True
single_31,31,4,6,1/787662783788549761,1/787662783788549761,True
single_31,31,4,7,1/756943935220796320321,1/756943935220796320321,True
single_31,31,4,8,1/727423121747185263828481,1/727423121747185263828481,True
single_31,31,5,1,1/961,1/961,True
single_31,31,5,2,1/923521,1/923521,True
single_31,31,5,3,1/887503681,1/887503681,True
single_31,31,5,4,1/852891037441,1/852891037441,True
single_31,31,5,5,1/819628286980801,1/819628286980801,True
single_31,31,5,6,1/787662783788549761,1/787662783788549761,True
single_31,31,5,7,1/756943935220796320321,1/756943935220796320321,True
single_31,31,5,8,1/727423121747185263828481,1/727423121747185263828481,True
shared_2_3,2|3,2,1,13/36,13/36,True
shared_2_3,2|3,2,2,169/1296,169/1296,True
shared_2_3,2|3,2,3,2197/46656,2197/46656,True
shared_2_3,2|3,2,4,28561/1679616,28561/1679616,True
shared_2_3,2|3,2,5,371293/60466176,371293/60466176,True
shared_2_3,2|3,2,6,4826809/2176782336,4826809/2176782336,True
shared_2_3,2|3,2,7,62748517/78364164096,62748517/78364164096,True
shared_2_3,2|3,2,8,815730721/2821109907456,815730721/2821109907456,True
shared_2_3,2|3,3,1,13/36,13/36,True
shared_2_3,2|3,3,2,169/1296,169/1296,True
shared_2_3,2|3,3,3,2197/46656,2197/46656,True
shared_2_3,2|3,3,4,28561/1679616,28561/1679616,True
shared_2_3,2|3,3,5,371293/60466176,371293/60466176,True
shared_2_3,2|3,3,6,4826809/2176782336,4826809/2176782336,True
shared_2_3,2|3,3,7,62748517/78364164096,62748517/78364164096,True
shared_2_3,2|3,3,8,815730721/2821109907456,815730721/2821109907456,True
shared_2_3,2|3,4,1,13/36,13/36,True
shared_2_3,2|3,4,2,169/1296,169/1296,True
shared_2_3,2|3,4,3,2197/46656,2197/46656,True
shared_2_3,2|3,4,4,28561/1679616,28561/1679616,True
shared_2_3,2|3,4,5,371293/60466176,371293/60466176,True
shared_2_3,2|3,4,6,4826809/2176782336,4826809/2176782336,True
shared_2_3,2|3,4,7,62748517/78364164096,62748517/78364164096,True
shared_2_3,2|3,4,8,815730721/2821109907456,815730721/2821109907456,True
shared_2_3,2|3,5,1,13/36,13/36,True
shared_2_3,2|3,5,2,169/1296,169/1296,True
shared_2_3,2|3,5,3,2197/46656,2197/46656,True
shared_2_3,2|3,5,4,28561/1679616,28561/1679616,True
shared_2_3,2|3,5,5,371293/60466176,371293/60466176,True
shared_2_3,2|3,5,6,4826809/2176782336,4826809/2176782336,True
shared_2_3,2|3,5,7,62748517/78364164096,62748517/78364164096,True
shared_2_3,2|3,5,8,815730721/2821109907456,815730721/2821109907456,True
shared_2_3_5,2|3|5,2,1,361/900,361/900,True
shared_2_3_5,2|3|5,2,2,130321/810000,130321/810000,True
shared_2_3_5,2|3|5,2,3,47045881/729000000,47045881/729000000,True
shared_2_3_5,2|3|5,2,4,16983563041/656100000000,16983563041/656100000000,True
shared_2_3_5,2|3|5,2,5,6131066257801/590490000000000,6131066257801/590490000000000,True
shared_2_3_5,2|3|5,2,6,2213314919066161/531441000000000000,2213314919066161/531441000000000000,True
shared_2_3_5,2|3|5,2,7,799006685782884121/478296900000000000000,799006685782884121/478296900000000000000,True
shared_2_3_5,2|3|5,2,8,288441413567621167681/430467210000000000000000,288441413567621167681/430467210000000000000000,True
shared_2_3_5,2|3|5,3,1,361/900,361/900,True
shared_2_3_5,2|3|5,3,2,130321/810000,130321/810000,True
shared_2_3_5,2|3|5,3,3,47045881/729000000,47045881/729000000,True
shared_2_3_5,2|3|5,3,4,16983563041/656100000000,16983563041/656100000000,True
shared_2_3_5,2|3|5,3,5,6131066257801/590490000000000,6131066257801/590490000000000,True
shared_2_3_5,2|3|5,3,6,2213314919066161/531441000000000000,2213314919066161/531441000000000000,True
shared_2_3_5,2|3|5,3,7,799006685782884121/478296900000000000000,799006685782884121/478296900000000000000,True
shared_2_3_5,2|3|5,3,8,288441413567621167681/430467210000000000000000,288441413567621167681/430467210000000000000000,True
shared_2_3_5,2|3|5,4,1,361/900,361/900,True
shared_2_3_5,2|3|5,4,2,130321/810000,130321/810000,True
shared_2_3_5,2|3|5,4,3,47045881/729000000,47045881/729000000,True
shared_2_3_5,2|3|5,4,4,16983563041/656100000000,16983563041/656100000000,True
shared_2_3_5,2|3|5,4,5,6131066257801/590490000000000,6131066257801/590490000000000,True
shared_2_3_5,2|3|5,4,6,2213314919066161/531441000000000000,2213314919066161/531441000000000000,True
shared_2_3_5,2|3|5,4,7,799006685782884121/478296900000000000000,799006685782884121/478296900000000000000,True
shared_2_3_5,2|3|5,4,8,288441413567621167681/430467210000000000000000,288441413567621167681/430467210000000000000000,True
shared_2_3_5,2|3|5,5,1,361/900,361/900,True
shared_2_3_5,2|3|5,5,2,130321/810000,130321/810000,True
shared_2_3_5,2|3|5,5,3,47045881/729000000,47045881/729000000,True
shared_2_3_5,2|3|5,5,4,16983563041/656100000000,16983563041/656100000000,True
shared_2_3_5,2|3|5,5,5,6131066257801/590490000000000,6131066257801/590490000000000,True
shared_2_3_5,2|3|5,5,6,2213314919066161/531441000000000000,2213314919066161/531441000000000000,True
shared_2_3_5,2|3|5,5,7,799006685782884121/478296900000000000000,799006685782884121/478296900000000000000,True
shared_2_3_5,2|3|5,5,8,288441413567621167681/430467210000000000000000,288441413567621167681/430467210000000000000000,True
shared_squares,4|9|16,2,1,1633/20736,1633/20736,True
shared_squares,4|9|16,2,2,2666689/429981696,2666689/429981696,True
shared_squares,4|9|16,2,3,4354703137/8916100448256,4354703137/8916100448256,True
shared_squares,4|9|16,2,4,7111230222721/184884258895036416,7111230222721/184884258895036416,True
shared_squares,4|9|16,2,5,11612638953703393/3833759992447475122176,11612638953703393/3833759992447475122176,True
shared_squares,4|9|16,2,6,18963439411397640769/79496847203390844133441536,18963439411397640769/79496847203390844133441536,True
shared_squares,4|9|16,2,7,30967296558812347375777/1648446623609512543951043690496,30967296558812347375777/1648446623609512543951043690496,True
shared_squares,4|9|16,2,8,50569595280540563264643841/34182189187166852111368841966125056,50569595280540563264643841/34182189187166852111368841966125056,True
shared_squares,4|9|16,3,1,1633/20736,1633/20736,True
shared_squares,4|9|16,3,2,2666689/429981696,2666689/429981696,True
shared_squares,4|9|16,3,3,4354703137/8916100448256,4354703137/8916100448256,True
shared_squares,4|9|16,3,4,7111230222721/184884258895036416,7111230222721/184884258895036416,True
shared_squares,4|9|16,3,5,11612638953703393/3833759992447475122176,11612638953703393/3833759992447475122176,True
shared_squares,4|9|16,3,6,18963439411397640769/79496847203390844133441536,18963439411397640769/79496847203390844133441536,True
shared_squares,4|9|16,3,7,30967296558812347375777/1648446623609512543951043690496,30967296558812347375777/1648446623609512543951043690496,True
