cutoff,inventory,architecture,atom_count,prime_density_matched,compiler_target_calls,inventory_loaded_post_freeze,cohomology_dimension,graded_factor_form,exact_weight_sum,exact_z1_value,mixed_primitives,atom_inventory_equivalent,selectivity_credit,proves_too_much
31,prime_evaluator,shared_renewal,11,True,0,True,1,1-z*sum(weights),17942190650501641587001/40224510201185827416900,22282319550684185829899/40224510201185827416900,True,False,False,True
31,prime_evaluator,disjoint_components,11,True,0,True,11,product(1-z*weight),17942190650501641587001/40224510201185827416900,50722704772300800/82920037520482019,False,True,False,True
31,square_control,shared_renewal,4,False,0,True,1,1-z*sum(weights),1041361/12960000,11918639/12960000,True,False,False,True
31,square_control,disjoint_components,4,False,0,True,4,product(1-z*weight),1041361/12960000,221/240,False,True,False,True
31,fibonacci_control,shared_renewal,6,False,0,True,1,1-z*sum(weights),50670281/119246400,68576119/119246400,True,False,False,True
31,fibonacci_control,disjoint_components,6,False,0,True,6,product(1-z*weight),50670281/119246400,528/845,False,True,False,True
31,all_integer_control,shared_renewal,30,False,0,True,1,1-z*sum(weights),3196622307247428542801464609/5213096522073683233230240000,2016474214826254690428775391/5213096522073683233230240000,True,False,False,True
31,all_integer_control,disjoint_components,30,False,0,True,30,product(1-z*weight),3196622307247428542801464609/5213096522073683233230240000,16/31,False,True,False,True
31,matched_density_seeded_random,shared_renewal,11,True,0,True,1,1-z*sum(weights),418664607026623/1460200826884800,1041536219858177/1460200826884800,True,False,False,True
31,matched_density_seeded_random,disjoint_components,11,True,0,True,11,product(1-z*weight),418664607026623/1460200826884800,472410225/653509142,False,True,False,True
31,matched_density_hash,shared_renewal,11,True,0,True,1,1-z*sum(weights),29958506024436889/405458356357454400,375499850333017511/405458356357454400,True,False,False,True
31,matched_density_hash,disjoint_components,11,True,0,True,11,product(1-z*weight),29958506024436889/405458356357454400,209171200000/225338719419,False,True,False,True
31,arbitrary_decidable_modular,shared_renewal,13,False,0,True,1,1-z*sum(weights),256757989535909/697657134240000,440899144704091/697657134240000,True,False,False,True
31,arbitrary_decidable_modular,disjoint_components,13,False,0,True,13,product(1-z*weight),256757989535909/697657134240000,5313108073/7989993000,False,True,False,True
127,prime_evaluator,shared_renewal,31,True,0,True,1,1-z*sum(weights),7267245999673068544672745013377742260699424035510487559218851105498041243559874239139584789460841/16116025096436741923055068076409683317901388580679310996677231033506969291192210835795243470152900,8848779096763673378382323063031941057201964545168823437458379928008928047632336596655658680692059/16116025096436741923055068076409683317901388580679310996677231033506969291192210835795243470152900,True,False,False,True
127,prime_evaluator,disjoint_components,31,True,0,True,31,product(1-z*weight),7267245999673068544672745013377742260699424035510487559218851105498041243559874239139584789460841/16116025096436741923055068076409683317901388580679310996677231033506969291192210835795243470152900,62721385923051660005207941795466564214611360029702097388070502400000000000/103037010066247336574150234198301233099615801602110233420605945100950524757,False,True,False,True
127,square_control,shared_renewal,10,False,0,True,1,1-z*sum(weights),48477688087628977/590436101122560000,541958413034931023/590436101122560000,True,False,False,True
127,square_control,disjoint_components,10,False,0,True,10,product(1-z*weight),48477688087628977/590436101122560000,134258694505/146057167872,False,True,False,True
127,fibonacci_control,shared_renewal,9,False,0,True,1,1-z*sum(weights),14078794808432033/33029994631233600,18951199822801567/33029994631233600,True,False,False,True
127,fibonacci_control,disjoint_components,9,False,0,True,9,product(1-z*weight),14078794808432033/33029994631233600,1207084032/1934347805,False,True,False,True
127,all_integer_control,shared_renewal,126,False,0,True,1,1-z*sum(weights),28401961674075352068903216951916438612493726437047588698496773628659508006254084099140101094436998440640946569/44580700434462617501598374718495402261535626035420112538617082713277565731924424035275820116273370015296000000,16178738760387265432695157766578963649041899598372523840120309084618057725670339936135719021836371574655053431/44580700434462617501598374718495402261535626035420112538617082713277565731924424035275820116273370015296000000,True,False,False,True
127,all_integer_control,disjoint_components,126,False,0,True,126,product(1-z*weight),28401961674075352068903216951916438612493726437047588698496773628659508006254084099140101094436998440640946569/44580700434462617501598374718495402261535626035420112538617082713277565731924424035275820116273370015296000000,64/127,False,True,False,True
127,matched_density_seeded_random,shared_renewal,31,True,0,True,1,1-z*sum(weights),23078196428943792407299556766466448158788724097/83895941728463306972596165240866483326748180000,60817745299519514565296608474400035167959455903/83895941728463306972596165240866483326748180000,True,False,False,True
127,matched_density_seeded_random,disjoint_components,31,True,0,True,31,product(1-z*weight),23078196428943792407299556766466448158788724097/83895941728463306972596165240866483326748180000,1043179368666198634735542088928058477943848960000/1426306567044156414864550343499598044887426162003,False,True,False,True
127,matched_density_hash,shared_renewal,31,True,0,True,1,1-z*sum(weights),36719800533212235078941326437841730320484892566345249/609405937935759623426397542401627829479967856437760000,572686137402547388347456215963786099159482963871414751/609405937935759623426397542401627829479967856437760000,True,False,False,True
127,matched_density_hash,disjoint_components,31,True,0,True,31,product(1-z*weight),36719800533212235078941326437841730320484892566345249/609405937935759623426397542401627829479967856437760000,143525298444721199191446986675234375/152515665830588845012894435534419996,False,True,False,True
127,arbitrary_decidable_modular,shared_renewal,54,False,0,True,1,1-z*sum(weights),33160370481031148960276106321683116235281328169796540483621684622711341/87662272728500439661623454075570133929012574744111528939148224616960000,54501902247469290701347347753887017693731246574314988455526539994248659/87662272728500439661623454075570133929012574744111528939148224616960000,True,False,False,True
127,arbitrary_decidable_modular,disjoint_components,54,False,0,True,54,product(1-z*weight),33160370481031148960276106321683116235281328169796540483621684622711341/87662272728500439661623454075570133929012574744111528939148224616960000,40750256013567269762669167987113809932251134497/61912525765971091454911863055235432719217610615,False,True,False,True
511,prime_evaluator,shared_renewal,97,True,0,True,1,1-z*sum(weights),461791139886916328937745887416442697626244501230847523806138800659589009749851571256039847209360138043137221187900204142213717543097561042955691004862961639290343245810659648204819374592903172702165675925822214148364085922327170359164531507746630150423624704846979224756677893608041407493734456515125812602327704281120308786895106746854252924297560039030362543899906827657628234139597675692322083216835696240134545221168161/1021702492534530299899072035742377694654291383995838600773726890330910651183103702803957970443243383381404670165435594277368257820863918347253395258837776442644778147065600386574651713939027495101438551150014829615903743554323480302917259089368491936407661031327600039427685359429050549635168014916722956678327705338271134641077524129905552410376979518807600116583887542989560104418936886294184666313570090653425788004640900,559911352647613970961326148325934997028046882764991076967588089671321641433252131547918123233883245338267448977535390135154540277766357304297704253974814803354434901254940738369832339346124322399272875224192615467539657631996309943752727581621861785984036326480620814671007465821009142141433558401597144076000001057150825854182417383051299486079419479777237572683980715331931870279339210601862583096734394413291242783472739/1021702492534530299899072035742377694654291383995838600773726890330910651183103702803957970443243383381404670165435594277368257820863918347253395258837776442644778147065600386574651713939027495101438551150014829615903743554323480302917259089368491936407661031327600039427685359429050549635168014916722956678327705338271134641077524129905552410376979518807600116583887542989560104418936886294184666313570090653425788004640900,True,False,False,True
