cutoff,inventory,atoms,branch_count,shared_graded_determinant,disjoint_graded_determinant,difference,shared_equals_disjoint,shared_cohomology_dimension,disjoint_cohomology_dimension
31,prime_evaluator,2|3|5|7,4,-(18589*z - 44100)/44100,(z - 49)*(z - 25)*(z - 9)*(z - 4)/44100,-z**2*(z**2 - 87*z + 2223)/44100,False,1,4
31,square_control,4|9|16|25,4,-(1041361*z - 12960000)/12960000,(z - 625)*(z - 256)*(z - 81)*(z - 16)/207360000,-z**2*(z**2 - 978*z + 246753)/207360000,False,1,4
31,fibonacci_control,2|3|5|8,4,-(6001*z - 14400)/14400,(z - 64)*(z - 25)*(z - 9)*(z - 4)/57600,-z**2*(z**2 - 102*z + 2793)/57600,False,1,4
31,all_integer_control,2|3|4|5,4,-(1669*z - 3600)/3600,(z - 25)*(z - 16)*(z - 9)*(z - 4)/14400,-z**2*(z**2 - 54*z + 969)/14400,False,1,4
31,matched_density_seeded_random,2|10|11|15,4,-(14849*z - 54450)/54450,(z - 225)*(z - 121)*(z - 100)*(z - 4)/10890000,-z**2*(z**2 - 450*z + 63609)/10890000,False,1,4
31,matched_density_hash,6|9|11|12,4,-(8677*z - 156816)/156816,(z - 144)*(z - 121)*(z - 81)*(z - 36)/50808384,-z**2*(z**2 - 382*z + 51345)/50808384,False,1,4
31,arbitrary_decidable_modular,2|4|8|9,4,-(1765*z - 5184)/5184,(z - 81)*(z - 64)*(z - 16)*(z - 4)/331776,-z**2*(z**2 - 165*z + 8148)/331776,False,1,4
127,prime_evaluator,2|3|5|7,4,-(18589*z - 44100)/44100,(z - 49)*(z - 25)*(z - 9)*(z - 4)/44100,-z**2*(z**2 - 87*z + 2223)/44100,False,1,4
127,square_control,4|9|16|25,4,-(1041361*z - 12960000)/12960000,(z - 625)*(z - 256)*(z - 81)*(z - 16)/207360000,-z**2*(z**2 - 978*z + 246753)/207360000,False,1,4
127,fibonacci_control,2|3|5|8,4,-(6001*z - 14400)/14400,(z - 64)*(z - 25)*(z - 9)*(z - 4)/57600,-z**2*(z**2 - 102*z + 2793)/57600,False,1,4
127,all_integer_control,2|3|4|5,4,-(1669*z - 3600)/3600,(z - 25)*(z - 16)*(z - 9)*(z - 4)/14400,-z**2*(z**2 - 54*z + 969)/14400,False,1,4
127,matched_density_seeded_random,2|11|15|19,4,-(10436749*z - 39312900)/39312900,(z - 361)*(z - 225)*(z - 121)*(z - 4)/39312900,-z**2*(z**2 - 711*z + 154959)/39312900,False,1,4
127,matched_density_hash,6|9|13|15,4,-(69109*z - 1368900)/1368900,(z - 225)*(z - 169)*(z - 81)*(z - 36)/110880900,-z**2*(z**2 - 511*z + 87039)/110880900,False,1,4
127,arbitrary_decidable_modular,2|4|8|9,4,-(1765*z - 5184)/5184,(z - 81)*(z - 64)*(z - 16)*(z - 4)/331776,-z**2*(z**2 - 165*z + 8148)/331776,False,1,4
511,prime_evaluator,2|3|5|7,4,-(18589*z - 44100)/44100,(z - 49)*(z - 25)*(z - 9)*(z - 4)/44100,-z**2*(z**2 - 87*z + 2223)/44100,False,1,4
511,square_control,4|9|16|25,4,-(1041361*z - 12960000)/12960000,(z - 625)*(z - 256)*(z - 81)*(z - 16)/207360000,-z**2*(z**2 - 978*z + 246753)/207360000,False,1,4
511,fibonacci_control,2|3|5|8,4,-(6001*z - 14400)/14400,(z - 64)*(z - 25)*(z - 9)*(z - 4)/57600,-z**2*(z**2 - 102*z + 2793)/57600,False,1,4
511,all_integer_control,2|3|4|5,4,-(1669*z - 3600)/3600,(z - 25)*(z - 16)*(z - 9)*(z - 4)/14400,-z**2*(z**2 - 54*z + 969)/14400,False,1,4
511,matched_density_seeded_random,11|15|24|37,4,-(36198761*z - 2385345600)/2385345600,(z - 1369)*(z - 576)*(z - 225)*(z - 121)/21468110400,-z**2*(z**2 - 2291*z + 1488739)/21468110400,False,1,4
511,matched_density_hash,6|9|13|28,4,-(507805*z - 10732176)/10732176,(z - 784)*(z - 169)*(z - 81)*(z - 36)/386358336,-z**2*(z**2 - 1070*z + 246913)/386358336,False,1,4
511,arbitrary_decidable_modular,2|4|8|9,4,-(1765*z - 5184)/5184,(z - 81)*(z - 64)*(z - 16)*(z - 4)/331776,-z**2*(z**2 - 165*z + 8148)/331776,False,1,4
