atom,gamma_code_length,return_marker_degree,digit_marker_degree,return_and_digit_markers_equal,digit_weight_form,return_weight_form,u_equals_one_specialization,first_return_changes_object,whole_codeword_alphabet,original_digit_euler_marker_match
2,3,1,3,False,u^3*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
3,3,1,3,False,u^3*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
4,5,1,5,False,u^5*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
5,5,1,5,False,u^5*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
6,5,1,5,False,u^5*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
7,5,1,5,False,u^5*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
8,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
9,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
10,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
11,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
12,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
13,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
14,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
15,7,1,7,False,u^7*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
16,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
17,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
18,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
19,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
20,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
21,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
22,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
23,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
24,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
25,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
26,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
27,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
28,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
29,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
30,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
31,9,1,9,False,u^9*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
32,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
33,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
34,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
35,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
36,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
37,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
38,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
39,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
40,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
41,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
42,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
43,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
44,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
45,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
46,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
47,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
48,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
49,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
50,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
51,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
52,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
53,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
54,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
55,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
56,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
57,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
58,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
59,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
60,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
61,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
62,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
63,11,1,11,False,u^11*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
64,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
65,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
66,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
67,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
68,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
69,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
70,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
71,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
72,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
73,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
74,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
75,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
76,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
77,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
78,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
79,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
80,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
81,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
82,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
83,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
84,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
85,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
86,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
87,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
88,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
89,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
90,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
91,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
92,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
93,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
94,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
95,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
96,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
97,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
98,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
99,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
100,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
101,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
102,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
103,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
104,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
105,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
106,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
107,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
108,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
109,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
110,13,1,13,False,u^13*n^(-s),z*n^(-s),True,True,countable_return_alphabet,False
