cutoff,inventory,atoms,power,shared_supertrace,disjoint_supertrace,mixed_difference,equal,mixed_survives
31,matched_density_seeded_random,2|10|11|15,8,2363620010028273497220982601011201/77265046932131206169300039062500000000,150908294790524493935893587765484001/9889926007312794389670405000000000000000,46414161767093515062256561115381/3027219469639667704215000000000000000,False,True
31,matched_density_hash,6|9|11|12,1,8677/156816,8677/156816,0/1,True,False
31,matched_density_hash,6|9|11|12,2,75290329/24591257856,25588369/24591257856,5705/2822688,False,True
31,matched_density_hash,6|9|11|12,3,653294184733/3856302691946496,93378514177/3856302691946496,42846317/295095094272,False,True
31,matched_density_hash,6|9|11|12,4,5668633640928241/604729962940281716736,378316348420609/604729962940281716736,303622434143/34706724227518464,False,True
31,matched_density_hash,6|9|11|12,5,49186734102334347157/94831333868443217691672576,1600721979274541377/94831333868443217691672576,10924245207314005/21770278665850141802496,False,True
31,matched_density_hash,6|9|11|12,6,426793291805955130281289/14871070451913791625537326678016,6890735814877478590849/14871070451913791625537326678016,16066060452673616915/568988003210659306150035456,False,True
31,matched_density_hash,6|9|11|12,7,3703285393000272665450744653/2332021783987313147550261420339757056,29868673867985879427427777/2332021783987313147550261420339757056,843300440572150318187171/535358536268896498519343760408576,False,True
31,matched_density_hash,6|9|11|12,8,32133407355063365918116111354081/365698328077754498546241794891999342493696,129836527396385744557281305089/365698328077754498546241794891999342493696,918376114200728310765577079/10494098027942909163976176391528906752,False,True
31,arbitrary_decidable_modular,2|4|8|9,1,1765/5184,1765/5184,0/1,True,False
31,arbitrary_decidable_modular,2|4|8|9,2,3115225/26873856,1795249/26873856,679/13824,False,True
31,arbitrary_decidable_modular,2|4|8|9,3,5498372125/139314069504,2211588145/139314069504,1127155/47775744,False,True
31,arbitrary_decidable_modular,2|4|8|9,4,9704626800625/722204136308736,2832189691969/722204136308736,1767602137/185752092672,False,True
31,arbitrary_decidable_modular,2|4|8|9,5,17128666303103125/3743906242624487424,3659733467815825/3743906242624487424,13856926785275/3851755393646592,False,True
31,arbitrary_decidable_modular,2|4|8|9,6,30232096024977015625/19408409961765342806016,4739538520852056289/19408409961765342806016,4371151835412373/3327916660110655488,False,True
31,arbitrary_decidable_modular,2|4|8|9,7,53359649484084432578125/100613197241791537106386944,6141317055107236544305/100613197241791537106386944,48578531305532094685/103511519796081828298752,False,True
31,arbitrary_decidable_modular,2|4|8|9,8,94179781339409023500390625/521578814501447328359509917696,7958782551611992644206209/521578814501447328359509917696,11088091407895708700641/67075464827861024737591296,False,True
127,prime_evaluator,2|3|5|7,1,18589/44100,18589/44100,0/1,True,False
127,prime_evaluator,2|3|5|7,2,345550921/1944810000,149482321/1944810000,247/2450,False,True
127,prime_evaluator,2|3|5|7,3,6423446070469/85766121000000,1463962672369/85766121000000,4165183/72030000,False,True
127,prime_evaluator,2|3|5|7,4,119405439003948241/3782285936100000000,15361373289887041/3782285936100000000,65535440737/2382392250000,False,True
127,prime_evaluator,2|3|5|7,5,2219627705644393851949/166798809782010000000000,165731885855865818449/166798809782010000000000,1034968919016643/84050798580000000,False,True
127,prime_evaluator,2|3|5|7,6,41260659420223637313879961/7355827511386641000000000000,1809728274133615790072161/7355827511386641000000000000,16566276621352994677/3088866847815000000000,False,True
127,prime_evaluator,2|3|5|7,7,766994397962537194027714595029/324391993252150868100000000000000,19867191928359948315454870129/324391993252150868100000000000000,268915238107539591013303/116759166847407000000000000,False,True
127,prime_evaluator,2|3|5|7,8,14257658863725603899781186606994081/14305686902419853283210000000000000000,218619882328106465759449939735681/14305686902419853283210000000000000000,4421466043524029174232091417/4505444350724317612500000000000,False,True
127,square_control,4|9|16|25,1,1041361/12960000,1041361/12960000,0/1,True,False
127,square_control,4|9|16|25,2,1084432732321/167961600000000,684692872321/167961600000000,9139/3840000,False,True
127,square_control,4|9|16|25,3,1129285954562528881/2176782336000000000000,535675662438338881/2176782336000000000000,9047558179/33177600000000,False,True
127,square_control,4|9|16|25,4,1175994350929189638047041/28211099074560000000000000000,431129323292614607927041/28211099074560000000000000000,8514689387706619/322486272000000000000,False,True
127,square_control,4|9|16|25,5,1224634653277971850666304662801/365615844006297600000000000000000000,348783634059433000412563012801/365615844006297600000000000000000000,8009611515487323733459/3343537668096000000000000000,False,True
127,square_control,4|9|16|25,6,1275286767172202044381713689959112161/4738381338321616896000000000000000000000000,282446330610609043231623418596332161/4738381338321616896000000000000000000000000,7566227987818876704390262699/36110206815436800000000000000000000,False,True
127,square_control,4|9|16|25,7,1328033903149211493139385749889510999091121/61409422144648154972160000000000000000000000000000,228770609758045376547538786626134881581121/61409422144648154972160000000000000000000000000000,50263525075041889190299358173908373/2807929681968365568000000000000000000000000,False,True
127,square_control,4|9|16|25,8,1382962713417366029707123883890691063524528855681/795866110994640088439193600000000000000000000000000000000,185302448425091870516586086352521925635179015681/795866110994640088439193600000000000000000000000000000000,6845337591405316410554056913226846924379/4548846084788752220160000000000000000000000000000,False,True
127,fibonacci_control,2|3|5|8,1,6001/14400,6001/14400,0/1,True,False
127,fibonacci_control,2|3|5|8,2,36012001/207360000,15902401/207360000,931/9600,False,True
127,fibonacci_control,2|3|5|8,3,216108018001/2985984000000,50954493601/2985984000000,5097331/92160000,False,True
127,fibonacci_control,2|3|5|8,4,1296864216024001/42998169600000000,174627838204801/42998169600000000,25977693931/995328000000,False,True
127,fibonacci_control,2|3|5|8,5,7782482160360030001/619173642240000000000,615211500031356001/619173642240000000000,132727234450531/11466178560000000,False,True
127,fibonacci_control,2|3|5|8,6,46702675444320540036001/8916100448256000000000000,2193596202093773947201/8916100448256000000000000,686868506824487131/137594142720000000000,False,True
127,fibonacci_control,2|3|5|8,7,280262755341367560756042001/128391846454886400000000000000,7863281020113049193978401/128391846454886400000000000000,25222173548264306626117/11888133931008000000000000,False,True
127,fibonacci_control,2|3|5|8,8,1681856794803546732097008048001/1848842588950364160000000000000000,28254060870663199300819449601/1848842588950364160000000000000000,19138920531630596444400331/21398641075814400000000000000,False,True
127,all_integer_control,2|3|4|5,1,1669/3600,1669/3600,0/1,True,False
127,all_integer_control,2|3|4|5,2,2785561/12960000,1041361/12960000,323/2400,False,True
127,all_integer_control,2|3|4|5,3,4649101309/46656000000,807376609/46656000000,474287/5760000,False,True
127,all_integer_control,2|3|4|5,4,7759350084721/167961600000000,684692872321/167961600000000,655060853/15552000000,False,True
127,all_integer_control,2|3|4|5,5,12950355291399349/604661760000000000,601368567754849/604661760000000000,914739757307/44789760000000,False,True
127,all_integer_control,2|3|4|5,6,21614142981345513481/2176782336000000000000,535675662438338881/2176782336000000000000,1301139957957233/134369280000000000,False,True
127,all_integer_control,2|3|4|5,7,36074004635865661999789/7836416409600000000000000,479965776844489939489/7836416409600000000000000,13182977355193026689/2902376448000000000000,False,True
127,all_integer_control,2|3|4|5,8,60207513737259789877647841/28211099074560000000000000000,431129323292614607927041/28211099074560000000000000000,2767425204350332188413/1306069401600000000000000,False,True
127,matched_density_seeded_random,2|11|15|19,1,10436749/39312900,10436749/39312900,0/1,True,False
