case,atoms,degree,branch_count,weight_sum,chain_residual_zero,zero_form_characteristic,one_form_characteristic,cohomology_factor,characteristic_quotient_exact,ordinary_block_determinant,ordinary_block_equals_graded_ratio
single_2,2,2,1,1/4,True,-(z - 256)*(z - 32)*(z - 4)/32768,(z - 256)*(z - 32)/8192,1 - z/4,True,-(z - 256)**2*(z - 32)**2*(z - 4)/268435456,False
single_2,2,3,1,1/4,True,(z - 2048)*(z - 256)*(z - 32)*(z - 4)/67108864,-(z - 2048)*(z - 256)*(z - 32)/16777216,1 - z/4,True,-(z - 2048)**2*(z - 256)**2*(z - 32)**2*(z - 4)/1125899906842624,False
single_2,2,4,1,1/4,True,-(z - 16384)*(z - 2048)*(z - 256)*(z - 32)*(z - 4)/1099511627776,(z - 16384)*(z - 2048)*(z - 256)*(z - 32)/274877906944,1 - z/4,True,-(z - 16384)**2*(z - 2048)**2*(z - 256)**2*(z - 32)**2*(z - 4)/302231454903657293676544,False
single_2,2,5,1,1/4,True,(z - 131072)*(z - 16384)*(z - 2048)*(z - 256)*(z - 32)*(z - 4)/144115188075855872,-(z - 131072)*(z - 16384)*(z - 2048)*(z - 256)*(z - 32)/36028797018963968,1 - z/4,True,-(z - 131072)**2*(z - 16384)**2*(z - 2048)**2*(z - 256)**2*(z - 32)**2*(z - 4)/5192296858534827628530496329220096,False
single_3,3,2,1,1/9,True,-(z - 576)*(z - 72)*(z - 9)/373248,(z - 576)*(z - 72)/41472,1 - z/9,True,-(z - 576)**2*(z - 72)**2*(z - 9)/15479341056,False
single_3,3,3,1,1/9,True,(z - 4608)*(z - 576)*(z - 72)*(z - 9)/1719926784,-(z - 4608)*(z - 576)*(z - 72)/191102976,1 - z/9,True,-(z - 4608)**2*(z - 576)**2*(z - 72)**2*(z - 9)/328683126924509184,False
single_3,3,4,1,1/9,True,-(z - 36864)*(z - 4608)*(z - 576)*(z - 72)*(z - 9)/63403380965376,(z - 36864)*(z - 4608)*(z - 576)*(z - 72)/7044820107264,1 - z/9,True,-(z - 36864)**2*(z - 4608)**2*(z - 576)**2*(z - 72)**2*(z - 9)/446665413093400408190091264,False
single_3,3,5,1,1/9,True,(z - 294912)*(z - 36864)*(z - 4608)*(z - 576)*(z - 72)*(z - 9)/18698417887260966912,-(z - 294912)*(z - 36864)*(z - 4608)*(z - 576)*(z - 72)/2077601987473440768,1 - z/9,True,-(z - 294912)**2*(z - 36864)**2*(z - 4608)**2*(z - 576)**2*(z - 72)**2*(z - 9)/38847870165182320168842223735239868416,False
single_5,5,2,1,1/25,True,-(z - 25600)*(z - 800)*(z - 25)/512000000,(z - 25600)*(z - 800)/20480000,1 - z/25,True,-(z - 25600)**2*(z - 800)**2*(z - 25)/10485760000000000,False
single_5,5,3,1,1/25,True,(z - 819200)*(z - 25600)*(z - 800)*(z - 25)/419430400000000,-(z - 819200)*(z - 25600)*(z - 800)/16777216000000,1 - z/25,True,-(z - 819200)**2*(z - 25600)**2*(z - 800)**2*(z - 25)/7036874417766400000000000000,False
single_5,5,4,1,1/25,True,-(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)*(z - 25)/10995116277760000000000,(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)/439804651110400000000,1 - z/25,True,-(z - 26214400)**2*(z - 819200)**2*(z - 25600)**2*(z - 800)**2*(z - 25)/4835703278458516698824704000000000000000000,False
single_5,5,5,1,1/25,True,(z - 838860800)*(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)*(z - 25)/9223372036854775808000000000000,-(z - 838860800)*(z - 26214400)*(z - 819200)*(z - 25600)*(z - 800)/368934881474191032320000000000,1 - z/25,True,-(z - 838860800)**2*(z - 26214400)**2*(z - 819200)**2*(z - 25600)**2*(z - 800)**2*(z - 25)/3402823669209384634633746074317682114560000000000000000000000,False
single_7,7,2,1,1/49,True,-(z - 50176)*(z - 1568)*(z - 49)/3855122432,(z - 50176)*(z - 1568)/78675968,1 - z/49,True,-(z - 50176)**2*(z - 1568)**2*(z - 49)/303305489096114176,False
single_7,7,3,1,1/49,True,(z - 1605632)*(z - 50176)*(z - 1568)*(z - 49)/6189907940737024,-(z - 1605632)*(z - 50176)*(z - 1568)/126324651851776,1 - z/49,True,-(z - 1605632)**2*(z - 50176)**2*(z - 1568)**2*(z - 49)/781937965608148265707843354624,False
single_7,7,4,1,1/49,True,-(z - 51380224)*(z - 1605632)*(z - 50176)*(z - 1568)*(z - 49)/318038856534447018213376,(z - 51380224)*(z - 1605632)*(z - 50176)*(z - 1568)/6490588908866265677824,1 - z/49,True,-(z - 51380224)**2*(z - 1605632)**2*(z - 50176)**2*(z - 1568)**2*(z - 49)/2064259474810991281959594880671033834103373824,False
single_7,7,5,1,1/49,True,(z - 1644167168)*(z - 51380224)*(z - 1605632)*(z - 50176)*(z - 1568)*(z - 49)/522909046062200048381930837639168,-(z - 1644167168)*(z - 51380224)*(z - 1605632)*(z - 50176)*(z - 1568)/10671613184942858130243486482432,1 - z/49,True,-(z - 1644167168)**2*(z - 51380224)**2*(z - 1605632)**2*(z - 50176)**2*(z - 1568)**2*(z - 49)/5580283070483266365815662079887163249816328108160908323587096576,False
single_10,10,2,1,1/100,True,-(z - 1638400)*(z - 12800)*(z - 100)/2097152000000,(z - 1638400)*(z - 12800)/20971520000,1 - z/100,True,-(z - 1638400)**2*(z - 12800)**2*(z - 100)/43980465111040000000000,False
single_10,10,3,1,1/100,True,(z - 209715200)*(z - 1638400)*(z - 12800)*(z - 100)/439804651110400000000,-(z - 209715200)*(z - 1638400)*(z - 12800)/4398046511104000000,1 - z/100,True,-(z - 209715200)**2*(z - 1638400)**2*(z - 12800)**2*(z - 100)/1934281311383406679529881600000000000000,False
single_10,10,4,1,1/100,True,-(z - 26843545600)*(z - 209715200)*(z - 1638400)*(z - 12800)*(z - 100)/11805916207174113034240000000000,(z - 26843545600)*(z - 209715200)*(z - 1638400)*(z - 12800)/118059162071741130342400000000,1 - z/100,True,-(z - 26843545600)**2*(z - 209715200)**2*(z - 1638400)**2*(z - 12800)**2*(z - 100)/1393796574908163946345982392040522594123776000000000000000000,False
single_10,10,5,1,1/100,True,(z - 3435973836800)*(z - 26843545600)*(z - 209715200)*(z - 1638400)*(z - 12800)*(z - 100)/40564819207303340847894502572032000000000000,-(z - 3435973836800)*(z - 26843545600)*(z - 209715200)*(z - 1638400)*(z - 12800)/405648192073033408478945025720320000000000,1 - z/100,True,-(z - 3435973836800)**2*(z - 26843545600)**2*(z - 209715200)**2*(z - 1638400)**2*(z - 12800)**2*(z - 100)/16455045573212060421549691825573505049827358656335798633486090240000000000000000000000,False
single_31,31,2,1,1/961,True,-(z - 251920384)*(z - 492032)*(z - 961)/119118727655456768,(z - 251920384)*(z - 492032)/123952890380288,1 - z/961,True,-(z - 251920384)**2*(z - 492032)**2*(z - 961)/14765110591316213366297863389184,False
