atom,code_length,q,alpha_from_r1,power,normalized_trace_over_w_power,target,residual,match,r1_fit,r2_plus_failure,q_zero_rank_one_boundary
13,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
13,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
14,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
14,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
14,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
14,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
14,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
14,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
15,7,1/128,127/128,1,1/1,1/1,0/1,True,True,False,False
15,7,1/128,127/128,2,127/129,1/1,-2/129,False,False,True,False
15,7,1/128,127/128,3,16129/16513,1/1,-384/16513,False,False,True,False
15,7,1/128,127/128,4,2048383/2113665,1/1,-65282/2113665,False,False,True,False
15,7,1/128,127/128,5,260144641/270549121,1/1,-10404480/270549121,False,False,True,False
15,7,1/128,127/128,6,33038369407/34630287489,1/1,-1591918082/34630287489,False,False,True,False
16,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
16,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
16,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
16,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
16,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
16,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
17,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
17,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
17,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
17,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
17,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
17,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
18,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
18,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
18,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
18,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
18,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
18,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
19,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
19,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
19,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
19,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
19,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
19,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
20,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
20,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
20,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
20,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
20,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
20,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
21,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
21,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
21,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
21,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
21,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
21,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
22,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
22,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
22,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
22,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
22,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
22,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
23,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
23,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
23,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
23,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
23,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
23,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
24,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
24,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
24,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
24,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
24,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
24,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
25,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
25,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
25,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
25,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
25,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
25,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
26,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
26,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
26,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
26,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
26,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
26,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
27,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
27,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
27,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
27,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
27,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
27,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
28,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
28,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
28,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
28,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
28,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
28,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
29,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
29,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
29,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
29,9,1/512,511/512,4,133432831/134480385,1/1,-1047554/134480385,False,False,True,False
29,9,1/512,511/512,5,68184176641/68853957121,1/1,-669780480/68853957121,False,False,True,False
29,9,1/512,511/512,6,34842114263551/35253226045953,1/1,-411111782402/35253226045953,False,False,True,False
30,9,1/512,511/512,1,1/1,1/1,0/1,True,True,False,False
30,9,1/512,511/512,2,511/513,1/1,-2/513,False,False,True,False
30,9,1/512,511/512,3,261121/262657,1/1,-1536/262657,False,False,True,False
