family,state_size,map_index,mapping,start_state,tail_mu,period_lambda,terminal_map_count,accepting_set_count,configuration_count,verified_followup_indices,period_comparisons,periodicity_failures,eventually_periodic
total_transformation_monoid,1,0,0,0,0,1,1,2,2,4,8,0,True
total_transformation_monoid,2,0,"0,0",0,0,1,4,4,16,4,64,0,True
total_transformation_monoid,2,1,"0,1",0,0,1,4,4,16,4,64,0,True
total_transformation_monoid,2,2,"1,0",0,0,2,4,4,16,8,128,0,True
total_transformation_monoid,2,3,"1,1",0,1,1,4,4,16,6,96,0,True
total_transformation_monoid,3,0,"0,0,0",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,1,"0,0,1",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,2,"0,0,2",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,3,"0,1,0",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,4,"0,1,1",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,5,"0,1,2",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,6,"0,2,0",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,7,"0,2,1",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,8,"0,2,2",0,0,1,27,8,216,4,864,0,True
total_transformation_monoid,3,9,"1,0,0",0,0,2,27,8,216,8,1728,0,True
total_transformation_monoid,3,10,"1,0,1",0,0,2,27,8,216,8,1728,0,True
total_transformation_monoid,3,11,"1,0,2",0,0,2,27,8,216,8,1728,0,True
total_transformation_monoid,3,12,"1,1,0",0,1,1,27,8,216,6,1296,0,True
total_transformation_monoid,3,13,"1,1,1",0,1,1,27,8,216,6,1296,0,True
total_transformation_monoid,3,14,"1,1,2",0,1,1,27,8,216,6,1296,0,True
total_transformation_monoid,3,15,"1,2,0",0,0,3,27,8,216,12,2592,0,True
total_transformation_monoid,3,16,"1,2,1",0,1,2,27,8,216,10,2160,0,True
total_transformation_monoid,3,17,"1,2,2",0,2,1,27,8,216,8,1728,0,True
total_transformation_monoid,3,18,"2,0,0",0,0,2,27,8,216,8,1728,0,True
total_transformation_monoid,3,19,"2,0,1",0,0,3,27,8,216,12,2592,0,True
total_transformation_monoid,3,20,"2,0,2",0,1,1,27,8,216,6,1296,0,True
total_transformation_monoid,3,21,"2,1,0",0,0,2,27,8,216,8,1728,0,True
total_transformation_monoid,3,22,"2,1,1",0,2,1,27,8,216,8,1728,0,True
total_transformation_monoid,3,23,"2,1,2",0,1,1,27,8,216,6,1296,0,True
total_transformation_monoid,3,24,"2,2,0",0,0,2,27,8,216,8,1728,0,True
total_transformation_monoid,3,25,"2,2,1",0,1,2,27,8,216,10,2160,0,True
total_transformation_monoid,3,26,"2,2,2",0,1,1,27,8,216,6,1296,0,True
total_transformation_monoid,4,0,"0,0,0,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,1,"0,0,0,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,2,"0,0,0,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,3,"0,0,0,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,4,"0,0,1,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,5,"0,0,1,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,6,"0,0,1,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,7,"0,0,1,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,8,"0,0,2,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,9,"0,0,2,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,10,"0,0,2,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,11,"0,0,2,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,12,"0,0,3,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,13,"0,0,3,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,14,"0,0,3,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,15,"0,0,3,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,16,"0,1,0,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,17,"0,1,0,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,18,"0,1,0,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,19,"0,1,0,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,20,"0,1,1,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,21,"0,1,1,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,22,"0,1,1,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,23,"0,1,1,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,24,"0,1,2,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,25,"0,1,2,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,26,"0,1,2,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,27,"0,1,2,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,28,"0,1,3,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,29,"0,1,3,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,30,"0,1,3,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,31,"0,1,3,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,32,"0,2,0,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,33,"0,2,0,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,34,"0,2,0,2",0,0,1,256,16,4096,4,16384,0,True
