family,name,size,tail_mu,period_lambda,response_rule,eventually_periodic,is_group
cyclic_group,C2,2,0,2,(index-1+1)_mod_order,True,True
cyclic_group,C3,3,0,3,(index-1+1)_mod_order,True,True
cyclic_group,C4,4,0,4,(index-1+1)_mod_order,True,True
cyclic_group,C5,5,0,5,(index-1+1)_mod_order,True,True
cyclic_group,C6,6,0,6,(index-1+1)_mod_order,True,True
cyclic_group,C7,7,0,7,(index-1+1)_mod_order,True,True
cyclic_group,C8,8,0,8,(index-1+1)_mod_order,True,True
non_group_semigroup,left_zero,3,1,1,fixed_power_sequence,True,False
non_group_semigroup,right_zero,3,1,1,fixed_power_sequence,True,False
non_group_semigroup,minimum,4,1,1,fixed_power_sequence,True,False
non_group_semigroup,truncated_addition,4,3,1,fixed_power_sequence,True,False
